ANIO_REGISTRO;MES_REGISTRO;TIPO_ACTA;DE_GENERO;DEPART_CIUDAD_ESTADO_DOM_SOL;PROVINCIA_DOM_SOL;CANT_COPIAS_EMITIDAS
2022;ENERO;DEFUNCION;FEMENINO;AMAZONAS;BAGUA;19
2022;ENERO;DEFUNCION;FEMENINO;AMAZONAS;BONGARA;8
2022;ENERO;DEFUNCION;FEMENINO;AMAZONAS;CHACHAPOYAS;3
2022;ENERO;DEFUNCION;FEMENINO;AMAZONAS;CONDORCANQUI;4
2022;ENERO;DEFUNCION;FEMENINO;AMAZONAS;RODRIGUEZ DE MENDOZA;4
2022;ENERO;DEFUNCION;FEMENINO;AMAZONAS;UTCUBAMBA;10
2022;ENERO;DEFUNCION;FEMENINO;ANCASH;ASUNCION;2
2022;ENERO;DEFUNCION;FEMENINO;ANCASH;BOLOGNESI;4
2022;ENERO;DEFUNCION;FEMENINO;ANCASH;CARHUAZ;8
2022;ENERO;DEFUNCION;FEMENINO;ANCASH;CASMA;9
2022;ENERO;DEFUNCION;FEMENINO;ANCASH;HUARAZ;32
2022;ENERO;DEFUNCION;FEMENINO;ANCASH;HUARI;14
2022;ENERO;DEFUNCION;FEMENINO;ANCASH;HUARMEY;2
2022;ENERO;DEFUNCION;FEMENINO;ANCASH;HUAYLAS;9
2022;ENERO;DEFUNCION;FEMENINO;ANCASH;OCROS;1
2022;ENERO;DEFUNCION;FEMENINO;ANCASH;POMABAMBA;1
2022;ENERO;DEFUNCION;FEMENINO;ANCASH;RECUAY;1
2022;ENERO;DEFUNCION;FEMENINO;ANCASH;SANTA;137
2022;ENERO;DEFUNCION;FEMENINO;ANCASH;SIHUAS;2
2022;ENERO;DEFUNCION;FEMENINO;ANCASH;YUNGAY;8
2022;ENERO;DEFUNCION;FEMENINO;APURIMAC;ABANCAY;15
2022;ENERO;DEFUNCION;FEMENINO;APURIMAC;ANDAHUAYLAS;8
2022;ENERO;DEFUNCION;FEMENINO;APURIMAC;ANTABAMBA;2
2022;ENERO;DEFUNCION;FEMENINO;APURIMAC;AYMARAES;5
2022;ENERO;DEFUNCION;FEMENINO;APURIMAC;CHINCHEROS;8
2022;ENERO;DEFUNCION;FEMENINO;APURIMAC;COTABAMBAS;2
2022;ENERO;DEFUNCION;FEMENINO;APURIMAC;GRAU;2
2022;ENERO;DEFUNCION;FEMENINO;AREQUIPA;AREQUIPA;387
2022;ENERO;DEFUNCION;FEMENINO;AREQUIPA;CAMANA;23
2022;ENERO;DEFUNCION;FEMENINO;AREQUIPA;CARAVELI;8
2022;ENERO;DEFUNCION;FEMENINO;AREQUIPA;CASTILLA;6
2022;ENERO;DEFUNCION;FEMENINO;AREQUIPA;CAYLLOMA;33
2022;ENERO;DEFUNCION;FEMENINO;AREQUIPA;ISLAY;9
2022;ENERO;DEFUNCION;FEMENINO;ARGENTINA;BUENOS AIRES;15
2022;ENERO;DEFUNCION;FEMENINO;AYACUCHO;CANGALLO;5
2022;ENERO;DEFUNCION;FEMENINO;AYACUCHO;HUAMANGA;108
2022;ENERO;DEFUNCION;FEMENINO;AYACUCHO;HUANCA SANCOS;4
2022;ENERO;DEFUNCION;FEMENINO;AYACUCHO;HUANTA;13
2022;ENERO;DEFUNCION;FEMENINO;AYACUCHO;LA MAR;6
2022;ENERO;DEFUNCION;FEMENINO;AYACUCHO;LUCANAS;3
2022;ENERO;DEFUNCION;FEMENINO;AYACUCHO;PARINACOCHAS;9
2022;ENERO;DEFUNCION;FEMENINO;AYACUCHO;PAUCAR DEL SARA SARA;1
2022;ENERO;DEFUNCION;FEMENINO;AYACUCHO;SUCRE;1
2022;ENERO;DEFUNCION;FEMENINO;AYACUCHO;VICTOR FAJARDO;1
2022;ENERO;DEFUNCION;FEMENINO;AYACUCHO;VILCAS HUAMAN;2
2022;ENERO;DEFUNCION;FEMENINO;CAJAMARCA;CAJABAMBA;4
2022;ENERO;DEFUNCION;FEMENINO;CAJAMARCA;CAJAMARCA;91
2022;ENERO;DEFUNCION;FEMENINO;CAJAMARCA;CELENDIN;2
2022;ENERO;DEFUNCION;FEMENINO;CAJAMARCA;CHOTA;1
2022;ENERO;DEFUNCION;FEMENINO;CAJAMARCA;CONTUMAZA;2
2022;ENERO;DEFUNCION;FEMENINO;CAJAMARCA;CUTERVO;9
2022;ENERO;DEFUNCION;FEMENINO;CAJAMARCA;HUALGAYOC;2
2022;ENERO;DEFUNCION;FEMENINO;CAJAMARCA;JAEN;20
2022;ENERO;DEFUNCION;FEMENINO;CAJAMARCA;SAN IGNACIO;19
2022;ENERO;DEFUNCION;FEMENINO;CAJAMARCA;SAN MARCOS;4
2022;ENERO;DEFUNCION;FEMENINO;CAJAMARCA;SAN MIGUEL;7
2022;ENERO;DEFUNCION;FEMENINO;CAJAMARCA;SAN PABLO;2
2022;ENERO;DEFUNCION;FEMENINO;CAJAMARCA;SANTA CRUZ;3
2022;ENERO;DEFUNCION;FEMENINO;CALLAO;CALLAO;513
2022;ENERO;DEFUNCION;FEMENINO;CHILE;IQUIQUE;1
2022;ENERO;DEFUNCION;FEMENINO;CHILE;SANTIAGO;11
2022;ENERO;DEFUNCION;FEMENINO;CUSCO;ACOMAYO;5
2022;ENERO;DEFUNCION;FEMENINO;CUSCO;ANTA;17
2022;ENERO;DEFUNCION;FEMENINO;CUSCO;CALCA;10
2022;ENERO;DEFUNCION;FEMENINO;CUSCO;CANAS;3
2022;ENERO;DEFUNCION;FEMENINO;CUSCO;CANCHIS;12
2022;ENERO;DEFUNCION;FEMENINO;CUSCO;CHUMBIVILCAS;6
2022;ENERO;DEFUNCION;FEMENINO;CUSCO;CUSCO;197
2022;ENERO;DEFUNCION;FEMENINO;CUSCO;ESPINAR;3
2022;ENERO;DEFUNCION;FEMENINO;CUSCO;LA CONVENCION;17
2022;ENERO;DEFUNCION;FEMENINO;CUSCO;PARURO;4
2022;ENERO;DEFUNCION;FEMENINO;CUSCO;PAUCARTAMBO;4
2022;ENERO;DEFUNCION;FEMENINO;CUSCO;QUISPICANCHI;19
2022;ENERO;DEFUNCION;FEMENINO;CUSCO;URUBAMBA;25
2022;ENERO;DEFUNCION;FEMENINO;ESPAÑA;BARCELONA;3
2022;ENERO;DEFUNCION;FEMENINO;ESPAÑA;CANTABRIA;2
