ANIO_REGISTRO,MES_REGISTRO,TIPO_ACTA,DE_GENERO,DEPART_CIUDAD_ESTADO_DOM_SOL,PROVINCIA_DOM_SOL,CANT_COPIAS_EMITIDAS
2022,JULIO,DEFUNCION,FEMENINO,AMAZONAS,BAGUA,16
2022,JULIO,DEFUNCION,FEMENINO,AMAZONAS,BONGARA,2
2022,JULIO,DEFUNCION,FEMENINO,AMAZONAS,CHACHAPOYAS,2
2022,JULIO,DEFUNCION,FEMENINO,AMAZONAS,RODRIGUEZ DE MENDOZA,2
2022,JULIO,DEFUNCION,FEMENINO,AMAZONAS,UTCUBAMBA,3
2022,JULIO,DEFUNCION,FEMENINO,ANCASH,ANTONIO RAIMONDI,1
2022,JULIO,DEFUNCION,FEMENINO,ANCASH,ASUNCION,3
2022,JULIO,DEFUNCION,FEMENINO,ANCASH,BOLOGNESI,4
2022,JULIO,DEFUNCION,FEMENINO,ANCASH,CARHUAZ,8
2022,JULIO,DEFUNCION,FEMENINO,ANCASH,CARLOS FERMIN FITZCARRALD,1
2022,JULIO,DEFUNCION,FEMENINO,ANCASH,CASMA,3
2022,JULIO,DEFUNCION,FEMENINO,ANCASH,CORONGO,1
2022,JULIO,DEFUNCION,FEMENINO,ANCASH,HUARAZ,33
2022,JULIO,DEFUNCION,FEMENINO,ANCASH,HUARI,5
2022,JULIO,DEFUNCION,FEMENINO,ANCASH,HUAYLAS,4
2022,JULIO,DEFUNCION,FEMENINO,ANCASH,MARISCAL LUZURIAGA,1
2022,JULIO,DEFUNCION,FEMENINO,ANCASH,OCROS,1
2022,JULIO,DEFUNCION,FEMENINO,ANCASH,POMABAMBA,3
2022,JULIO,DEFUNCION,FEMENINO,ANCASH,RECUAY,1
2022,JULIO,DEFUNCION,FEMENINO,ANCASH,SANTA,75
2022,JULIO,DEFUNCION,FEMENINO,ANCASH,YUNGAY,3
2022,JULIO,DEFUNCION,FEMENINO,APURIMAC,ABANCAY,5
2022,JULIO,DEFUNCION,FEMENINO,APURIMAC,ANDAHUAYLAS,6
2022,JULIO,DEFUNCION,FEMENINO,APURIMAC,ANTABAMBA,1
2022,JULIO,DEFUNCION,FEMENINO,APURIMAC,AYMARAES,1
2022,JULIO,DEFUNCION,FEMENINO,APURIMAC,CHINCHEROS,2
2022,JULIO,DEFUNCION,FEMENINO,APURIMAC,COTABAMBAS,2
