ANIO_REGISTRO,MES_REGISTRO,TIPO_ACTA,DE_GENERO,DEPART_CIUDAD_ESTADO_DOM_SOL,PROVINCIA_DOM_SOL,CANT_COPIAS_EMITIDAS
2022,SETIEMBRE,DEFUNCION,FEMENINO,AMAZONAS,BAGUA,26
2022,SETIEMBRE,DEFUNCION,FEMENINO,AMAZONAS,BONGARA,1
2022,SETIEMBRE,DEFUNCION,FEMENINO,AMAZONAS,CHACHAPOYAS,2
2022,SETIEMBRE,DEFUNCION,FEMENINO,AMAZONAS,CONDORCANQUI,1
2022,SETIEMBRE,DEFUNCION,FEMENINO,AMAZONAS,RODRIGUEZ DE MENDOZA,3
2022,SETIEMBRE,DEFUNCION,FEMENINO,AMAZONAS,UTCUBAMBA,2
2022,SETIEMBRE,DEFUNCION,FEMENINO,ANCASH,ANTONIO RAIMONDI,4
2022,SETIEMBRE,DEFUNCION,FEMENINO,ANCASH,ASUNCION,3
2022,SETIEMBRE,DEFUNCION,FEMENINO,ANCASH,BOLOGNESI,3
2022,SETIEMBRE,DEFUNCION,FEMENINO,ANCASH,CARHUAZ,3
2022,SETIEMBRE,DEFUNCION,FEMENINO,ANCASH,CASMA,4
2022,SETIEMBRE,DEFUNCION,FEMENINO,ANCASH,CORONGO,1
2022,SETIEMBRE,DEFUNCION,FEMENINO,ANCASH,HUARAZ,42
2022,SETIEMBRE,DEFUNCION,FEMENINO,ANCASH,HUARI,11
2022,SETIEMBRE,DEFUNCION,FEMENINO,ANCASH,HUAYLAS,8
2022,SETIEMBRE,DEFUNCION,FEMENINO,ANCASH,OCROS,2
2022,SETIEMBRE,DEFUNCION,FEMENINO,ANCASH,PALLASCA,1
2022,SETIEMBRE,DEFUNCION,FEMENINO,ANCASH,POMABAMBA,1
2022,SETIEMBRE,DEFUNCION,FEMENINO,ANCASH,RECUAY,6
2022,SETIEMBRE,DEFUNCION,FEMENINO,ANCASH,SANTA,91
2022,SETIEMBRE,DEFUNCION,FEMENINO,ANCASH,SIHUAS,3
2022,SETIEMBRE,DEFUNCION,FEMENINO,ANCASH,YUNGAY,3
2022,SETIEMBRE,DEFUNCION,FEMENINO,APURIMAC,ABANCAY,3
2022,SETIEMBRE,DEFUNCION,FEMENINO,APURIMAC,ANDAHUAYLAS,1
2022,SETIEMBRE,DEFUNCION,FEMENINO,APURIMAC,ANTABAMBA,1
2022,SETIEMBRE,DEFUNCION,FEMENINO,APURIMAC,AYMARAES,3
2022,SETIEMBRE,DEFUNCION,FEMENINO,APURIMAC,CHINCHEROS,5
2022,SETIEMBRE,DEFUNCION,FEMENINO,APURIMAC,COTABAMBAS,3
2022,SETIEMBRE,DEFUNCION,FEMENINO,APURIMAC,GRAU,3
2022,SETIEMBRE,DEFUNCION,FEMENINO,AREQUIPA,AREQUIPA,413
2022,SETIEMBRE,DEFUNCION,FEMENINO,AREQUIPA,CAMANA,15
2022,SETIEMBRE,DEFUNCION,FEMENINO,AREQUIPA,CARAVELI,8
