   ,ANIO_REGISTRO,MES_REGISTRO,TIPO_ACTA,DE_GENERO,DEPART_CIUDAD_ESTADO_DOM_SOL,PROVINCIA_DOM_SOL,CANT_COPIAS_EMITIDAS
1,2023,ENERO,DEFUNCION,FEMENINO,ALEMANIA,BADEN-WÜRTTEMBERG,2
2,2023,ENERO,DEFUNCION,FEMENINO,ALEMANIA,HAMBURGO,1
3,2023,ENERO,DEFUNCION,FEMENINO,AMAZONAS,BAGUA,3
4,2023,ENERO,DEFUNCION,FEMENINO,AMAZONAS,CHACHAPOYAS,7
5,2023,ENERO,DEFUNCION,FEMENINO,AMAZONAS,CONDORCANQUI,1
6,2023,ENERO,DEFUNCION,FEMENINO,AMAZONAS,RODRIGUEZ DE MENDOZA,4
7,2023,ENERO,DEFUNCION,FEMENINO,AMAZONAS,UTCUBAMBA,1
8,2023,ENERO,DEFUNCION,FEMENINO,ANCASH,BOLOGNESI,1
9,2023,ENERO,DEFUNCION,FEMENINO,ANCASH,CARHUAZ,2
10,2023,ENERO,DEFUNCION,FEMENINO,ANCASH,CARLOS FERMIN FITZCARRALD,1
11,2023,ENERO,DEFUNCION,FEMENINO,ANCASH,CASMA,1
12,2023,ENERO,DEFUNCION,FEMENINO,ANCASH,HUARAZ,9
13,2023,ENERO,DEFUNCION,FEMENINO,ANCASH,HUARI,3
14,2023,ENERO,DEFUNCION,FEMENINO,ANCASH,HUAYLAS,1
15,2023,ENERO,DEFUNCION,FEMENINO,ANCASH,PALLASCA,1
16,2023,ENERO,DEFUNCION,FEMENINO,ANCASH,SANTA,48
17,2023,ENERO,DEFUNCION,FEMENINO,ANCASH,SIHUAS,1
18,2023,ENERO,DEFUNCION,FEMENINO,ANCASH,YUNGAY,1
19,2023,ENERO,DEFUNCION,FEMENINO,APURIMAC,ABANCAY,3
20,2023,ENERO,DEFUNCION,FEMENINO,APURIMAC,ANDAHUAYLAS,5
21,2023,ENERO,DEFUNCION,FEMENINO,APURIMAC,CHINCHEROS,2
22,2023,ENERO,DEFUNCION,FEMENINO,APURIMAC,COTABAMBAS,1
23,2023,ENERO,DEFUNCION,FEMENINO,AREQUIPA,AREQUIPA,105
24,2023,ENERO,DEFUNCION,FEMENINO,AREQUIPA,CAMANA,2
25,2023,ENERO,DEFUNCION,FEMENINO,AREQUIPA,CARAVELI,1
26,2023,ENERO,DEFUNCION,FEMENINO,AREQUIPA,CASTILLA,2
27,2023,ENERO,DEFUNCION,FEMENINO,AREQUIPA,CAYLLOMA,5
28,2023,ENERO,DEFUNCION,FEMENINO,AREQUIPA,ISLAY,5
29,2023,ENERO,DEFUNCION,FEMENINO,AREQUIPA,LA UNION,1
30,2023,ENERO,DEFUNCION,FEMENINO,ARGENTINA,BUENOS AIRES,5
31,2023,ENERO,DEFUNCION,FEMENINO,ARGENTINA,LA PLATA,2
32,2023,ENERO,DEFUNCION,FEMENINO,ARGENTINA,MENDOZA,1
33,2023,ENERO,DEFUNCION,FEMENINO,ARGENTINA,ROSARIO DE SANTA FE,1
34,2023,ENERO,DEFUNCION,FEMENINO,AYACUCHO,HUAMANGA,14
35,2023,ENERO,DEFUNCION,FEMENINO,AYACUCHO,HUANTA,7
36,2023,ENERO,DEFUNCION,FEMENINO,AYACUCHO,LA MAR,1
37,2023,ENERO,DEFUNCION,FEMENINO,AYACUCHO,LUCANAS,2
38,2023,ENERO,DEFUNCION,FEMENINO,AYACUCHO,PARINACOCHAS,4
39,2023,ENERO,DEFUNCION,FEMENINO,AYACUCHO,PAUCAR DEL SARA SARA,1
40,2023,ENERO,DEFUNCION,FEMENINO,AYACUCHO,VICTOR FAJARDO,1
