,ANIO_REGISTRO,MES_REGISTRO,TIPO_ACTA,DE_GENERO,DEPART_CIUDAD_ESTADO_DOM_SOL,PROVINCIA_DOM_SOL,CANT_COPIAS_EMITIDAS
1,2023,FEBRERO,DEFUNCION,FEMENINO,AMAZONAS,BAGUA,3
2,2023,FEBRERO,DEFUNCION,FEMENINO,AMAZONAS,CHACHAPOYAS,2
3,2023,FEBRERO,DEFUNCION,FEMENINO,AMAZONAS,UTCUBAMBA,2
4,2023,FEBRERO,DEFUNCION,FEMENINO,ANCASH,AIJA,1
5,2023,FEBRERO,DEFUNCION,FEMENINO,ANCASH,ANTONIO RAIMONDI,1
6,2023,FEBRERO,DEFUNCION,FEMENINO,ANCASH,BOLOGNESI,3
7,2023,FEBRERO,DEFUNCION,FEMENINO,ANCASH,CARHUAZ,1
8,2023,FEBRERO,DEFUNCION,FEMENINO,ANCASH,CASMA,2
9,2023,FEBRERO,DEFUNCION,FEMENINO,ANCASH,HUARAZ,4
10,2023,FEBRERO,DEFUNCION,FEMENINO,ANCASH,HUARI,1
11,2023,FEBRERO,DEFUNCION,FEMENINO,ANCASH,HUAYLAS,5
12,2023,FEBRERO,DEFUNCION,FEMENINO,ANCASH,POMABAMBA,3
13,2023,FEBRERO,DEFUNCION,FEMENINO,ANCASH,RECUAY,1
14,2023,FEBRERO,DEFUNCION,FEMENINO,ANCASH,SANTA,40
15,2023,FEBRERO,DEFUNCION,FEMENINO,ANCASH,SIHUAS,1
16,2023,FEBRERO,DEFUNCION,FEMENINO,ANCASH,YUNGAY,7
17,2023,FEBRERO,DEFUNCION,FEMENINO,APURIMAC,ABANCAY,2
18,2023,FEBRERO,DEFUNCION,FEMENINO,APURIMAC,ANDAHUAYLAS,2
19,2023,FEBRERO,DEFUNCION,FEMENINO,APURIMAC,ANTABAMBA,1
20,2023,FEBRERO,DEFUNCION,FEMENINO,APURIMAC,COTABAMBAS,1
21,2023,FEBRERO,DEFUNCION,FEMENINO,AREQUIPA,AREQUIPA,110
22,2023,FEBRERO,DEFUNCION,FEMENINO,AREQUIPA,CAMANA,3
23,2023,FEBRERO,DEFUNCION,FEMENINO,AREQUIPA,CAYLLOMA,5
24,2023,FEBRERO,DEFUNCION,FEMENINO,AREQUIPA,CONDESUYOS,2
25,2023,FEBRERO,DEFUNCION,FEMENINO,AREQUIPA,ISLAY,6
26,2023,FEBRERO,DEFUNCION,FEMENINO,ARGENTINA,BUENOS AIRES,7
27,2023,FEBRERO,DEFUNCION,FEMENINO,ARGENTINA,LA PLATA,2
28,2023,FEBRERO,DEFUNCION,FEMENINO,AUSTRALIA,PERTH,3
29,2023,FEBRERO,DEFUNCION,FEMENINO,AYACUCHO,CANGALLO,1
30,2023,FEBRERO,DEFUNCION,FEMENINO,AYACUCHO,HUAMANGA,20
31,2023,FEBRERO,DEFUNCION,FEMENINO,AYACUCHO,HUANTA,1
32,2023,FEBRERO,DEFUNCION,FEMENINO,AYACUCHO,LA MAR,1
33,2023,FEBRERO,DEFUNCION,FEMENINO,AYACUCHO,LUCANAS,4
34,2023,FEBRERO,DEFUNCION,FEMENINO,AYACUCHO,PARINACOCHAS,6
35,2023,FEBRERO,DEFUNCION,FEMENINO,AYACUCHO,PAUCAR DEL SARA SARA,1
36,2023,FEBRERO,DEFUNCION,FEMENINO,AYACUCHO,SUCRE,1
37,2023,FEBRERO,DEFUNCION,FEMENINO,BOLIVIA,COCHABAMBA,1
38,2023,FEBRERO,DEFUNCION,FEMENINO,CAJAMARCA,CAJABAMBA,4
39,2023,FEBRERO,DEFUNCION,FEMENINO,CAJAMARCA,CAJAMARCA,22
40,2023,FEBRERO,DEFUNCION,FEMENINO,CAJAMARCA,CONTUMAZA,2
41,2023,FEBRERO,DEFUNCION,FEMENINO,CAJAMARCA,CUTERVO,1
42,2023,FEBRERO,DEFUNCION,FEMENINO,CAJAMARCA,HUALGAYOC,1
43,2023,FEBRERO,DEFUNCION,FEMENINO,CAJAMARCA,JAEN,7
44,2023,FEBRERO,DEFUNCION,FEMENINO,CAJAMARCA,SAN MIGUEL,1
45,2023,FEBRERO,DEFUNCION,FEMENINO,CALLAO,CALLAO,283
46,2023,FEBRERO,DEFUNCION,FEMENINO,CHILE,CALAMA,1
47,2023,FEBRERO,DEFUNCION,FEMENINO,CHILE,IQUIQUE,1
48,2023,FEBRERO,DEFUNCION,FEMENINO,CHILE,SANTIAGO,11
49,2023,FEBRERO,DEFUNCION,FEMENINO,CUSCO,ANTA,7
50,2023,FEBRERO,DEFUNCION,FEMENINO,CUSCO,CALCA,1
51,2023,FEBRERO,DEFUNCION,FEMENINO,CUSCO,CANAS,1
52,2023,FEBRERO,DEFUNCION,FEMENINO,CUSCO,CANCHIS,11
53,2023,FEBRERO,DEFUNCION,FEMENINO,CUSCO,CUSCO,51
54,2023,FEBRERO,DEFUNCION,FEMENINO,CUSCO,ESPINAR,2
55,2023,FEBRERO,DEFUNCION,FEMENINO,CUSCO,LA CONVENCION,5
56,2023,FEBRERO,DEFUNCION,FEMENINO,CUSCO,PARURO,1
57,2023,FEBRERO,DEFUNCION,FEMENINO,CUSCO,QUISPICANCHI,10
58,2023,FEBRERO,DEFUNCION,FEMENINO,CUSCO,URUBAMBA,8
59,2023,FEBRERO,DEFUNCION,FEMENINO,ECUADOR,QUITO,1
60,2023,FEBRERO,DEFUNCION,FEMENINO,ESPAÑA,BARCELONA,2
61,2023,FEBRERO,DEFUNCION,FEMENINO,ESPAÑA,MADRID,12
62,2023,FEBRERO,DEFUNCION,FEMENINO,ESPAÑA,MALAGA,1
63,2023,FEBRERO,DEFUNCION,FEMENINO,ESPAÑA,MALLORCA,1
64,2023,FEBRERO,DEFUNCION,FEMENINO,ESPAÑA,TOLEDO,1
65,2023,FEBRERO,DEFUNCION,FEMENINO,ESTADOS UNIDOS DE AMERICA,CONNECTICUT,1
66,2023,FEBRERO,DEFUNCION,FEMENINO,ESTADOS UNIDOS DE AMERICA,LAS VEGAS,1
67,2023,FEBRERO,DEFUNCION,FEMENINO,ESTADOS UNIDOS DE AMERICA,LOS ANGELES,2
68,2023,FEBRERO,DEFUNCION,FEMENINO,ESTADOS UNIDOS DE AMERICA,MASSACHUSETTS,1
69,2023,FEBRERO,DEFUNCION,FEMENINO,ESTADOS UNIDOS DE AMERICA,MIAMI,1
