,ANIO_REGISTRO,MES_REGISTRO,TIPO_ACTA,DE_GENERO,DEPART_CIUDAD_ESTADO_DOM_SOL,PROVINCIA_DOM_SOL,CANT_COPIAS_EMITIDAS
1,2023,MARZO,DEFUNCION,FEMENINO,ALEMANIA,BAVIERA,1
2,2023,MARZO,DEFUNCION,FEMENINO,AMAZONAS,BAGUA,1
3,2023,MARZO,DEFUNCION,FEMENINO,AMAZONAS,BONGARA,2
4,2023,MARZO,DEFUNCION,FEMENINO,AMAZONAS,CHACHAPOYAS,1
5,2023,MARZO,DEFUNCION,FEMENINO,AMAZONAS,CONDORCANQUI,2
6,2023,MARZO,DEFUNCION,FEMENINO,AMAZONAS,RODRIGUEZ DE MENDOZA,1
7,2023,MARZO,DEFUNCION,FEMENINO,AMAZONAS,UTCUBAMBA,2
8,2023,MARZO,DEFUNCION,FEMENINO,ANCASH,ANTONIO RAIMONDI,1
9,2023,MARZO,DEFUNCION,FEMENINO,ANCASH,BOLOGNESI,1
10,2023,MARZO,DEFUNCION,FEMENINO,ANCASH,CARHUAZ,2
11,2023,MARZO,DEFUNCION,FEMENINO,ANCASH,CASMA,4
12,2023,MARZO,DEFUNCION,FEMENINO,ANCASH,HUARAZ,4
13,2023,MARZO,DEFUNCION,FEMENINO,ANCASH,HUARI,7
14,2023,MARZO,DEFUNCION,FEMENINO,ANCASH,HUAYLAS,4
15,2023,MARZO,DEFUNCION,FEMENINO,ANCASH,MARISCAL LUZURIAGA,1
16,2023,MARZO,DEFUNCION,FEMENINO,ANCASH,SANTA,27
17,2023,MARZO,DEFUNCION,FEMENINO,ANCASH,YUNGAY,2
18,2023,MARZO,DEFUNCION,FEMENINO,APURIMAC,ABANCAY,1
19,2023,MARZO,DEFUNCION,FEMENINO,APURIMAC,ANDAHUAYLAS,1
20,2023,MARZO,DEFUNCION,FEMENINO,APURIMAC,AYMARAES,4
21,2023,MARZO,DEFUNCION,FEMENINO,APURIMAC,CHINCHEROS,5
22,2023,MARZO,DEFUNCION,FEMENINO,AREQUIPA,AREQUIPA,115
23,2023,MARZO,DEFUNCION,FEMENINO,AREQUIPA,CAMANA,1
24,2023,MARZO,DEFUNCION,FEMENINO,AREQUIPA,CARAVELI,2
25,2023,MARZO,DEFUNCION,FEMENINO,AREQUIPA,CASTILLA,3
26,2023,MARZO,DEFUNCION,FEMENINO,AREQUIPA,CAYLLOMA,6
27,2023,MARZO,DEFUNCION,FEMENINO,AREQUIPA,ISLAY,4
28,2023,MARZO,DEFUNCION,FEMENINO,AREQUIPA,LA UNION,1
29,2023,MARZO,DEFUNCION,FEMENINO,ARGENTINA,BUENOS AIRES,5
30,2023,MARZO,DEFUNCION,FEMENINO,AYACUCHO,CANGALLO,4
31,2023,MARZO,DEFUNCION,FEMENINO,AYACUCHO,HUAMANGA,19
32,2023,MARZO,DEFUNCION,FEMENINO,AYACUCHO,HUANTA,3
33,2023,MARZO,DEFUNCION,FEMENINO,AYACUCHO,LA MAR,3
34,2023,MARZO,DEFUNCION,FEMENINO,AYACUCHO,LUCANAS,2
35,2023,MARZO,DEFUNCION,FEMENINO,AYACUCHO,PARINACOCHAS,6
36,2023,MARZO,DEFUNCION,FEMENINO,BRASIL,RIO DE JANEIRO,1
37,2023,MARZO,DEFUNCION,FEMENINO,CAJAMARCA,CAJABAMBA,1
38,2023,MARZO,DEFUNCION,FEMENINO,CAJAMARCA,CAJAMARCA,23
39,2023,MARZO,DEFUNCION,FEMENINO,CAJAMARCA,CELENDIN,3
40,2023,MARZO,DEFUNCION,FEMENINO,CAJAMARCA,CHOTA,2
41,2023,MARZO,DEFUNCION,FEMENINO,CAJAMARCA,CONTUMAZA,1
42,2023,MARZO,DEFUNCION,FEMENINO,CAJAMARCA,CUTERVO,2
43,2023,MARZO,DEFUNCION,FEMENINO,CAJAMARCA,HUALGAYOC,1
44,2023,MARZO,DEFUNCION,FEMENINO,CAJAMARCA,JAEN,6
