   ;ANIO_REGISTRO;MES_REGISTRO;TIPO_ACTA;DE_GENERO;DEPART_CIUDAD_ESTADO_DOM_SOL;PROVINCIA_DOM_SOL;CANT_COPIAS_EMITIDAS
1;2023;AGOSTO;DEFUNCION;FEMENINO;AMAZONAS;BAGUA;6
2;2023;AGOSTO;DEFUNCION;FEMENINO;AMAZONAS;CHACHAPOYAS;8
3;2023;AGOSTO;DEFUNCION;FEMENINO;AMAZONAS;CONDORCANQUI;1
4;2023;AGOSTO;DEFUNCION;FEMENINO;AMAZONAS;RODRIGUEZ DE MENDOZA;1
5;2023;AGOSTO;DEFUNCION;FEMENINO;AMAZONAS;UTCUBAMBA;2
6;2023;AGOSTO;DEFUNCION;FEMENINO;ANCASH;ANTONIO RAIMONDI;1
7;2023;AGOSTO;DEFUNCION;FEMENINO;ANCASH;BOLOGNESI;2
8;2023;AGOSTO;DEFUNCION;FEMENINO;ANCASH;CASMA;5
9;2023;AGOSTO;DEFUNCION;FEMENINO;ANCASH;HUARAZ;5
10;2023;AGOSTO;DEFUNCION;FEMENINO;ANCASH;HUARI;7
11;2023;AGOSTO;DEFUNCION;FEMENINO;ANCASH;HUARMEY;1
12;2023;AGOSTO;DEFUNCION;FEMENINO;ANCASH;HUAYLAS;2
13;2023;AGOSTO;DEFUNCION;FEMENINO;ANCASH;POMABAMBA;1
14;2023;AGOSTO;DEFUNCION;FEMENINO;ANCASH;SANTA;28
15;2023;AGOSTO;DEFUNCION;FEMENINO;ANCASH;YUNGAY;2
16;2023;AGOSTO;DEFUNCION;FEMENINO;APURIMAC;ABANCAY;4
17;2023;AGOSTO;DEFUNCION;FEMENINO;APURIMAC;ANDAHUAYLAS;2
18;2023;AGOSTO;DEFUNCION;FEMENINO;APURIMAC;CHINCHEROS;2
19;2023;AGOSTO;DEFUNCION;FEMENINO;APURIMAC;GRAU;1
20;2023;AGOSTO;DEFUNCION;FEMENINO;AREQUIPA;AREQUIPA;76
21;2023;AGOSTO;DEFUNCION;FEMENINO;AREQUIPA;CAMANA;2
22;2023;AGOSTO;DEFUNCION;FEMENINO;AREQUIPA;CARAVELI;3
23;2023;AGOSTO;DEFUNCION;FEMENINO;AREQUIPA;CAYLLOMA;5
24;2023;AGOSTO;DEFUNCION;FEMENINO;ARGENTINA;BUENOS AIRES;1
25;2023;AGOSTO;DEFUNCION;FEMENINO;ARGENTINA;CORDOBA;2
26;2023;AGOSTO;DEFUNCION;FEMENINO;AYACUCHO;HUAMANGA;28
27;2023;AGOSTO;DEFUNCION;FEMENINO;AYACUCHO;HUANTA;2
28;2023;AGOSTO;DEFUNCION;FEMENINO;AYACUCHO;LA MAR;3
29;2023;AGOSTO;DEFUNCION;FEMENINO;AYACUCHO;LUCANAS;1
30;2023;AGOSTO;DEFUNCION;FEMENINO;AYACUCHO;PARINACOCHAS;3
31;2023;AGOSTO;DEFUNCION;FEMENINO;AYACUCHO;VICTOR FAJARDO;3
32;2023;AGOSTO;DEFUNCION;FEMENINO;AYACUCHO;VILCAS HUAMAN;1
33;2023;AGOSTO;DEFUNCION;FEMENINO;BRASIL;SAO PAULO;2
34;2023;AGOSTO;DEFUNCION;FEMENINO;CAJAMARCA;CAJAMARCA;24
35;2023;AGOSTO;DEFUNCION;FEMENINO;CAJAMARCA;CELENDIN;1
36;2023;AGOSTO;DEFUNCION;FEMENINO;CAJAMARCA;CONTUMAZA;2
37;2023;AGOSTO;DEFUNCION;FEMENINO;CAJAMARCA;JAEN;7
