;ANIO_REGISTRO;MES_REGISTRO;TIPO_ACTA;DE_GENERO;DEPART_CIUDAD_ESTADO_DOM_SOL;PROVINCIA_DOM_SOL;CANT_COPIAS_EMITIDAS
1;2023;DICIEMBRE;DEFUNCION;FEMENINO;AMAZONAS;BAGUA;1
2;2023;DICIEMBRE;DEFUNCION;FEMENINO;AMAZONAS;CHACHAPOYAS;1
3;2023;DICIEMBRE;DEFUNCION;FEMENINO;AMAZONAS;LUYA;4
4;2023;DICIEMBRE;DEFUNCION;FEMENINO;AMAZONAS;RODRIGUEZ DE MENDOZA;2
5;2023;DICIEMBRE;DEFUNCION;FEMENINO;AMAZONAS;UTCUBAMBA;1
6;2023;DICIEMBRE;DEFUNCION;FEMENINO;ANCASH;AIJA;1
7;2023;DICIEMBRE;DEFUNCION;FEMENINO;ANCASH;BOLOGNESI;1
8;2023;DICIEMBRE;DEFUNCION;FEMENINO;ANCASH;CARLOS FERMIN FITZCARRALD;1
9;2023;DICIEMBRE;DEFUNCION;FEMENINO;ANCASH;CASMA;2
10;2023;DICIEMBRE;DEFUNCION;FEMENINO;ANCASH;HUARAZ;7
11;2023;DICIEMBRE;DEFUNCION;FEMENINO;ANCASH;HUARI;3
12;2023;DICIEMBRE;DEFUNCION;FEMENINO;ANCASH;HUAYLAS;1
13;2023;DICIEMBRE;DEFUNCION;FEMENINO;ANCASH;OCROS;1
14;2023;DICIEMBRE;DEFUNCION;FEMENINO;ANCASH;SANTA;28
15;2023;DICIEMBRE;DEFUNCION;FEMENINO;ANCASH;YUNGAY;3
16;2023;DICIEMBRE;DEFUNCION;FEMENINO;APURIMAC;ABANCAY;2
17;2023;DICIEMBRE;DEFUNCION;FEMENINO;APURIMAC;ANDAHUAYLAS;1
18;2023;DICIEMBRE;DEFUNCION;FEMENINO;APURIMAC;CHINCHEROS;3
19;2023;DICIEMBRE;DEFUNCION;FEMENINO;AREQUIPA;AREQUIPA;93
20;2023;DICIEMBRE;DEFUNCION;FEMENINO;AREQUIPA;CAMANA;3
21;2023;DICIEMBRE;DEFUNCION;FEMENINO;AREQUIPA;CARAVELI;2
22;2023;DICIEMBRE;DEFUNCION;FEMENINO;AREQUIPA;CASTILLA;3
23;2023;DICIEMBRE;DEFUNCION;FEMENINO;AREQUIPA;CAYLLOMA;1
24;2023;DICIEMBRE;DEFUNCION;FEMENINO;AREQUIPA;ISLAY;5
25;2023;DICIEMBRE;DEFUNCION;FEMENINO;ARGENTINA;BUENOS AIRES;4
26;2023;DICIEMBRE;DEFUNCION;FEMENINO;ARGENTINA;MENDOZA;1
27;2023;DICIEMBRE;DEFUNCION;FEMENINO;AYACUCHO;HUAMANGA;30
28;2023;DICIEMBRE;DEFUNCION;FEMENINO;AYACUCHO;HUANTA;4
29;2023;DICIEMBRE;DEFUNCION;FEMENINO;AYACUCHO;LA MAR;1
30;2023;DICIEMBRE;DEFUNCION;FEMENINO;AYACUCHO;LUCANAS;1
31;2023;DICIEMBRE;DEFUNCION;FEMENINO;AYACUCHO;PARINACOCHAS;3
32;2023;DICIEMBRE;DEFUNCION;FEMENINO;AYACUCHO;VICTOR FAJARDO;1
