;ANIO_REGISTRO;MES_REGISTRO;TIPO_ACTA;DE_GENERO;DEPART_CIUDAD_ESTADO_DOM_SOL;PROVINCIA_DOM_SOL;CANT_COPIAS_EMITIDAS
1;2023;JULIO;DEFUNCION;FEMENINO;AMAZONAS;BAGUA;1
2;2023;JULIO;DEFUNCION;FEMENINO;AMAZONAS;CONDORCANQUI;2
3;2023;JULIO;DEFUNCION;FEMENINO;AMAZONAS;RODRIGUEZ DE MENDOZA;1
4;2023;JULIO;DEFUNCION;FEMENINO;AMAZONAS;UTCUBAMBA;2
5;2023;JULIO;DEFUNCION;FEMENINO;ANCASH;ASUNCION;1
6;2023;JULIO;DEFUNCION;FEMENINO;ANCASH;BOLOGNESI;1
7;2023;JULIO;DEFUNCION;FEMENINO;ANCASH;CARHUAZ;1
8;2023;JULIO;DEFUNCION;FEMENINO;ANCASH;CASMA;1
9;2023;JULIO;DEFUNCION;FEMENINO;ANCASH;HUARAZ;4
10;2023;JULIO;DEFUNCION;FEMENINO;ANCASH;HUARI;2
11;2023;JULIO;DEFUNCION;FEMENINO;ANCASH;HUAYLAS;1
12;2023;JULIO;DEFUNCION;FEMENINO;ANCASH;SANTA;25
13;2023;JULIO;DEFUNCION;FEMENINO;ANCASH;YUNGAY;1
14;2023;JULIO;DEFUNCION;FEMENINO;APURIMAC;ABANCAY;1
15;2023;JULIO;DEFUNCION;FEMENINO;APURIMAC;ANDAHUAYLAS;1
16;2023;JULIO;DEFUNCION;FEMENINO;APURIMAC;CHINCHEROS;3
17;2023;JULIO;DEFUNCION;FEMENINO;AREQUIPA;AREQUIPA;123
18;2023;JULIO;DEFUNCION;FEMENINO;AREQUIPA;CAMANA;7
19;2023;JULIO;DEFUNCION;FEMENINO;AREQUIPA;CARAVELI;5
20;2023;JULIO;DEFUNCION;FEMENINO;AREQUIPA;CASTILLA;2
21;2023;JULIO;DEFUNCION;FEMENINO;AREQUIPA;CAYLLOMA;1
22;2023;JULIO;DEFUNCION;FEMENINO;AREQUIPA;ISLAY;2
23;2023;JULIO;DEFUNCION;FEMENINO;ARGENTINA;BUENOS AIRES;3
24;2023;JULIO;DEFUNCION;FEMENINO;ARGENTINA;CORDOBA;1
25;2023;JULIO;DEFUNCION;FEMENINO;AYACUCHO;HUAMANGA;19
26;2023;JULIO;DEFUNCION;FEMENINO;AYACUCHO;HUANTA;1
27;2023;JULIO;DEFUNCION;FEMENINO;AYACUCHO;LUCANAS;1
28;2023;JULIO;DEFUNCION;FEMENINO;AYACUCHO;PARINACOCHAS;4
29;2023;JULIO;DEFUNCION;FEMENINO;AYACUCHO;SUCRE;1
30;2023;JULIO;DEFUNCION;FEMENINO;AYACUCHO;VICTOR FAJARDO;1
