;ANIO_REGISTRO;MES_REGISTRO;TIPO_ACTA;DE_GENERO;DEPART_CIUDAD_ESTADO_DOM_SOL;PROVINCIA_DOM_SOL;CANT_COPIAS_EMITIDAS
1;2023;NOVIEMBRE;DEFUNCION;FEMENINO;ALEMANIA;BAJA SAJONIA;1
2;2023;NOVIEMBRE;DEFUNCION;FEMENINO;ALEMANIA;BERLIN;1
3;2023;NOVIEMBRE;DEFUNCION;FEMENINO;AMAZONAS;BONGARA;1
4;2023;NOVIEMBRE;DEFUNCION;FEMENINO;AMAZONAS;CHACHAPOYAS;5
5;2023;NOVIEMBRE;DEFUNCION;FEMENINO;AMAZONAS;UTCUBAMBA;1
6;2023;NOVIEMBRE;DEFUNCION;FEMENINO;ANCASH;ANTONIO RAIMONDI;1
7;2023;NOVIEMBRE;DEFUNCION;FEMENINO;ANCASH;CARHUAZ;2
8;2023;NOVIEMBRE;DEFUNCION;FEMENINO;ANCASH;CARLOS FERMIN FITZCARRALD;1
9;2023;NOVIEMBRE;DEFUNCION;FEMENINO;ANCASH;CASMA;1
10;2023;NOVIEMBRE;DEFUNCION;FEMENINO;ANCASH;HUARAZ;6
11;2023;NOVIEMBRE;DEFUNCION;FEMENINO;ANCASH;HUARI;3
12;2023;NOVIEMBRE;DEFUNCION;FEMENINO;ANCASH;HUARMEY;1
13;2023;NOVIEMBRE;DEFUNCION;FEMENINO;ANCASH;OCROS;1
14;2023;NOVIEMBRE;DEFUNCION;FEMENINO;ANCASH;PALLASCA;2
15;2023;NOVIEMBRE;DEFUNCION;FEMENINO;ANCASH;RECUAY;1
16;2023;NOVIEMBRE;DEFUNCION;FEMENINO;ANCASH;SANTA;27
17;2023;NOVIEMBRE;DEFUNCION;FEMENINO;ANCASH;YUNGAY;2
18;2023;NOVIEMBRE;DEFUNCION;FEMENINO;APURIMAC;ABANCAY;3
19;2023;NOVIEMBRE;DEFUNCION;FEMENINO;APURIMAC;ANDAHUAYLAS;1
20;2023;NOVIEMBRE;DEFUNCION;FEMENINO;APURIMAC;AYMARAES;1
21;2023;NOVIEMBRE;DEFUNCION;FEMENINO;APURIMAC;CHINCHEROS;3
22;2023;NOVIEMBRE;DEFUNCION;FEMENINO;APURIMAC;COTABAMBAS;2
23;2023;NOVIEMBRE;DEFUNCION;FEMENINO;AREQUIPA;AREQUIPA;84
24;2023;NOVIEMBRE;DEFUNCION;FEMENINO;AREQUIPA;CAMANA;2
25;2023;NOVIEMBRE;DEFUNCION;FEMENINO;AREQUIPA;CARAVELI;2
26;2023;NOVIEMBRE;DEFUNCION;FEMENINO;AREQUIPA;CASTILLA;1
27;2023;NOVIEMBRE;DEFUNCION;FEMENINO;AREQUIPA;CAYLLOMA;2
28;2023;NOVIEMBRE;DEFUNCION;FEMENINO;AREQUIPA;ISLAY;4
29;2023;NOVIEMBRE;DEFUNCION;FEMENINO;ARGENTINA;BUENOS AIRES;2
30;2023;NOVIEMBRE;DEFUNCION;FEMENINO;ARGENTINA;CORDOBA;1
31;2023;NOVIEMBRE;DEFUNCION;FEMENINO;AYACUCHO;HUAMANGA;29
32;2023;NOVIEMBRE;DEFUNCION;FEMENINO;AYACUCHO;HUANTA;2
33;2023;NOVIEMBRE;DEFUNCION;FEMENINO;AYACUCHO;LUCANAS;1
34;2023;NOVIEMBRE;DEFUNCION;FEMENINO;AYACUCHO;PARINACOCHAS;3
35;2023;NOVIEMBRE;DEFUNCION;FEMENINO;AYACUCHO;VICTOR FAJARDO;2
36;2023;NOVIEMBRE;DEFUNCION;FEMENINO;CAJAMARCA;CAJABAMBA;1
37;2023;NOVIEMBRE;DEFUNCION;FEMENINO;CAJAMARCA;CAJAMARCA;22
38;2023;NOVIEMBRE;DEFUNCION;FEMENINO;CAJAMARCA;CELENDIN;1
39;2023;NOVIEMBRE;DEFUNCION;FEMENINO;CAJAMARCA;CONTUMAZA;2
40;2023;NOVIEMBRE;DEFUNCION;FEMENINO;CAJAMARCA;HUALGAYOC;1
41;2023;NOVIEMBRE;DEFUNCION;FEMENINO;CAJAMARCA;JAEN;4
42;2023;NOVIEMBRE;DEFUNCION;FEMENINO;CAJAMARCA;SAN IGNACIO;4
43;2023;NOVIEMBRE;DEFUNCION;FEMENINO;CAJAMARCA;SAN PABLO;1
44;2023;NOVIEMBRE;DEFUNCION;FEMENINO;CALLAO;CALLAO;213
45;2023;NOVIEMBRE;DEFUNCION;FEMENINO;CANADA;ONTARIO;1
46;2023;NOVIEMBRE;DEFUNCION;FEMENINO;CHILE;ARICA;1
47;2023;NOVIEMBRE;DEFUNCION;FEMENINO;CHILE;SANTIAGO;3
48;2023;NOVIEMBRE;DEFUNCION;FEMENINO;CUSCO;ANTA;5
49;2023;NOVIEMBRE;DEFUNCION;FEMENINO;CUSCO;CALCA;1
50;2023;NOVIEMBRE;DEFUNCION;FEMENINO;CUSCO;CANAS;1
51;2023;NOVIEMBRE;DEFUNCION;FEMENINO;CUSCO;CHUMBIVILCAS;2
52;2023;NOVIEMBRE;DEFUNCION;FEMENINO;CUSCO;CUSCO;47
53;2023;NOVIEMBRE;DEFUNCION;FEMENINO;CUSCO;ESPINAR;3
54;2023;NOVIEMBRE;DEFUNCION;FEMENINO;CUSCO;LA CONVENCION;2
55;2023;NOVIEMBRE;DEFUNCION;FEMENINO;CUSCO;PARURO;1
56;2023;NOVIEMBRE;DEFUNCION;FEMENINO;CUSCO;QUISPICANCHI;6
57;2023;NOVIEMBRE;DEFUNCION;FEMENINO;CUSCO;URUBAMBA;10
58;2023;NOVIEMBRE;DEFUNCION;FEMENINO;ESPAÑA;BARCELONA;1
59;2023;NOVIEMBRE;DEFUNCION;FEMENINO;ESPAÑA;GUIPUZCOA;1
60;2023;NOVIEMBRE;DEFUNCION;FEMENINO;ESPAÑA;MADRID;3
61;2023;NOVIEMBRE;DEFUNCION;FEMENINO;ESPAÑA;MALAGA;1
62;2023;NOVIEMBRE;DEFUNCION;FEMENINO;ESPAÑA;NAVARRA;1
63;2023;NOVIEMBRE;DEFUNCION;FEMENINO;ESPAÑA;TARRAGONA;1
64;2023;NOVIEMBRE;DEFUNCION;FEMENINO;ESTADOS UNIDOS DE AMERICA;FLORIDA;1
