   ;ANIO_REGISTRO;MES_REGISTRO;TIPO_ACTA;DE_GENERO;DEPART_CIUDAD_ESTADO_DOM_SOL;PROVINCIA_DOM_SOL;CANT_COPIAS_EMITIDAS
1;2023;SETIEMBRE;DEFUNCION;FEMENINO;AMAZONAS;BAGUA;4
2;2023;SETIEMBRE;DEFUNCION;FEMENINO;AMAZONAS;BONGARA;1
3;2023;SETIEMBRE;DEFUNCION;FEMENINO;AMAZONAS;CHACHAPOYAS;4
4;2023;SETIEMBRE;DEFUNCION;FEMENINO;AMAZONAS;CONDORCANQUI;1
5;2023;SETIEMBRE;DEFUNCION;FEMENINO;AMAZONAS;LUYA;1
6;2023;SETIEMBRE;DEFUNCION;FEMENINO;AMAZONAS;RODRIGUEZ DE MENDOZA;3
7;2023;SETIEMBRE;DEFUNCION;FEMENINO;AMAZONAS;UTCUBAMBA;3
8;2023;SETIEMBRE;DEFUNCION;FEMENINO;ANCASH;BOLOGNESI;1
9;2023;SETIEMBRE;DEFUNCION;FEMENINO;ANCASH;CARHUAZ;1
10;2023;SETIEMBRE;DEFUNCION;FEMENINO;ANCASH;CASMA;3
11;2023;SETIEMBRE;DEFUNCION;FEMENINO;ANCASH;HUARAZ;5
12;2023;SETIEMBRE;DEFUNCION;FEMENINO;ANCASH;HUARI;5
13;2023;SETIEMBRE;DEFUNCION;FEMENINO;ANCASH;HUARMEY;1
14;2023;SETIEMBRE;DEFUNCION;FEMENINO;ANCASH;HUAYLAS;2
15;2023;SETIEMBRE;DEFUNCION;FEMENINO;ANCASH;OCROS;1
16;2023;SETIEMBRE;DEFUNCION;FEMENINO;ANCASH;PALLASCA;2
17;2023;SETIEMBRE;DEFUNCION;FEMENINO;ANCASH;RECUAY;3
18;2023;SETIEMBRE;DEFUNCION;FEMENINO;ANCASH;SANTA;16
19;2023;SETIEMBRE;DEFUNCION;FEMENINO;ANCASH;YUNGAY;1
20;2023;SETIEMBRE;DEFUNCION;FEMENINO;APURIMAC;ABANCAY;2
21;2023;SETIEMBRE;DEFUNCION;FEMENINO;APURIMAC;ANDAHUAYLAS;1
22;2023;SETIEMBRE;DEFUNCION;FEMENINO;APURIMAC;CHINCHEROS;3
23;2023;SETIEMBRE;DEFUNCION;FEMENINO;APURIMAC;COTABAMBAS;3
24;2023;SETIEMBRE;DEFUNCION;FEMENINO;AREQUIPA;AREQUIPA;126
25;2023;SETIEMBRE;DEFUNCION;FEMENINO;AREQUIPA;CAMANA;1
26;2023;SETIEMBRE;DEFUNCION;FEMENINO;AREQUIPA;CARAVELI;2
27;2023;SETIEMBRE;DEFUNCION;FEMENINO;AREQUIPA;CASTILLA;1
28;2023;SETIEMBRE;DEFUNCION;FEMENINO;AREQUIPA;CAYLLOMA;3
29;2023;SETIEMBRE;DEFUNCION;FEMENINO;AREQUIPA;ISLAY;3
30;2023;SETIEMBRE;DEFUNCION;FEMENINO;ARGENTINA;BUENOS AIRES;4
31;2023;SETIEMBRE;DEFUNCION;FEMENINO;ARGENTINA;LA PLATA;1
32;2023;SETIEMBRE;DEFUNCION;FEMENINO;AYACUCHO;HUAMANGA;16
