;ANIO_REGISTRO;MES_REGISTRO;TIPO_ACTA;DE_GENERO;DEPART_CIUDAD_ESTADO_DOM_SOL;PROVINCIA_DOM_SOL;CANT_COPIAS_EMITIDAS
1;2024;ABRIL;DEFUNCION;FEMENINO;AMAZONAS;CHACHAPOYAS;2
2;2024;ABRIL;DEFUNCION;FEMENINO;AMAZONAS;CONDORCANQUI;1
3;2024;ABRIL;DEFUNCION;FEMENINO;AMAZONAS;LUYA;2
4;2024;ABRIL;DEFUNCION;FEMENINO;AMAZONAS;RODRIGUEZ DE MENDOZA;1
5;2024;ABRIL;DEFUNCION;FEMENINO;AMAZONAS;UTCUBAMBA;5
6;2024;ABRIL;DEFUNCION;FEMENINO;ANCASH;BOLOGNESI;1
7;2024;ABRIL;DEFUNCION;FEMENINO;ANCASH;CARHUAZ;1
8;2024;ABRIL;DEFUNCION;FEMENINO;ANCASH;CASMA;1
9;2024;ABRIL;DEFUNCION;FEMENINO;ANCASH;HUARAZ;6
10;2024;ABRIL;DEFUNCION;FEMENINO;ANCASH;HUARI;4
11;2024;ABRIL;DEFUNCION;FEMENINO;ANCASH;HUARMEY;1
12;2024;ABRIL;DEFUNCION;FEMENINO;ANCASH;HUAYLAS;8
13;2024;ABRIL;DEFUNCION;FEMENINO;ANCASH;RECUAY;1
14;2024;ABRIL;DEFUNCION;FEMENINO;ANCASH;SANTA;53
15;2024;ABRIL;DEFUNCION;FEMENINO;ANCASH;YUNGAY;6
16;2024;ABRIL;DEFUNCION;FEMENINO;ANTILLAS HOLANDESAS;BONAIRE;1
17;2024;ABRIL;DEFUNCION;FEMENINO;APURIMAC;ABANCAY;5
18;2024;ABRIL;DEFUNCION;FEMENINO;APURIMAC;ANDAHUAYLAS;3
19;2024;ABRIL;DEFUNCION;FEMENINO;APURIMAC;ANTABAMBA;2
20;2024;ABRIL;DEFUNCION;FEMENINO;APURIMAC;AYMARAES;1
21;2024;ABRIL;DEFUNCION;FEMENINO;APURIMAC;CHINCHEROS;2
22;2024;ABRIL;DEFUNCION;FEMENINO;APURIMAC;COTABAMBAS;2
23;2024;ABRIL;DEFUNCION;FEMENINO;AREQUIPA;AREQUIPA;85
24;2024;ABRIL;DEFUNCION;FEMENINO;AREQUIPA;CAMANA;5
25;2024;ABRIL;DEFUNCION;FEMENINO;AREQUIPA;CASTILLA;2
26;2024;ABRIL;DEFUNCION;FEMENINO;AREQUIPA;CAYLLOMA;4
27;2024;ABRIL;DEFUNCION;FEMENINO;AREQUIPA;ISLAY;2
28;2024;ABRIL;DEFUNCION;FEMENINO;ARGENTINA;BUENOS AIRES;5
29;2024;ABRIL;DEFUNCION;FEMENINO;AYACUCHO;CANGALLO;2
30;2024;ABRIL;DEFUNCION;FEMENINO;AYACUCHO;HUAMANGA;10
31;2024;ABRIL;DEFUNCION;FEMENINO;AYACUCHO;HUANCA SANCOS;1
32;2024;ABRIL;DEFUNCION;FEMENINO;AYACUCHO;LA MAR;2
33;2024;ABRIL;DEFUNCION;FEMENINO;AYACUCHO;LUCANAS;2
34;2024;ABRIL;DEFUNCION;FEMENINO;AYACUCHO;PARINACOCHAS;1
35;2024;ABRIL;DEFUNCION;FEMENINO;AYACUCHO;PAUCAR DEL SARA SARA;1
36;2024;ABRIL;DEFUNCION;FEMENINO;BELGICA;BRUSELAS;1
37;2024;ABRIL;DEFUNCION;FEMENINO;BULGARIA;VARNA;1
38;2024;ABRIL;DEFUNCION;FEMENINO;CAJAMARCA;CAJABAMBA;1
39;2024;ABRIL;DEFUNCION;FEMENINO;CAJAMARCA;CAJAMARCA;38
40;2024;ABRIL;DEFUNCION;FEMENINO;CAJAMARCA;CHOTA;7
41;2024;ABRIL;DEFUNCION;FEMENINO;CAJAMARCA;CONTUMAZA;5
42;2024;ABRIL;DEFUNCION;FEMENINO;CAJAMARCA;CUTERVO;2
43;2024;ABRIL;DEFUNCION;FEMENINO;CAJAMARCA;HUALGAYOC;2
44;2024;ABRIL;DEFUNCION;FEMENINO;CAJAMARCA;JAEN;5
