;ANIO_REGISTRO;MES_REGISTRO;TIPO_ACTA;DE_GENERO;DEPART_CIUDAD_ESTADO_DOM_SOL;PROVINCIA_DOM_SOL;CANT_COPIAS_EMITIDAS
1;2024;FEBRERO;DEFUNCION;FEMENINO;ALEMANIA;BAVIERA;1
2;2024;FEBRERO;DEFUNCION;FEMENINO;AMAZONAS;BAGUA;1
3;2024;FEBRERO;DEFUNCION;FEMENINO;AMAZONAS;CHACHAPOYAS;3
4;2024;FEBRERO;DEFUNCION;FEMENINO;AMAZONAS;CONDORCANQUI;2
5;2024;FEBRERO;DEFUNCION;FEMENINO;AMAZONAS;RODRIGUEZ DE MENDOZA;2
6;2024;FEBRERO;DEFUNCION;FEMENINO;ANCASH;BOLOGNESI;1
7;2024;FEBRERO;DEFUNCION;FEMENINO;ANCASH;CARHUAZ;1
8;2024;FEBRERO;DEFUNCION;FEMENINO;ANCASH;CARLOS FERMIN FITZCARRALD;2
9;2024;FEBRERO;DEFUNCION;FEMENINO;ANCASH;CASMA;2
10;2024;FEBRERO;DEFUNCION;FEMENINO;ANCASH;HUARAZ;5
11;2024;FEBRERO;DEFUNCION;FEMENINO;ANCASH;HUARI;7
12;2024;FEBRERO;DEFUNCION;FEMENINO;ANCASH;HUAYLAS;4
13;2024;FEBRERO;DEFUNCION;FEMENINO;ANCASH;OCROS;2
14;2024;FEBRERO;DEFUNCION;FEMENINO;ANCASH;POMABAMBA;1
15;2024;FEBRERO;DEFUNCION;FEMENINO;ANCASH;SANTA;26
16;2024;FEBRERO;DEFUNCION;FEMENINO;ANCASH;SIHUAS;1
17;2024;FEBRERO;DEFUNCION;FEMENINO;ANCASH;YUNGAY;2
18;2024;FEBRERO;DEFUNCION;FEMENINO;APURIMAC;ABANCAY;5
19;2024;FEBRERO;DEFUNCION;FEMENINO;APURIMAC;ANDAHUAYLAS;1
20;2024;FEBRERO;DEFUNCION;FEMENINO;APURIMAC;AYMARAES;1
21;2024;FEBRERO;DEFUNCION;FEMENINO;APURIMAC;CHINCHEROS;1
22;2024;FEBRERO;DEFUNCION;FEMENINO;APURIMAC;COTABAMBAS;1
23;2024;FEBRERO;DEFUNCION;FEMENINO;AREQUIPA;AREQUIPA;86
24;2024;FEBRERO;DEFUNCION;FEMENINO;AREQUIPA;CAMANA;3
25;2024;FEBRERO;DEFUNCION;FEMENINO;AREQUIPA;CARAVELI;3
26;2024;FEBRERO;DEFUNCION;FEMENINO;AREQUIPA;CASTILLA;1
27;2024;FEBRERO;DEFUNCION;FEMENINO;AREQUIPA;CAYLLOMA;1
28;2024;FEBRERO;DEFUNCION;FEMENINO;AREQUIPA;ISLAY;3
29;2024;FEBRERO;DEFUNCION;FEMENINO;AREQUIPA;LA UNION;1
30;2024;FEBRERO;DEFUNCION;FEMENINO;ARGENTINA;BUENOS AIRES;9
31;2024;FEBRERO;DEFUNCION;FEMENINO;ARGENTINA;MENDOZA;1
32;2024;FEBRERO;DEFUNCION;FEMENINO;AUSTRALIA;SIDNEY;1
33;2024;FEBRERO;DEFUNCION;FEMENINO;AYACUCHO;CANGALLO;1
34;2024;FEBRERO;DEFUNCION;FEMENINO;AYACUCHO;HUAMANGA;8
35;2024;FEBRERO;DEFUNCION;FEMENINO;AYACUCHO;HUANTA;2
36;2024;FEBRERO;DEFUNCION;FEMENINO;AYACUCHO;LA MAR;1
37;2024;FEBRERO;DEFUNCION;FEMENINO;AYACUCHO;PARINACOCHAS;3
38;2024;FEBRERO;DEFUNCION;FEMENINO;AYACUCHO;PAUCAR DEL SARA SARA;2
39;2024;FEBRERO;DEFUNCION;FEMENINO;AYACUCHO;VICTOR FAJARDO;1
40;2024;FEBRERO;DEFUNCION;FEMENINO;BRASIL;BELO HORIZONTE;1
41;2024;FEBRERO;DEFUNCION;FEMENINO;CAJAMARCA;CAJABAMBA;1
42;2024;FEBRERO;DEFUNCION;FEMENINO;CAJAMARCA;CAJAMARCA;26
43;2024;FEBRERO;DEFUNCION;FEMENINO;CAJAMARCA;CELENDIN;1
44;2024;FEBRERO;DEFUNCION;FEMENINO;CAJAMARCA;CHOTA;6
45;2024;FEBRERO;DEFUNCION;FEMENINO;CAJAMARCA;CONTUMAZA;1
46;2024;FEBRERO;DEFUNCION;FEMENINO;CAJAMARCA;CUTERVO;3
47;2024;FEBRERO;DEFUNCION;FEMENINO;CAJAMARCA;JAEN;4
48;2024;FEBRERO;DEFUNCION;FEMENINO;CAJAMARCA;SAN IGNACIO;2
