;ANIO_REGISTRO;MES_REGISTRO;TIPO_ACTA;DE_GENERO;DEPART_CIUDAD_ESTADO_DOM_SOL;PROVINCIA_DOM_SOL;CANT_COPIAS_EMITIDAS
1;2024;JULIO;DEFUNCION;FEMENINO;ALEMANIA;BERLIN;1
2;2024;JULIO;DEFUNCION;FEMENINO;AMAZONAS;BONGARA;1
3;2024;JULIO;DEFUNCION;FEMENINO;AMAZONAS;CHACHAPOYAS;10
4;2024;JULIO;DEFUNCION;FEMENINO;AMAZONAS;CONDORCANQUI;1
5;2024;JULIO;DEFUNCION;FEMENINO;AMAZONAS;LUYA;1
6;2024;JULIO;DEFUNCION;FEMENINO;AMAZONAS;RODRIGUEZ DE MENDOZA;3
7;2024;JULIO;DEFUNCION;FEMENINO;AMAZONAS;UTCUBAMBA;2
8;2024;JULIO;DEFUNCION;FEMENINO;ANCASH;BOLOGNESI;1
9;2024;JULIO;DEFUNCION;FEMENINO;ANCASH;CARHUAZ;2
10;2024;JULIO;DEFUNCION;FEMENINO;ANCASH;CASMA;2
11;2024;JULIO;DEFUNCION;FEMENINO;ANCASH;HUARAZ;7
12;2024;JULIO;DEFUNCION;FEMENINO;ANCASH;HUARI;5
13;2024;JULIO;DEFUNCION;FEMENINO;ANCASH;HUARMEY;1
14;2024;JULIO;DEFUNCION;FEMENINO;ANCASH;HUAYLAS;1
15;2024;JULIO;DEFUNCION;FEMENINO;ANCASH;OCROS;1
16;2024;JULIO;DEFUNCION;FEMENINO;ANCASH;PALLASCA;2
17;2024;JULIO;DEFUNCION;FEMENINO;ANCASH;RECUAY;2
18;2024;JULIO;DEFUNCION;FEMENINO;ANCASH;SANTA;23
19;2024;JULIO;DEFUNCION;FEMENINO;ANCASH;SIHUAS;1
20;2024;JULIO;DEFUNCION;FEMENINO;ANCASH;YUNGAY;3
21;2024;JULIO;DEFUNCION;FEMENINO;APURIMAC;ABANCAY;3
22;2024;JULIO;DEFUNCION;FEMENINO;APURIMAC;ANDAHUAYLAS;3
23;2024;JULIO;DEFUNCION;FEMENINO;APURIMAC;ANTABAMBA;1
24;2024;JULIO;DEFUNCION;FEMENINO;APURIMAC;AYMARAES;3
25;2024;JULIO;DEFUNCION;FEMENINO;APURIMAC;CHINCHEROS;1
26;2024;JULIO;DEFUNCION;FEMENINO;APURIMAC;COTABAMBAS;3
27;2024;JULIO;DEFUNCION;FEMENINO;AREQUIPA;AREQUIPA;95
28;2024;JULIO;DEFUNCION;FEMENINO;AREQUIPA;CAMANA;1
29;2024;JULIO;DEFUNCION;FEMENINO;AREQUIPA;CARAVELI;5
30;2024;JULIO;DEFUNCION;FEMENINO;AREQUIPA;CAYLLOMA;9
31;2024;JULIO;DEFUNCION;FEMENINO;AREQUIPA;ISLAY;5
32;2024;JULIO;DEFUNCION;FEMENINO;ARGENTINA;BUENOS AIRES;4
33;2024;JULIO;DEFUNCION;FEMENINO;AYACUCHO;HUAMANGA;9
34;2024;JULIO;DEFUNCION;FEMENINO;AYACUCHO;HUANTA;2
