;ANIO_REGISTRO;MES_REGISTRO;TIPO_ACTA;DE_GENERO;DEPART_CIUDAD_ESTADO_DOM_SOL;PROVINCIA_DOM_SOL;CANT_COPIAS_EMITIDAS
1;2024;JUNIO;DEFUNCION;FEMENINO;ALEMANIA;BERLIN;1
2;2024;JUNIO;DEFUNCION;FEMENINO;AMAZONAS;BAGUA;5
3;2024;JUNIO;DEFUNCION;FEMENINO;AMAZONAS;CHACHAPOYAS;2
4;2024;JUNIO;DEFUNCION;FEMENINO;AMAZONAS;LUYA;5
5;2024;JUNIO;DEFUNCION;FEMENINO;AMAZONAS;UTCUBAMBA;2
6;2024;JUNIO;DEFUNCION;FEMENINO;ANCASH;ASUNCION;1
7;2024;JUNIO;DEFUNCION;FEMENINO;ANCASH;BOLOGNESI;2
8;2024;JUNIO;DEFUNCION;FEMENINO;ANCASH;CARHUAZ;4
9;2024;JUNIO;DEFUNCION;FEMENINO;ANCASH;CARLOS FERMIN FITZCARRALD;2
10;2024;JUNIO;DEFUNCION;FEMENINO;ANCASH;CASMA;2
11;2024;JUNIO;DEFUNCION;FEMENINO;ANCASH;HUARAZ;5
12;2024;JUNIO;DEFUNCION;FEMENINO;ANCASH;HUARI;4
13;2024;JUNIO;DEFUNCION;FEMENINO;ANCASH;HUAYLAS;1
14;2024;JUNIO;DEFUNCION;FEMENINO;ANCASH;PALLASCA;2
15;2024;JUNIO;DEFUNCION;FEMENINO;ANCASH;RECUAY;1
16;2024;JUNIO;DEFUNCION;FEMENINO;ANCASH;SANTA;20
17;2024;JUNIO;DEFUNCION;FEMENINO;ANCASH;YUNGAY;3
18;2024;JUNIO;DEFUNCION;FEMENINO;APURIMAC;ABANCAY;4
19;2024;JUNIO;DEFUNCION;FEMENINO;APURIMAC;ANDAHUAYLAS;4
20;2024;JUNIO;DEFUNCION;FEMENINO;APURIMAC;CHINCHEROS;1
21;2024;JUNIO;DEFUNCION;FEMENINO;APURIMAC;COTABAMBAS;2
22;2024;JUNIO;DEFUNCION;FEMENINO;AREQUIPA;AREQUIPA;67
23;2024;JUNIO;DEFUNCION;FEMENINO;AREQUIPA;CARAVELI;2
24;2024;JUNIO;DEFUNCION;FEMENINO;AREQUIPA;CONDESUYOS;1
25;2024;JUNIO;DEFUNCION;FEMENINO;AREQUIPA;ISLAY;2
26;2024;JUNIO;DEFUNCION;FEMENINO;AUSTRIA;VIENA;1
27;2024;JUNIO;DEFUNCION;FEMENINO;AYACUCHO;CANGALLO;1
28;2024;JUNIO;DEFUNCION;FEMENINO;AYACUCHO;HUAMANGA;8
29;2024;JUNIO;DEFUNCION;FEMENINO;AYACUCHO;HUANTA;2
30;2024;JUNIO;DEFUNCION;FEMENINO;AYACUCHO;LA MAR;3
31;2024;JUNIO;DEFUNCION;FEMENINO;AYACUCHO;LUCANAS;2
32;2024;JUNIO;DEFUNCION;FEMENINO;AYACUCHO;PARINACOCHAS;1
33;2024;JUNIO;DEFUNCION;FEMENINO;AYACUCHO;PAUCAR DEL SARA SARA;1
34;2024;JUNIO;DEFUNCION;FEMENINO;AYACUCHO;SUCRE;1
35;2024;JUNIO;DEFUNCION;FEMENINO;BELGICA;BRUSELAS;1
36;2024;JUNIO;DEFUNCION;FEMENINO;CAJAMARCA;CAJABAMBA;2
37;2024;JUNIO;DEFUNCION;FEMENINO;CAJAMARCA;CAJAMARCA;30
38;2024;JUNIO;DEFUNCION;FEMENINO;CAJAMARCA;CHOTA;2
39;2024;JUNIO;DEFUNCION;FEMENINO;CAJAMARCA;JAEN;5
40;2024;JUNIO;DEFUNCION;FEMENINO;CAJAMARCA;SAN IGNACIO;1
