;ANIO_REGISTRO;MES_REGISTRO;TIPO_ACTA;DE_GENERO;DEPART_CIUDAD_ESTADO_DOM_SOL;PROVINCIA_DOM_SOL;CANT_COPIAS_EMITIDAS
1;2024;OCTUBRE;DEFUNCION;FEMENINO;ALEMANIA;BAVIERA;1
2;2024;OCTUBRE;DEFUNCION;FEMENINO;ALEMANIA;BRANDENBURGO;1
3;2024;OCTUBRE;DEFUNCION;FEMENINO;ALEMANIA;HAMBURGO;3
4;2024;OCTUBRE;DEFUNCION;FEMENINO;AMAZONAS;BAGUA;3
5;2024;OCTUBRE;DEFUNCION;FEMENINO;AMAZONAS;BONGARA;2
6;2024;OCTUBRE;DEFUNCION;FEMENINO;AMAZONAS;CHACHAPOYAS;5
7;2024;OCTUBRE;DEFUNCION;FEMENINO;AMAZONAS;RODRIGUEZ DE MENDOZA;2
8;2024;OCTUBRE;DEFUNCION;FEMENINO;ANCASH;BOLOGNESI;1
9;2024;OCTUBRE;DEFUNCION;FEMENINO;ANCASH;CARHUAZ;2
10;2024;OCTUBRE;DEFUNCION;FEMENINO;ANCASH;CASMA;6
11;2024;OCTUBRE;DEFUNCION;FEMENINO;ANCASH;HUARAZ;4
12;2024;OCTUBRE;DEFUNCION;FEMENINO;ANCASH;HUARI;3
13;2024;OCTUBRE;DEFUNCION;FEMENINO;ANCASH;HUAYLAS;6
14;2024;OCTUBRE;DEFUNCION;FEMENINO;ANCASH;OCROS;1
15;2024;OCTUBRE;DEFUNCION;FEMENINO;ANCASH;RECUAY;1
16;2024;OCTUBRE;DEFUNCION;FEMENINO;ANCASH;SANTA;67
17;2024;OCTUBRE;DEFUNCION;FEMENINO;ANCASH;YUNGAY;4
18;2024;OCTUBRE;DEFUNCION;FEMENINO;APURIMAC;ABANCAY;6
19;2024;OCTUBRE;DEFUNCION;FEMENINO;APURIMAC;ANDAHUAYLAS;3
20;2024;OCTUBRE;DEFUNCION;FEMENINO;APURIMAC;AYMARAES;1
21;2024;OCTUBRE;DEFUNCION;FEMENINO;APURIMAC;CHINCHEROS;3
