;ANIO_REGISTRO;MES_REGISTRO;TIPO_ACTA;DE_GENERO;DEPART_CIUDAD_ESTADO_DOM_SOL;PROVINCIA_DOM_SOL;CANT_COPIAS_EMITIDAS
1;2025;ENERO;DEFUNCION;FEMENINO;AMAZONAS;BAGUA;2
2;2025;ENERO;DEFUNCION;FEMENINO;AMAZONAS;BONGARA;2
3;2025;ENERO;DEFUNCION;FEMENINO;AMAZONAS;CONDORCANQUI;1
4;2025;ENERO;DEFUNCION;FEMENINO;AMAZONAS;LUYA;3
5;2025;ENERO;DEFUNCION;FEMENINO;AMAZONAS;RODRIGUEZ DE MENDOZA;4
6;2025;ENERO;DEFUNCION;FEMENINO;AMAZONAS;UTCUBAMBA;3
7;2025;ENERO;DEFUNCION;FEMENINO;ANCASH;CARHUAZ;5
8;2025;ENERO;DEFUNCION;FEMENINO;ANCASH;CASMA;3
9;2025;ENERO;DEFUNCION;FEMENINO;ANCASH;HUARAZ;9
10;2025;ENERO;DEFUNCION;FEMENINO;ANCASH;HUARI;11
11;2025;ENERO;DEFUNCION;FEMENINO;ANCASH;HUAYLAS;4
12;2025;ENERO;DEFUNCION;FEMENINO;ANCASH;RECUAY;1
13;2025;ENERO;DEFUNCION;FEMENINO;ANCASH;SANTA;56
14;2025;ENERO;DEFUNCION;FEMENINO;ANCASH;YUNGAY;3
15;2025;ENERO;DEFUNCION;FEMENINO;APURIMAC;ANDAHUAYLAS;2
16;2025;ENERO;DEFUNCION;FEMENINO;APURIMAC;CHINCHEROS;2
17;2025;ENERO;DEFUNCION;FEMENINO;AREQUIPA;AREQUIPA;231
18;2025;ENERO;DEFUNCION;FEMENINO;AREQUIPA;CAMANA;2
19;2025;ENERO;DEFUNCION;FEMENINO;AREQUIPA;CARAVELI;5
20;2025;ENERO;DEFUNCION;FEMENINO;AREQUIPA;CASTILLA;1
21;2025;ENERO;DEFUNCION;FEMENINO;AREQUIPA;CAYLLOMA;6
22;2025;ENERO;DEFUNCION;FEMENINO;AREQUIPA;CONDESUYOS;1
23;2025;ENERO;DEFUNCION;FEMENINO;AREQUIPA;ISLAY;2
24;2025;ENERO;DEFUNCION;FEMENINO;ARGENTINA;BUENOS AIRES;5
25;2025;ENERO;DEFUNCION;FEMENINO;ARGENTINA;LA PLATA;1
26;2025;ENERO;DEFUNCION;FEMENINO;AUSTRALIA;SIDNEY;3
27;2025;ENERO;DEFUNCION;FEMENINO;AYACUCHO;CANGALLO;1
28;2025;ENERO;DEFUNCION;FEMENINO;AYACUCHO;HUAMANGA;13
29;2025;ENERO;DEFUNCION;FEMENINO;AYACUCHO;HUANTA;2
30;2025;ENERO;DEFUNCION;FEMENINO;AYACUCHO;LA MAR;1
31;2025;ENERO;DEFUNCION;FEMENINO;AYACUCHO;LUCANAS;2
32;2025;ENERO;DEFUNCION;FEMENINO;AYACUCHO;PARINACOCHAS;4
33;2025;ENERO;DEFUNCION;FEMENINO;AYACUCHO;SUCRE;2
34;2025;ENERO;DEFUNCION;FEMENINO;AYACUCHO;VILCAS HUAMAN;1
35;2025;ENERO;DEFUNCION;FEMENINO;BRASIL;RIO DE JANEIRO;1
36;2025;ENERO;DEFUNCION;FEMENINO;CAJAMARCA;CAJABAMBA;4
37;2025;ENERO;DEFUNCION;FEMENINO;CAJAMARCA;CAJAMARCA;42
38;2025;ENERO;DEFUNCION;FEMENINO;CAJAMARCA;CHOTA;2
39;2025;ENERO;DEFUNCION;FEMENINO;CAJAMARCA;CONTUMAZA;1
40;2025;ENERO;DEFUNCION;FEMENINO;CAJAMARCA;CUTERVO;1
41;2025;ENERO;DEFUNCION;FEMENINO;CAJAMARCA;HUALGAYOC;3
42;2025;ENERO;DEFUNCION;FEMENINO;CAJAMARCA;JAEN;4
43;2025;ENERO;DEFUNCION;FEMENINO;CAJAMARCA;SAN IGNACIO;1
44;2025;ENERO;DEFUNCION;FEMENINO;CAJAMARCA;SAN MARCOS;1
45;2025;ENERO;DEFUNCION;FEMENINO;CAJAMARCA;SAN MIGUEL;5
46;2025;ENERO;DEFUNCION;FEMENINO;CAJAMARCA;SANTA CRUZ;1
47;2025;ENERO;DEFUNCION;FEMENINO;CANADA;ONTARIO;1
48;2025;ENERO;DEFUNCION;FEMENINO;CHILE;COQUIMBO;2
49;2025;ENERO;DEFUNCION;FEMENINO;CHILE;SANTIAGO;6
50;2025;ENERO;DEFUNCION;FEMENINO;COLOMBIA;TOLIMA;1
51;2025;ENERO;DEFUNCION;FEMENINO;CUSCO;ACOMAYO;2
52;2025;ENERO;DEFUNCION;FEMENINO;CUSCO;ANTA;2
53;2025;ENERO;DEFUNCION;FEMENINO;CUSCO;CALCA;3
54;2025;ENERO;DEFUNCION;FEMENINO;CUSCO;CANCHIS;1
55;2025;ENERO;DEFUNCION;FEMENINO;CUSCO;CHUMBIVILCAS;1
56;2025;ENERO;DEFUNCION;FEMENINO;CUSCO;CUSCO;80
57;2025;ENERO;DEFUNCION;FEMENINO;CUSCO;ESPINAR;2
58;2025;ENERO;DEFUNCION;FEMENINO;CUSCO;LA CONVENCION;9
59;2025;ENERO;DEFUNCION;FEMENINO;CUSCO;QUISPICANCHI;10
60;2025;ENERO;DEFUNCION;FEMENINO;CUSCO;URUBAMBA;3
61;2025;ENERO;DEFUNCION;FEMENINO;ECUADOR;GUAYAQUIL;1
62;2025;ENERO;DEFUNCION;FEMENINO;ECUADOR;QUITO;2
63;2025;ENERO;DEFUNCION;FEMENINO;ESPAÑA;ALBACETE;1
64;2025;ENERO;DEFUNCION;FEMENINO;ESPAÑA;ALICANTE;1
65;2025;ENERO;DEFUNCION;FEMENINO;ESPAÑA;BARCELONA;4
66;2025;ENERO;DEFUNCION;FEMENINO;ESPAÑA;GUADALAJARA;1
67;2025;ENERO;DEFUNCION;FEMENINO;ESPAÑA;MADRID;6
68;2025;ENERO;DEFUNCION;FEMENINO;ESPAÑA;SEVILLA;1
69;2025;ENERO;DEFUNCION;FEMENINO;ESTADOS UNIDOS DE AMERICA;ALABAMA;1
70;2025;ENERO;DEFUNCION;FEMENINO;ESTADOS UNIDOS DE AMERICA;FLORIDA;3
71;2025;ENERO;DEFUNCION;FEMENINO;ESTADOS UNIDOS DE AMERICA;GEORGIA;1
72;2025;ENERO;DEFUNCION;FEMENINO;ESTADOS UNIDOS DE AMERICA;LOS ANGELES;1
73;2025;ENERO;DEFUNCION;FEMENINO;ESTADOS UNIDOS DE AMERICA;MARYLAND;1
74;2025;ENERO;DEFUNCION;FEMENINO;ESTADOS UNIDOS DE AMERICA;MIAMI;4
75;2025;ENERO;DEFUNCION;FEMENINO;ESTADOS UNIDOS DE AMERICA;NUEVA YORK;1
76;2025;ENERO;DEFUNCION;FEMENINO;ESTADOS UNIDOS DE AMERICA;ORLANDO;2
77;2025;ENERO;DEFUNCION;FEMENINO;ESTADOS UNIDOS DE AMERICA;SAN FRANCISCO;3
78;2025;ENERO;DEFUNCION;FEMENINO;ESTADOS UNIDOS DE AMERICA;VIRGINIA;1
79;2025;ENERO;DEFUNCION;FEMENINO;ESTADOS UNIDOS DE AMERICA;WISCONSIN;1
80;2025;ENERO;DEFUNCION;FEMENINO;FRANCIA;CENTRO VALLE DEL LOIRA;1
81;2025;ENERO;DEFUNCION;FEMENINO;FRANCIA;ILE DE FRANCE;1
82;2025;ENERO;DEFUNCION;FEMENINO;HUANCAVELICA;ACOBAMBA;2
83;2025;ENERO;DEFUNCION;FEMENINO;HUANCAVELICA;CASTROVIRREYNA;3
84;2025;ENERO;DEFUNCION;FEMENINO;HUANCAVELICA;CHURCAMPA;5
85;2025;ENERO;DEFUNCION;FEMENINO;HUANCAVELICA;HUANCAVELICA;3
86;2025;ENERO;DEFUNCION;FEMENINO;HUANCAVELICA;HUAYTARA;1
87;2025;ENERO;DEFUNCION;FEMENINO;HUANCAVELICA;TAYACAJA;4
88;2025;ENERO;DEFUNCION;FEMENINO;HUANUCO;AMBO;4
89;2025;ENERO;DEFUNCION;FEMENINO;HUANUCO;HUAMALIES;3
90;2025;ENERO;DEFUNCION;FEMENINO;HUANUCO;HUANUCO;15
91;2025;ENERO;DEFUNCION;FEMENINO;HUANUCO;LEONCIO PRADO;14
92;2025;ENERO;DEFUNCION;FEMENINO;HUANUCO;MARAÑON;3
93;2025;ENERO;DEFUNCION;FEMENINO;HUANUCO;PACHITEA;1
94;2025;ENERO;DEFUNCION;FEMENINO;HUANUCO;PUERTO INCA;3
95;2025;ENERO;DEFUNCION;FEMENINO;HUANUCO;YAROWILCA;2
96;2025;ENERO;DEFUNCION;FEMENINO;ICA;CHINCHA;75
97;2025;ENERO;DEFUNCION;FEMENINO;ICA;ICA;162
98;2025;ENERO;DEFUNCION;FEMENINO;ICA;NASCA;14
99;2025;ENERO;DEFUNCION;FEMENINO;ICA;PALPA;3
100;2025;ENERO;DEFUNCION;FEMENINO;ICA;PISCO;29
101;2025;ENERO;DEFUNCION;FEMENINO;ITALIA;GENOVA;1
102;2025;ENERO;DEFUNCION;FEMENINO;ITALIA;IMPERIA;2
103;2025;ENERO;DEFUNCION;FEMENINO;ITALIA;MARCAS;1
104;2025;ENERO;DEFUNCION;FEMENINO;ITALIA;MILAN;3
