;ANIO_REGISTRO;MES_REGISTRO;TIPO_ACTA;DE_GENERO;DEPART_CIUDAD_ESTADO_DOM_SOL;PROVINCIA_DOM_SOL;CANT_COPIAS_EMITIDAS
1;2025;ABRIL;DEFUNCION;FEMENINO;ALEMANIA;BERLIN;1
2;2025;ABRIL;DEFUNCION;FEMENINO;ALEMANIA;HAMBURGO;1
3;2025;ABRIL;DEFUNCION;FEMENINO;AMAZONAS;BAGUA;2
4;2025;ABRIL;DEFUNCION;FEMENINO;AMAZONAS;BONGARA;1
5;2025;ABRIL;DEFUNCION;FEMENINO;AMAZONAS;CHACHAPOYAS;3
6;2025;ABRIL;DEFUNCION;FEMENINO;AMAZONAS;LUYA;2
7;2025;ABRIL;DEFUNCION;FEMENINO;AMAZONAS;RODRIGUEZ DE MENDOZA;2
8;2025;ABRIL;DEFUNCION;FEMENINO;AMAZONAS;UTCUBAMBA;1
9;2025;ABRIL;DEFUNCION;FEMENINO;ANCASH;ASUNCION;2
10;2025;ABRIL;DEFUNCION;FEMENINO;ANCASH;BOLOGNESI;1
11;2025;ABRIL;DEFUNCION;FEMENINO;ANCASH;CARHUAZ;1
12;2025;ABRIL;DEFUNCION;FEMENINO;ANCASH;HUARAZ;3
13;2025;ABRIL;DEFUNCION;FEMENINO;ANCASH;HUARI;5
14;2025;ABRIL;DEFUNCION;FEMENINO;ANCASH;HUARMEY;3
15;2025;ABRIL;DEFUNCION;FEMENINO;ANCASH;HUAYLAS;3
16;2025;ABRIL;DEFUNCION;FEMENINO;ANCASH;MARISCAL LUZURIAGA;1
17;2025;ABRIL;DEFUNCION;FEMENINO;ANCASH;RECUAY;2
18;2025;ABRIL;DEFUNCION;FEMENINO;ANCASH;SANTA;61
19;2025;ABRIL;DEFUNCION;FEMENINO;ANCASH;YUNGAY;4
20;2025;ABRIL;DEFUNCION;FEMENINO;APURIMAC;ABANCAY;2
21;2025;ABRIL;DEFUNCION;FEMENINO;APURIMAC;ANDAHUAYLAS;3
22;2025;ABRIL;DEFUNCION;FEMENINO;APURIMAC;ANTABAMBA;1
23;2025;ABRIL;DEFUNCION;FEMENINO;APURIMAC;AYMARAES;3
24;2025;ABRIL;DEFUNCION;FEMENINO;APURIMAC;CHINCHEROS;1
25;2025;ABRIL;DEFUNCION;FEMENINO;APURIMAC;COTABAMBAS;2
26;2025;ABRIL;DEFUNCION;FEMENINO;AREQUIPA;AREQUIPA;196
27;2025;ABRIL;DEFUNCION;FEMENINO;AREQUIPA;CAMANA;4
28;2025;ABRIL;DEFUNCION;FEMENINO;AREQUIPA;CARAVELI;3
29;2025;ABRIL;DEFUNCION;FEMENINO;AREQUIPA;CASTILLA;1
30;2025;ABRIL;DEFUNCION;FEMENINO;AREQUIPA;CAYLLOMA;5
31;2025;ABRIL;DEFUNCION;FEMENINO;AREQUIPA;ISLAY;5
32;2025;ABRIL;DEFUNCION;FEMENINO;ARGENTINA;BUENOS AIRES;2
33;2025;ABRIL;DEFUNCION;FEMENINO;AYACUCHO;CANGALLO;1
34;2025;ABRIL;DEFUNCION;FEMENINO;AYACUCHO;HUAMANGA;13
35;2025;ABRIL;DEFUNCION;FEMENINO;AYACUCHO;HUANTA;1
36;2025;ABRIL;DEFUNCION;FEMENINO;AYACUCHO;LA MAR;2
37;2025;ABRIL;DEFUNCION;FEMENINO;AYACUCHO;LUCANAS;1
38;2025;ABRIL;DEFUNCION;FEMENINO;AYACUCHO;PARINACOCHAS;6
39;2025;ABRIL;DEFUNCION;FEMENINO;AYACUCHO;PAUCAR DEL SARA SARA;1
40;2025;ABRIL;DEFUNCION;FEMENINO;AYACUCHO;SUCRE;1
41;2025;ABRIL;DEFUNCION;FEMENINO;BELGICA;BRUSELAS;1
42;2025;ABRIL;DEFUNCION;FEMENINO;BELGICA;LIEJA;1
43;2025;ABRIL;DEFUNCION;FEMENINO;BOLIVIA;EL ALTO;1
44;2025;ABRIL;DEFUNCION;FEMENINO;CAJAMARCA;CAJABAMBA;1
45;2025;ABRIL;DEFUNCION;FEMENINO;CAJAMARCA;CAJAMARCA;21
46;2025;ABRIL;DEFUNCION;FEMENINO;CAJAMARCA;CHOTA;4
47;2025;ABRIL;DEFUNCION;FEMENINO;CAJAMARCA;CONTUMAZA;2
48;2025;ABRIL;DEFUNCION;FEMENINO;CAJAMARCA;CUTERVO;1
49;2025;ABRIL;DEFUNCION;FEMENINO;CAJAMARCA;JAEN;3
50;2025;ABRIL;DEFUNCION;FEMENINO;CAJAMARCA;SAN IGNACIO;1
51;2025;ABRIL;DEFUNCION;FEMENINO;CAJAMARCA;SAN MARCOS;2
52;2025;ABRIL;DEFUNCION;FEMENINO;CAJAMARCA;SAN MIGUEL;2
53;2025;ABRIL;DEFUNCION;FEMENINO;CAJAMARCA;SAN PABLO;1
54;2025;ABRIL;DEFUNCION;FEMENINO;CAJAMARCA;SANTA CRUZ;1
55;2025;ABRIL;DEFUNCION;FEMENINO;CANADA;COLUMBIA BRITANICA;1
56;2025;ABRIL;DEFUNCION;FEMENINO;CHILE;COQUIMBO;1
57;2025;ABRIL;DEFUNCION;FEMENINO;CHILE;SANTIAGO;2
58;2025;ABRIL;DEFUNCION;FEMENINO;CHILE;VALPARAISO;2
59;2025;ABRIL;DEFUNCION;FEMENINO;CUSCO;ANTA;1
60;2025;ABRIL;DEFUNCION;FEMENINO;CUSCO;CALCA;1
61;2025;ABRIL;DEFUNCION;FEMENINO;CUSCO;CUSCO;66
62;2025;ABRIL;DEFUNCION;FEMENINO;CUSCO;LA CONVENCION;4
63;2025;ABRIL;DEFUNCION;FEMENINO;CUSCO;QUISPICANCHI;10
64;2025;ABRIL;DEFUNCION;FEMENINO;CUSCO;URUBAMBA;3
65;2025;ABRIL;DEFUNCION;FEMENINO;ESPAÑA;BARCELONA;3
66;2025;ABRIL;DEFUNCION;FEMENINO;ESPAÑA;GUIPUZCOA;1
67;2025;ABRIL;DEFUNCION;FEMENINO;ESPAÑA;MADRID;2
68;2025;ABRIL;DEFUNCION;FEMENINO;ESPAÑA;MALLORCA;1
69;2025;ABRIL;DEFUNCION;FEMENINO;ESTADOS UNIDOS DE AMERICA;CALIFORNIA;1
70;2025;ABRIL;DEFUNCION;FEMENINO;ESTADOS UNIDOS DE AMERICA;FLORIDA;2
71;2025;ABRIL;DEFUNCION;FEMENINO;ESTADOS UNIDOS DE AMERICA;MIAMI;3
72;2025;ABRIL;DEFUNCION;FEMENINO;ESTADOS UNIDOS DE AMERICA;NEVADA;1
73;2025;ABRIL;DEFUNCION;FEMENINO;ESTADOS UNIDOS DE AMERICA;NUEVA JERSEY;4
