#;ANIO_REGISTRO;MES_REGISTRO;TIPO_ACTA;DE_GENERO;DEPART_CIUDAD_ESTADO_DOM_SOL;PROVINCIA_DOM_SOL;CANT_COPIAS_EMITIDAS
1;2025;AGOSTO;DEFUNCION;FEMENINO;AMAZONAS;BAGUA;3
2;2025;AGOSTO;DEFUNCION;FEMENINO;AMAZONAS;BONGARA;1
3;2025;AGOSTO;DEFUNCION;FEMENINO;AMAZONAS;CHACHAPOYAS;2
4;2025;AGOSTO;DEFUNCION;FEMENINO;AMAZONAS;LUYA;5
5;2025;AGOSTO;DEFUNCION;FEMENINO;AMAZONAS;UTCUBAMBA;1
6;2025;AGOSTO;DEFUNCION;FEMENINO;ANCASH;BOLOGNESI;2
7;2025;AGOSTO;DEFUNCION;FEMENINO;ANCASH;CASMA;2
8;2025;AGOSTO;DEFUNCION;FEMENINO;ANCASH;HUARAZ;6
9;2025;AGOSTO;DEFUNCION;FEMENINO;ANCASH;HUARI;5
10;2025;AGOSTO;DEFUNCION;FEMENINO;ANCASH;HUARMEY;3
11;2025;AGOSTO;DEFUNCION;FEMENINO;ANCASH;HUAYLAS;5
12;2025;AGOSTO;DEFUNCION;FEMENINO;ANCASH;PALLASCA;1
13;2025;AGOSTO;DEFUNCION;FEMENINO;ANCASH;SANTA;48
14;2025;AGOSTO;DEFUNCION;FEMENINO;ANCASH;YUNGAY;4
15;2025;AGOSTO;DEFUNCION;FEMENINO;APURIMAC;ABANCAY;2
16;2025;AGOSTO;DEFUNCION;FEMENINO;APURIMAC;ANDAHUAYLAS;1
17;2025;AGOSTO;DEFUNCION;FEMENINO;APURIMAC;AYMARAES;1
18;2025;AGOSTO;DEFUNCION;FEMENINO;APURIMAC;CHINCHEROS;3
19;2025;AGOSTO;DEFUNCION;FEMENINO;AREQUIPA;AREQUIPA;176
20;2025;AGOSTO;DEFUNCION;FEMENINO;AREQUIPA;CAMANA;2
21;2025;AGOSTO;DEFUNCION;FEMENINO;AREQUIPA;CARAVELI;6
22;2025;AGOSTO;DEFUNCION;FEMENINO;AREQUIPA;CASTILLA;1
23;2025;AGOSTO;DEFUNCION;FEMENINO;AREQUIPA;CAYLLOMA;2
24;2025;AGOSTO;DEFUNCION;FEMENINO;AREQUIPA;ISLAY;3
25;2025;AGOSTO;DEFUNCION;FEMENINO;ARGENTINA;BUENOS AIRES;4
26;2025;AGOSTO;DEFUNCION;FEMENINO;ARGENTINA;LA PLATA;9
27;2025;AGOSTO;DEFUNCION;FEMENINO;AYACUCHO;HUAMANGA;17
28;2025;AGOSTO;DEFUNCION;FEMENINO;AYACUCHO;HUANCA SANCOS;1
29;2025;AGOSTO;DEFUNCION;FEMENINO;AYACUCHO;HUANTA;2
30;2025;AGOSTO;DEFUNCION;FEMENINO;AYACUCHO;LA MAR;2
31;2025;AGOSTO;DEFUNCION;FEMENINO;AYACUCHO;LUCANAS;1
32;2025;AGOSTO;DEFUNCION;FEMENINO;AYACUCHO;PARINACOCHAS;3
33;2025;AGOSTO;DEFUNCION;FEMENINO;AYACUCHO;PAUCAR DEL SARA SARA;1
34;2025;AGOSTO;DEFUNCION;FEMENINO;BELGICA;FLANDES OCCIDENTAL;7
35;2025;AGOSTO;DEFUNCION;FEMENINO;BRASIL;ESPIRITO SANTO;2
36;2025;AGOSTO;DEFUNCION;FEMENINO;CAJAMARCA;CAJABAMBA;3
37;2025;AGOSTO;DEFUNCION;FEMENINO;CAJAMARCA;CAJAMARCA;29
38;2025;AGOSTO;DEFUNCION;FEMENINO;CAJAMARCA;CHOTA;3
39;2025;AGOSTO;DEFUNCION;FEMENINO;CAJAMARCA;JAEN;4
40;2025;AGOSTO;DEFUNCION;FEMENINO;CAJAMARCA;SAN IGNACIO;3
41;2025;AGOSTO;DEFUNCION;FEMENINO;CAJAMARCA;SAN MIGUEL;1
42;2025;AGOSTO;DEFUNCION;FEMENINO;CAJAMARCA;SAN PABLO;2
43;2025;AGOSTO;DEFUNCION;FEMENINO;CANADA;MONTREAL;1
44;2025;AGOSTO;DEFUNCION;FEMENINO;CANADA;ONTARIO;1
45;2025;AGOSTO;DEFUNCION;FEMENINO;CANADA;OTTAWA;1
46;2025;AGOSTO;DEFUNCION;FEMENINO;CHILE;ANTOFAGASTA;2
47;2025;AGOSTO;DEFUNCION;FEMENINO;CHILE;IQUIQUE;1
48;2025;AGOSTO;DEFUNCION;FEMENINO;CHILE;SANTIAGO;3
49;2025;AGOSTO;DEFUNCION;FEMENINO;CHILE;VALPARAISO;1
50;2025;AGOSTO;DEFUNCION;FEMENINO;COLOMBIA;MANIZALES;2
51;2025;AGOSTO;DEFUNCION;FEMENINO;COSTA RICA;SAN JOSE;1
52;2025;AGOSTO;DEFUNCION;FEMENINO;CUSCO;ACOMAYO;1
53;2025;AGOSTO;DEFUNCION;FEMENINO;CUSCO;ANTA;2
54;2025;AGOSTO;DEFUNCION;FEMENINO;CUSCO;CUSCO;66
55;2025;AGOSTO;DEFUNCION;FEMENINO;CUSCO;ESPINAR;5
56;2025;AGOSTO;DEFUNCION;FEMENINO;CUSCO;LA CONVENCION;18
57;2025;AGOSTO;DEFUNCION;FEMENINO;CUSCO;PARURO;1
58;2025;AGOSTO;DEFUNCION;FEMENINO;CUSCO;PAUCARTAMBO;1
59;2025;AGOSTO;DEFUNCION;FEMENINO;CUSCO;QUISPICANCHI;19
60;2025;AGOSTO;DEFUNCION;FEMENINO;CUSCO;URUBAMBA;11
61;2025;AGOSTO;DEFUNCION;FEMENINO;ECUADOR;GUAYAS;1
62;2025;AGOSTO;DEFUNCION;FEMENINO;ESPAÑA;BARCELONA;3
63;2025;AGOSTO;DEFUNCION;FEMENINO;ESPAÑA;CANTABRIA;1
64;2025;AGOSTO;DEFUNCION;FEMENINO;ESPAÑA;GUIPUZCOA;1
65;2025;AGOSTO;DEFUNCION;FEMENINO;ESPAÑA;HUESCA;1
66;2025;AGOSTO;DEFUNCION;FEMENINO;ESPAÑA;MADRID;8
67;2025;AGOSTO;DEFUNCION;FEMENINO;ESPAÑA;NAVARRA;2
68;2025;AGOSTO;DEFUNCION;FEMENINO;ESPAÑA;SEVILLA;2
69;2025;AGOSTO;DEFUNCION;FEMENINO;ESTADOS UNIDOS DE AMERICA;ARIZONA;1
70;2025;AGOSTO;DEFUNCION;FEMENINO;ESTADOS UNIDOS DE AMERICA;CAROLINA DEL NORTE;1
71;2025;AGOSTO;DEFUNCION;FEMENINO;ESTADOS UNIDOS DE AMERICA;COLORADO;1
72;2025;AGOSTO;DEFUNCION;FEMENINO;ESTADOS UNIDOS DE AMERICA;DALLAS;1
73;2025;AGOSTO;DEFUNCION;FEMENINO;ESTADOS UNIDOS DE AMERICA;FORT LAUDERDALE;5
74;2025;AGOSTO;DEFUNCION;FEMENINO;ESTADOS UNIDOS DE AMERICA;GEORGIA;1
75;2025;AGOSTO;DEFUNCION;FEMENINO;ESTADOS UNIDOS DE AMERICA;LOS ANGELES;2
76;2025;AGOSTO;DEFUNCION;FEMENINO;ESTADOS UNIDOS DE AMERICA;MIAMI;4
77;2025;AGOSTO;DEFUNCION;FEMENINO;ESTADOS UNIDOS DE AMERICA;MISSOURI;1
78;2025;AGOSTO;DEFUNCION;FEMENINO;ESTADOS UNIDOS DE AMERICA;NUEVA JERSEY;6
79;2025;AGOSTO;DEFUNCION;FEMENINO;ESTADOS UNIDOS DE AMERICA;NUEVA YORK;1
80;2025;AGOSTO;DEFUNCION;FEMENINO;ESTADOS UNIDOS DE AMERICA;PATERSON;1
81;2025;AGOSTO;DEFUNCION;FEMENINO;ESTADOS UNIDOS DE AMERICA;PENNSYLVANIA;1
82;2025;AGOSTO;DEFUNCION;FEMENINO;ESTADOS UNIDOS DE AMERICA;SAN ANTONIO;1
83;2025;AGOSTO;DEFUNCION;FEMENINO;ESTADOS UNIDOS DE AMERICA;TAMPA;1
84;2025;AGOSTO;DEFUNCION;FEMENINO;ESTADOS UNIDOS DE AMERICA;TEXAS;2
85;2025;AGOSTO;DEFUNCION;FEMENINO;ESTADOS UNIDOS DE AMERICA;UTAH;1
86;2025;AGOSTO;DEFUNCION;FEMENINO;ESTADOS UNIDOS DE AMERICA;VIRGINIA;2
87;2025;AGOSTO;DEFUNCION;FEMENINO;ESTADOS UNIDOS DE AMERICA;WASHINGTON;1
88;2025;AGOSTO;DEFUNCION;FEMENINO;FRANCIA;RHONE - ALPES;2
89;2025;AGOSTO;DEFUNCION;FEMENINO;HUANCAVELICA;ANGARAES;1
90;2025;AGOSTO;DEFUNCION;FEMENINO;HUANCAVELICA;CASTROVIRREYNA;1
91;2025;AGOSTO;DEFUNCION;FEMENINO;HUANCAVELICA;CHURCAMPA;1
92;2025;AGOSTO;DEFUNCION;FEMENINO;HUANCAVELICA;HUANCAVELICA;9
93;2025;AGOSTO;DEFUNCION;FEMENINO;HUANCAVELICA;TAYACAJA;6
94;2025;AGOSTO;DEFUNCION;FEMENINO;HUANUCO;AMBO;2
95;2025;AGOSTO;DEFUNCION;FEMENINO;HUANUCO;HUAMALIES;2
96;2025;AGOSTO;DEFUNCION;FEMENINO;HUANUCO;HUANUCO;19
97;2025;AGOSTO;DEFUNCION;FEMENINO;HUANUCO;LAURICOCHA;1
98;2025;AGOSTO;DEFUNCION;FEMENINO;HUANUCO;LEONCIO PRADO;10
99;2025;AGOSTO;DEFUNCION;FEMENINO;HUANUCO;PUERTO INCA;1
100;2025;AGOSTO;DEFUNCION;FEMENINO;ICA;CHINCHA;63
101;2025;AGOSTO;DEFUNCION;FEMENINO;ICA;ICA;112
102;2025;AGOSTO;DEFUNCION;FEMENINO;ICA;NASCA;14
103;2025;AGOSTO;DEFUNCION;FEMENINO;ICA;PALPA;1
104;2025;AGOSTO;DEFUNCION;FEMENINO;ICA;PISCO;23
105;2025;AGOSTO;DEFUNCION;FEMENINO;ITALIA;LACIO;3
