;ANIO_REGISTRO;MES_REGISTRO;TIPO_ACTA;DE_GENERO;DEPART_CIUDAD_ESTADO_DOM_SOL;PROVINCIA_DOM_SOL;CANT_COPIAS_EMITIDAS
1;2025;JULIO;DEFUNCION;FEMENINO;AMAZONAS;BAGUA;1
2;2025;JULIO;DEFUNCION;FEMENINO;AMAZONAS;BONGARA;1
3;2025;JULIO;DEFUNCION;FEMENINO;AMAZONAS;CHACHAPOYAS;2
4;2025;JULIO;DEFUNCION;FEMENINO;AMAZONAS;LUYA;3
5;2025;JULIO;DEFUNCION;FEMENINO;AMAZONAS;RODRIGUEZ DE MENDOZA;2
6;2025;JULIO;DEFUNCION;FEMENINO;AMAZONAS;UTCUBAMBA;2
7;2025;JULIO;DEFUNCION;FEMENINO;ANCASH;BOLOGNESI;1
8;2025;JULIO;DEFUNCION;FEMENINO;ANCASH;CARHUAZ;2
9;2025;JULIO;DEFUNCION;FEMENINO;ANCASH;HUARAZ;2
10;2025;JULIO;DEFUNCION;FEMENINO;ANCASH;HUARI;1
11;2025;JULIO;DEFUNCION;FEMENINO;ANCASH;HUARMEY;1
12;2025;JULIO;DEFUNCION;FEMENINO;ANCASH;HUAYLAS;2
13;2025;JULIO;DEFUNCION;FEMENINO;ANCASH;OCROS;1
14;2025;JULIO;DEFUNCION;FEMENINO;ANCASH;RECUAY;1
15;2025;JULIO;DEFUNCION;FEMENINO;ANCASH;SANTA;68
16;2025;JULIO;DEFUNCION;FEMENINO;ANCASH;SIHUAS;1
17;2025;JULIO;DEFUNCION;FEMENINO;ANCASH;YUNGAY;3
18;2025;JULIO;DEFUNCION;FEMENINO;APURIMAC;ABANCAY;3
19;2025;JULIO;DEFUNCION;FEMENINO;APURIMAC;ANDAHUAYLAS;3
20;2025;JULIO;DEFUNCION;FEMENINO;APURIMAC;AYMARAES;1
21;2025;JULIO;DEFUNCION;FEMENINO;AREQUIPA;AREQUIPA;170
22;2025;JULIO;DEFUNCION;FEMENINO;AREQUIPA;CAMANA;3
23;2025;JULIO;DEFUNCION;FEMENINO;AREQUIPA;CARAVELI;3
24;2025;JULIO;DEFUNCION;FEMENINO;AREQUIPA;CASTILLA;1
25;2025;JULIO;DEFUNCION;FEMENINO;AREQUIPA;CAYLLOMA;4
26;2025;JULIO;DEFUNCION;FEMENINO;AREQUIPA;ISLAY;1
27;2025;JULIO;DEFUNCION;FEMENINO;ARGENTINA;ROSARIO DE SANTA FE;1
28;2025;JULIO;DEFUNCION;FEMENINO;AYACUCHO;HUAMANGA;19
29;2025;JULIO;DEFUNCION;FEMENINO;AYACUCHO;HUANCA SANCOS;1
30;2025;JULIO;DEFUNCION;FEMENINO;AYACUCHO;HUANTA;3
31;2025;JULIO;DEFUNCION;FEMENINO;AYACUCHO;LUCANAS;2
32;2025;JULIO;DEFUNCION;FEMENINO;AYACUCHO;PARINACOCHAS;7
33;2025;JULIO;DEFUNCION;FEMENINO;AYACUCHO;PAUCAR DEL SARA SARA;2
34;2025;JULIO;DEFUNCION;FEMENINO;AYACUCHO;SUCRE;1
35;2025;JULIO;DEFUNCION;FEMENINO;BELGICA;FLANDES OCCIDENTAL;7
36;2025;JULIO;DEFUNCION;FEMENINO;BRASIL;SAO PAULO;2
37;2025;JULIO;DEFUNCION;FEMENINO;CAJAMARCA;CAJABAMBA;3
38;2025;JULIO;DEFUNCION;FEMENINO;CAJAMARCA;CAJAMARCA;25
39;2025;JULIO;DEFUNCION;FEMENINO;CAJAMARCA;CELENDIN;1
40;2025;JULIO;DEFUNCION;FEMENINO;CAJAMARCA;CHOTA;3
41;2025;JULIO;DEFUNCION;FEMENINO;CAJAMARCA;JAEN;4
