   ;ANIO_REGISTRO;MES_REGISTRO;TIPO_ACTA;DE_GENERO;DEPART_CIUDAD_ESTADO_DOM_SOL;PROVINCIA_DOM_SOL;CANT_COPIAS_EMITIDAS
1;2025;JUNIO;DEFUNCION;FEMENINO;ALEMANIA;BERLIN;2
2;2025;JUNIO;DEFUNCION;FEMENINO;ALEMANIA;MECKLEMBURGO-VORPOMMERN;1
3;2025;JUNIO;DEFUNCION;FEMENINO;AMAZONAS;BAGUA;2
4;2025;JUNIO;DEFUNCION;FEMENINO;AMAZONAS;BONGARA;2
5;2025;JUNIO;DEFUNCION;FEMENINO;AMAZONAS;LUYA;1
6;2025;JUNIO;DEFUNCION;FEMENINO;ANCASH;ANTONIO RAIMONDI;1
7;2025;JUNIO;DEFUNCION;FEMENINO;ANCASH;ASUNCION;1
8;2025;JUNIO;DEFUNCION;FEMENINO;ANCASH;BOLOGNESI;3
9;2025;JUNIO;DEFUNCION;FEMENINO;ANCASH;CARHUAZ;1
10;2025;JUNIO;DEFUNCION;FEMENINO;ANCASH;CASMA;3
11;2025;JUNIO;DEFUNCION;FEMENINO;ANCASH;HUARAZ;5
12;2025;JUNIO;DEFUNCION;FEMENINO;ANCASH;HUARI;6
13;2025;JUNIO;DEFUNCION;FEMENINO;ANCASH;HUARMEY;2
14;2025;JUNIO;DEFUNCION;FEMENINO;ANCASH;HUAYLAS;4
15;2025;JUNIO;DEFUNCION;FEMENINO;ANCASH;OCROS;2
16;2025;JUNIO;DEFUNCION;FEMENINO;ANCASH;PALLASCA;1
17;2025;JUNIO;DEFUNCION;FEMENINO;ANCASH;SANTA;72
18;2025;JUNIO;DEFUNCION;FEMENINO;ANCASH;SIHUAS;7
19;2025;JUNIO;DEFUNCION;FEMENINO;ANCASH;YUNGAY;3
20;2025;JUNIO;DEFUNCION;FEMENINO;APURIMAC;ABANCAY;2
21;2025;JUNIO;DEFUNCION;FEMENINO;APURIMAC;CHINCHEROS;2
22;2025;JUNIO;DEFUNCION;FEMENINO;AREQUIPA;AREQUIPA;154
23;2025;JUNIO;DEFUNCION;FEMENINO;AREQUIPA;CAMANA;3
24;2025;JUNIO;DEFUNCION;FEMENINO;AREQUIPA;CARAVELI;7
25;2025;JUNIO;DEFUNCION;FEMENINO;AREQUIPA;CAYLLOMA;9
