   ;ANIO_REGISTRO;MES_REGISTRO;TIPO_ACTA;DE_GENERO;DEPART_CIUDAD_ESTADO_DOM_SOL;PROVINCIA_DOM_SOL;CANT_COPIAS_EMITIDAS
1;2025;OCTUBRE;DEFUNCION;FEMENINO;AMAZONAS;BAGUA;1
2;2025;OCTUBRE;DEFUNCION;FEMENINO;AMAZONAS;CHACHAPOYAS;1
3;2025;OCTUBRE;DEFUNCION;FEMENINO;AMAZONAS;LUYA;3
4;2025;OCTUBRE;DEFUNCION;FEMENINO;AMAZONAS;RODRIGUEZ DE MENDOZA;1
5;2025;OCTUBRE;DEFUNCION;FEMENINO;AMAZONAS;UTCUBAMBA;4
6;2025;OCTUBRE;DEFUNCION;FEMENINO;ANCASH;CARHUAZ;2
7;2025;OCTUBRE;DEFUNCION;FEMENINO;ANCASH;CASMA;2
8;2025;OCTUBRE;DEFUNCION;FEMENINO;ANCASH;HUARAZ;6
9;2025;OCTUBRE;DEFUNCION;FEMENINO;ANCASH;HUARI;4
10;2025;OCTUBRE;DEFUNCION;FEMENINO;ANCASH;HUAYLAS;1
11;2025;OCTUBRE;DEFUNCION;FEMENINO;ANCASH;MARISCAL LUZURIAGA;2
12;2025;OCTUBRE;DEFUNCION;FEMENINO;ANCASH;SANTA;49
13;2025;OCTUBRE;DEFUNCION;FEMENINO;APURIMAC;ABANCAY;3
14;2025;OCTUBRE;DEFUNCION;FEMENINO;APURIMAC;ANDAHUAYLAS;2
15;2025;OCTUBRE;DEFUNCION;FEMENINO;APURIMAC;AYMARAES;1
16;2025;OCTUBRE;DEFUNCION;FEMENINO;APURIMAC;CHINCHEROS;3
17;2025;OCTUBRE;DEFUNCION;FEMENINO;APURIMAC;COTABAMBAS;1
18;2025;OCTUBRE;DEFUNCION;FEMENINO;AREQUIPA;AREQUIPA;95
19;2025;OCTUBRE;DEFUNCION;FEMENINO;AREQUIPA;CAMANA;4
20;2025;OCTUBRE;DEFUNCION;FEMENINO;AREQUIPA;CARAVELI;4
21;2025;OCTUBRE;DEFUNCION;FEMENINO;AREQUIPA;CASTILLA;6
22;2025;OCTUBRE;DEFUNCION;FEMENINO;AREQUIPA;CAYLLOMA;4
23;2025;OCTUBRE;DEFUNCION;FEMENINO;AREQUIPA;CONDESUYOS;2
24;2025;OCTUBRE;DEFUNCION;FEMENINO;AREQUIPA;ISLAY;2
25;2025;OCTUBRE;DEFUNCION;FEMENINO;ARGENTINA;BUENOS AIRES;2
26;2025;OCTUBRE;DEFUNCION;FEMENINO;AYACUCHO;HUAMANGA;8
27;2025;OCTUBRE;DEFUNCION;FEMENINO;AYACUCHO;HUANCA SANCOS;1
28;2025;OCTUBRE;DEFUNCION;FEMENINO;AYACUCHO;HUANTA;1
29;2025;OCTUBRE;DEFUNCION;FEMENINO;AYACUCHO;PARINACOCHAS;5
30;2025;OCTUBRE;DEFUNCION;FEMENINO;AYACUCHO;PAUCAR DEL SARA SARA;2
31;2025;OCTUBRE;DEFUNCION;FEMENINO;BELGICA;FLANDES OCCIDENTAL;2
32;2025;OCTUBRE;DEFUNCION;FEMENINO;CAJAMARCA;CAJAMARCA;19
33;2025;OCTUBRE;DEFUNCION;FEMENINO;CAJAMARCA;CHOTA;2
34;2025;OCTUBRE;DEFUNCION;FEMENINO;CAJAMARCA;CONTUMAZA;1
35;2025;OCTUBRE;DEFUNCION;FEMENINO;CAJAMARCA;CUTERVO;2
36;2025;OCTUBRE;DEFUNCION;FEMENINO;CAJAMARCA;HUALGAYOC;1
37;2025;OCTUBRE;DEFUNCION;FEMENINO;CAJAMARCA;JAEN;4
38;2025;OCTUBRE;DEFUNCION;FEMENINO;CAJAMARCA;SAN IGNACIO;1
39;2025;OCTUBRE;DEFUNCION;FEMENINO;CAJAMARCA;SAN MIGUEL;6
40;2025;OCTUBRE;DEFUNCION;FEMENINO;CAJAMARCA;SANTA CRUZ;2
41;2025;OCTUBRE;DEFUNCION;FEMENINO;CANADA;MONTREAL;1
42;2025;OCTUBRE;DEFUNCION;FEMENINO;CANADA;ONTARIO;1
43;2025;OCTUBRE;DEFUNCION;FEMENINO;CHILE;SANTIAGO;4
44;2025;OCTUBRE;DEFUNCION;FEMENINO;CUSCO;ANTA;5
45;2025;OCTUBRE;DEFUNCION;FEMENINO;CUSCO;CALCA;6
46;2025;OCTUBRE;DEFUNCION;FEMENINO;CUSCO;CANCHIS;2
47;2025;OCTUBRE;DEFUNCION;FEMENINO;CUSCO;CHUMBIVILCAS;1
48;2025;OCTUBRE;DEFUNCION;FEMENINO;CUSCO;CUSCO;43
49;2025;OCTUBRE;DEFUNCION;FEMENINO;CUSCO;ESPINAR;2
50;2025;OCTUBRE;DEFUNCION;FEMENINO;CUSCO;LA CONVENCION;6
51;2025;OCTUBRE;DEFUNCION;FEMENINO;CUSCO;PAUCARTAMBO;2
52;2025;OCTUBRE;DEFUNCION;FEMENINO;CUSCO;QUISPICANCHI;12
53;2025;OCTUBRE;DEFUNCION;FEMENINO;CUSCO;URUBAMBA;3
54;2025;OCTUBRE;DEFUNCION;FEMENINO;ESPAÑA;BARCELONA;4
55;2025;OCTUBRE;DEFUNCION;FEMENINO;ESPAÑA;MADRID;3
56;2025;OCTUBRE;DEFUNCION;FEMENINO;ESPAÑA;MURCIA;3
57;2025;OCTUBRE;DEFUNCION;FEMENINO;ESPAÑA;SEGOVIA;1
58;2025;OCTUBRE;DEFUNCION;FEMENINO;ESPAÑA;TENERIFE;1
59;2025;OCTUBRE;DEFUNCION;FEMENINO;ESTADOS UNIDOS DE AMERICA;CONNECTICUT;1
60;2025;OCTUBRE;DEFUNCION;FEMENINO;ESTADOS UNIDOS DE AMERICA;FLORIDA;1
61;2025;OCTUBRE;DEFUNCION;FEMENINO;ESTADOS UNIDOS DE AMERICA;LOS ANGELES;2
62;2025;OCTUBRE;DEFUNCION;FEMENINO;ESTADOS UNIDOS DE AMERICA;MARYLAND;1
63;2025;OCTUBRE;DEFUNCION;FEMENINO;ESTADOS UNIDOS DE AMERICA;MIAMI;3
64;2025;OCTUBRE;DEFUNCION;FEMENINO;ESTADOS UNIDOS DE AMERICA;NUEVA YORK;2
65;2025;OCTUBRE;DEFUNCION;FEMENINO;ESTADOS UNIDOS DE AMERICA;TEXAS;1
66;2025;OCTUBRE;DEFUNCION;FEMENINO;ESTADOS UNIDOS DE AMERICA;UTAH;1
67;2025;OCTUBRE;DEFUNCION;FEMENINO;ESTADOS UNIDOS DE AMERICA;VIRGINIA;1
68;2025;OCTUBRE;DEFUNCION;FEMENINO;HOLANDA;AMSTERDAM;1
69;2025;OCTUBRE;DEFUNCION;FEMENINO;HUANCAVELICA;ANGARAES;1
70;2025;OCTUBRE;DEFUNCION;FEMENINO;HUANCAVELICA;CASTROVIRREYNA;4
71;2025;OCTUBRE;DEFUNCION;FEMENINO;HUANCAVELICA;CHURCAMPA;4
72;2025;OCTUBRE;DEFUNCION;FEMENINO;HUANCAVELICA;HUANCAVELICA;2
