;ANIO_REGISTRO;MES_REGISTRO;TIPO_ACTA;DE_GENERO;DEPART_CIUDAD_ESTADO_DOM_SOL;PROVINCIA_DOM_SOL;CANT_COPIAS_EMITIDAS
1;2026;FEBRERO;DEFUNCION;FEMENINO;ALEMANIA;BAVIERA;1
2;2026;FEBRERO;DEFUNCION;FEMENINO;ALEMANIA;BERLIN;1
3;2026;FEBRERO;DEFUNCION;FEMENINO;ALEMANIA;HAMBURGO;1
4;2026;FEBRERO;DEFUNCION;FEMENINO;ALEMANIA;SARRE;1
5;2026;FEBRERO;DEFUNCION;FEMENINO;AMAZONAS;BAGUA;2
6;2026;FEBRERO;DEFUNCION;FEMENINO;AMAZONAS;BONGARA;1
7;2026;FEBRERO;DEFUNCION;FEMENINO;AMAZONAS;CHACHAPOYAS;6
8;2026;FEBRERO;DEFUNCION;FEMENINO;AMAZONAS;LUYA;2
9;2026;FEBRERO;DEFUNCION;FEMENINO;AMAZONAS;RODRIGUEZ DE MENDOZA;3
10;2026;FEBRERO;DEFUNCION;FEMENINO;AMAZONAS;UTCUBAMBA;2
11;2026;FEBRERO;DEFUNCION;FEMENINO;ANCASH;BOLOGNESI;2
12;2026;FEBRERO;DEFUNCION;FEMENINO;ANCASH;CASMA;1
13;2026;FEBRERO;DEFUNCION;FEMENINO;ANCASH;CORONGO;1
14;2026;FEBRERO;DEFUNCION;FEMENINO;ANCASH;HUARAZ;7
15;2026;FEBRERO;DEFUNCION;FEMENINO;ANCASH;HUARI;5
16;2026;FEBRERO;DEFUNCION;FEMENINO;ANCASH;HUARMEY;1
17;2026;FEBRERO;DEFUNCION;FEMENINO;ANCASH;HUAYLAS;1
18;2026;FEBRERO;DEFUNCION;FEMENINO;ANCASH;POMABAMBA;1
19;2026;FEBRERO;DEFUNCION;FEMENINO;ANCASH;RECUAY;2
20;2026;FEBRERO;DEFUNCION;FEMENINO;ANCASH;SANTA;49
21;2026;FEBRERO;DEFUNCION;FEMENINO;ANCASH;YUNGAY;1
22;2026;FEBRERO;DEFUNCION;FEMENINO;APURIMAC;ABANCAY;3
23;2026;FEBRERO;DEFUNCION;FEMENINO;APURIMAC;ANDAHUAYLAS;2
24;2026;FEBRERO;DEFUNCION;FEMENINO;APURIMAC;AYMARAES;2
25;2026;FEBRERO;DEFUNCION;FEMENINO;APURIMAC;CHINCHEROS;1
26;2026;FEBRERO;DEFUNCION;FEMENINO;APURIMAC;COTABAMBAS;1
27;2026;FEBRERO;DEFUNCION;FEMENINO;AREQUIPA;AREQUIPA;129
28;2026;FEBRERO;DEFUNCION;FEMENINO;AREQUIPA;CAMANA;5
29;2026;FEBRERO;DEFUNCION;FEMENINO;AREQUIPA;CARAVELI;4
30;2026;FEBRERO;DEFUNCION;FEMENINO;AREQUIPA;CAYLLOMA;3
31;2026;FEBRERO;DEFUNCION;FEMENINO;AREQUIPA;CONDESUYOS;2
32;2026;FEBRERO;DEFUNCION;FEMENINO;AREQUIPA;ISLAY;4
33;2026;FEBRERO;DEFUNCION;FEMENINO;ARGENTINA;BUENOS AIRES;6
34;2026;FEBRERO;DEFUNCION;FEMENINO;ARGENTINA;LA PLATA;1
35;2026;FEBRERO;DEFUNCION;FEMENINO;AYACUCHO;HUAMANGA;18
36;2026;FEBRERO;DEFUNCION;FEMENINO;AYACUCHO;HUANTA;3
37;2026;FEBRERO;DEFUNCION;FEMENINO;AYACUCHO;LA MAR;1
38;2026;FEBRERO;DEFUNCION;FEMENINO;AYACUCHO;LUCANAS;3
