ANIO_REGISTRO;MES_REGISTRO;TIPO_ACTA;DE_GENERO;DEPART_CIUDAD_ESTADO_DOM_SOL;PROVINCIA_DOM_SOL;CANT_COPIAS_EMITIDAS
2021;ABRIL;DEFUNCION;FEMENINO;ALEMANIA                      ;BADEN-WÜRTTEMBERG             ;1
2021;ABRIL;DEFUNCION;FEMENINO;ALEMANIA                      ;MUNICH                        ;2
2021;ABRIL;DEFUNCION;FEMENINO;AMAZONAS;BAGUA;15
2021;ABRIL;DEFUNCION;FEMENINO;AMAZONAS;BONGARA;5
2021;ABRIL;DEFUNCION;FEMENINO;AMAZONAS;CHACHAPOYAS;9
2021;ABRIL;DEFUNCION;FEMENINO;AMAZONAS;RODRIGUEZ DE MENDOZA;2
2021;ABRIL;DEFUNCION;FEMENINO;AMAZONAS;UTCUBAMBA;5
2021;ABRIL;DEFUNCION;FEMENINO;ANCASH;ASUNCION;4
2021;ABRIL;DEFUNCION;FEMENINO;ANCASH;BOLOGNESI;5
2021;ABRIL;DEFUNCION;FEMENINO;ANCASH;CARHUAZ;15
2021;ABRIL;DEFUNCION;FEMENINO;ANCASH;CARLOS FERMIN FITZCARRALD;2
2021;ABRIL;DEFUNCION;FEMENINO;ANCASH;CASMA;31
2021;ABRIL;DEFUNCION;FEMENINO;ANCASH;CORONGO;2
2021;ABRIL;DEFUNCION;FEMENINO;ANCASH;HUARAZ;72
2021;ABRIL;DEFUNCION;FEMENINO;ANCASH;HUARI;16
2021;ABRIL;DEFUNCION;FEMENINO;ANCASH;HUARMEY;15
2021;ABRIL;DEFUNCION;FEMENINO;ANCASH;HUAYLAS;38
2021;ABRIL;DEFUNCION;FEMENINO;ANCASH;MARISCAL LUZURIAGA;3
2021;ABRIL;DEFUNCION;FEMENINO;ANCASH;OCROS;4
2021;ABRIL;DEFUNCION;FEMENINO;ANCASH;PALLASCA;5
2021;ABRIL;DEFUNCION;FEMENINO;ANCASH;POMABAMBA;1
2021;ABRIL;DEFUNCION;FEMENINO;ANCASH;RECUAY;10
2021;ABRIL;DEFUNCION;FEMENINO;ANCASH;SANTA;242
2021;ABRIL;DEFUNCION;FEMENINO;ANCASH;SIHUAS;1
2021;ABRIL;DEFUNCION;FEMENINO;ANCASH;YUNGAY;5
2021;ABRIL;DEFUNCION;FEMENINO;APURIMAC;ABANCAY;49
2021;ABRIL;DEFUNCION;FEMENINO;APURIMAC;ANDAHUAYLAS;26
2021;ABRIL;DEFUNCION;FEMENINO;APURIMAC;ANTABAMBA;2
2021;ABRIL;DEFUNCION;FEMENINO;APURIMAC;AYMARAES;4
2021;ABRIL;DEFUNCION;FEMENINO;APURIMAC;CHINCHEROS;10
2021;ABRIL;DEFUNCION;FEMENINO;APURIMAC;COTABAMBAS;2
2021;ABRIL;DEFUNCION;FEMENINO;APURIMAC;GRAU;5
2021;ABRIL;DEFUNCION;FEMENINO;AREQUIPA;AREQUIPA;519
2021;ABRIL;DEFUNCION;FEMENINO;AREQUIPA;CAMANA;25
2021;ABRIL;DEFUNCION;FEMENINO;AREQUIPA;CARAVELI;19
2021;ABRIL;DEFUNCION;FEMENINO;AREQUIPA;CASTILLA;6
2021;ABRIL;DEFUNCION;FEMENINO;AREQUIPA;CAYLLOMA;30
2021;ABRIL;DEFUNCION;FEMENINO;AREQUIPA;ISLAY;10
2021;ABRIL;DEFUNCION;FEMENINO;AREQUIPA;LA UNION;1
2021;ABRIL;DEFUNCION;FEMENINO;ARGENTINA                     ;BUENOS AIRES                  ;8
2021;ABRIL;DEFUNCION;FEMENINO;ARGENTINA                     ;LA PLATA                      ;2
2021;ABRIL;DEFUNCION;FEMENINO;AYACUCHO;CANGALLO;8
2021;ABRIL;DEFUNCION;FEMENINO;AYACUCHO;HUAMANGA;149
2021;ABRIL;DEFUNCION;FEMENINO;AYACUCHO;HUANCA SANCOS;2
2021;ABRIL;DEFUNCION;FEMENINO;AYACUCHO;HUANTA;12
2021;ABRIL;DEFUNCION;FEMENINO;AYACUCHO;LA MAR;9
2021;ABRIL;DEFUNCION;FEMENINO;AYACUCHO;LUCANAS;8
2021;ABRIL;DEFUNCION;FEMENINO;AYACUCHO;PARINACOCHAS;12
2021;ABRIL;DEFUNCION;FEMENINO;AYACUCHO;PAUCAR DEL SARA SARA;1
2021;ABRIL;DEFUNCION;FEMENINO;AYACUCHO;VICTOR FAJARDO;3
2021;ABRIL;DEFUNCION;FEMENINO;AYACUCHO;VILCAS HUAMAN;1
2021;ABRIL;DEFUNCION;FEMENINO;BRASIL                        ;SAO PAULO                     ;2
2021;ABRIL;DEFUNCION;FEMENINO;CAJAMARCA;CAJABAMBA;21
2021;ABRIL;DEFUNCION;FEMENINO;CAJAMARCA;CAJAMARCA;150
2021;ABRIL;DEFUNCION;FEMENINO;CAJAMARCA;CELENDIN;4
2021;ABRIL;DEFUNCION;FEMENINO;CAJAMARCA;CHOTA;28
2021;ABRIL;DEFUNCION;FEMENINO;CAJAMARCA;CONTUMAZA;9
2021;ABRIL;DEFUNCION;FEMENINO;CAJAMARCA;CUTERVO;14
2021;ABRIL;DEFUNCION;FEMENINO;CAJAMARCA;HUALGAYOC;5
2021;ABRIL;DEFUNCION;FEMENINO;CAJAMARCA;JAEN;27
2021;ABRIL;DEFUNCION;FEMENINO;CAJAMARCA;SAN IGNACIO;16
2021;ABRIL;DEFUNCION;FEMENINO;CAJAMARCA;SAN MARCOS;12
2021;ABRIL;DEFUNCION;FEMENINO;CAJAMARCA;SAN MIGUEL;13
2021;ABRIL;DEFUNCION;FEMENINO;CAJAMARCA;SANTA CRUZ;4
2021;ABRIL;DEFUNCION;FEMENINO;CALLAO;CALLAO;1121
2021;ABRIL;DEFUNCION;FEMENINO;CANADA                        ;MONTREAL                      ;1
2021;ABRIL;DEFUNCION;FEMENINO;CANADA                        ;OTTAWA                        ;3
2021;ABRIL;DEFUNCION;FEMENINO;CHILE                         ;LOS RIOS;1
2021;ABRIL;DEFUNCION;FEMENINO;CHILE                         ;SANTIAGO                      ;15
2021;ABRIL;DEFUNCION;FEMENINO;CUSCO;ACOMAYO;4
2021;ABRIL;DEFUNCION;FEMENINO;CUSCO;ANTA;26
2021;ABRIL;DEFUNCION;FEMENINO;CUSCO;CALCA;19
2021;ABRIL;DEFUNCION;FEMENINO;CUSCO;CANAS;2
2021;ABRIL;DEFUNCION;FEMENINO;CUSCO;CANCHIS;39
2021;ABRIL;DEFUNCION;FEMENINO;CUSCO;CHUMBIVILCAS;11
2021;ABRIL;DEFUNCION;FEMENINO;CUSCO;CUSCO;418
2021;ABRIL;DEFUNCION;FEMENINO;CUSCO;ESPINAR;8
2021;ABRIL;DEFUNCION;FEMENINO;CUSCO;LA CONVENCION;60
2021;ABRIL;DEFUNCION;FEMENINO;CUSCO;PARURO;3
2021;ABRIL;DEFUNCION;FEMENINO;CUSCO;PAUCARTAMBO;10
2021;ABRIL;DEFUNCION;FEMENINO;CUSCO;QUISPICANCHI;18
2021;ABRIL;DEFUNCION;FEMENINO;CUSCO;URUBAMBA;32
2021;ABRIL;DEFUNCION;FEMENINO;ECUADOR                       ;QUITO                         ;1
2021;ABRIL;DEFUNCION;FEMENINO;ESPAÑA                        ;ALMERIA                       ;1
2021;ABRIL;DEFUNCION;FEMENINO;ESPAÑA                        ;BARCELONA                     ;4
2021;ABRIL;DEFUNCION;FEMENINO;ESPAÑA                        ;MADRID                        ;10
2021;ABRIL;DEFUNCION;FEMENINO;ESPAÑA                        ;NAVARRA                       ;2
2021;ABRIL;DEFUNCION;FEMENINO;ESPAÑA                        ;SALAMANCA                     ;2
2021;ABRIL;DEFUNCION;FEMENINO;ESPAÑA                        ;SEVILLA                       ;1
2021;ABRIL;DEFUNCION;FEMENINO;ESPAÑA                        ;ZARAGOZA                      ;3
