,ANIO_REGISTRO,MES_REGISTRO,TIPO_ACTA,DE_GENERO,DEPART_CIUDAD_ESTADO_DOM_SOL,PROVINCIA_DOM_SOL,CANT_COPIAS_EMITIDAS
1,2022,AGOSTO,DEFUNCION,FEMENINO,ALEMANIA,BERLIN,1
2,2022,AGOSTO,DEFUNCION,FEMENINO,AMAZONAS,BAGUA,14
3,2022,AGOSTO,DEFUNCION,FEMENINO,AMAZONAS,BONGARA,3
4,2022,AGOSTO,DEFUNCION,FEMENINO,AMAZONAS,CHACHAPOYAS,1
5,2022,AGOSTO,DEFUNCION,FEMENINO,AMAZONAS,RODRIGUEZ DE MENDOZA,5
6,2022,AGOSTO,DEFUNCION,FEMENINO,AMAZONAS,UTCUBAMBA,5
7,2022,AGOSTO,DEFUNCION,FEMENINO,ANCASH,AIJA,3
8,2022,AGOSTO,DEFUNCION,FEMENINO,ANCASH,ANTONIO RAIMONDI,1
9,2022,AGOSTO,DEFUNCION,FEMENINO,ANCASH,ASUNCION,6
10,2022,AGOSTO,DEFUNCION,FEMENINO,ANCASH,BOLOGNESI,5
11,2022,AGOSTO,DEFUNCION,FEMENINO,ANCASH,CARHUAZ,7
12,2022,AGOSTO,DEFUNCION,FEMENINO,ANCASH,CASMA,3
13,2022,AGOSTO,DEFUNCION,FEMENINO,ANCASH,HUARAZ,30
14,2022,AGOSTO,DEFUNCION,FEMENINO,ANCASH,HUARI,8
15,2022,AGOSTO,DEFUNCION,FEMENINO,ANCASH,HUAYLAS,9
16,2022,AGOSTO,DEFUNCION,FEMENINO,ANCASH,PALLASCA,1
17,2022,AGOSTO,DEFUNCION,FEMENINO,ANCASH,RECUAY,4
18,2022,AGOSTO,DEFUNCION,FEMENINO,ANCASH,SANTA,69
19,2022,AGOSTO,DEFUNCION,FEMENINO,ANCASH,SIHUAS,1
20,2022,AGOSTO,DEFUNCION,FEMENINO,APURIMAC,ABANCAY,7
21,2022,AGOSTO,DEFUNCION,FEMENINO,APURIMAC,ANDAHUAYLAS,7
22,2022,AGOSTO,DEFUNCION,FEMENINO,APURIMAC,ANTABAMBA,1
23,2022,AGOSTO,DEFUNCION,FEMENINO,APURIMAC,AYMARAES,3
24,2022,AGOSTO,DEFUNCION,FEMENINO,APURIMAC,CHINCHEROS,8
25,2022,AGOSTO,DEFUNCION,FEMENINO,APURIMAC,COTABAMBAS,2
26,2022,AGOSTO,DEFUNCION,FEMENINO,APURIMAC,GRAU,4
27,2022,AGOSTO,DEFUNCION,FEMENINO,AREQUIPA,AREQUIPA,406
28,2022,AGOSTO,DEFUNCION,FEMENINO,AREQUIPA,CAMANA,11
29,2022,AGOSTO,DEFUNCION,FEMENINO,AREQUIPA,CARAVELI,8
30,2022,AGOSTO,DEFUNCION,FEMENINO,AREQUIPA,CASTILLA,15
31,2022,AGOSTO,DEFUNCION,FEMENINO,AREQUIPA,CAYLLOMA,12
32,2022,AGOSTO,DEFUNCION,FEMENINO,AREQUIPA,CONDESUYOS,1
33,2022,AGOSTO,DEFUNCION,FEMENINO,AREQUIPA,ISLAY,18
34,2022,AGOSTO,DEFUNCION,FEMENINO,AREQUIPA,LA UNION,1
35,2022,AGOSTO,DEFUNCION,FEMENINO,ARGENTINA,BUENOS AIRES,5
36,2022,AGOSTO,DEFUNCION,FEMENINO,ARGENTINA,CORDOBA,2
37,2022,AGOSTO,DEFUNCION,FEMENINO,AYACUCHO,CANGALLO,4
38,2022,AGOSTO,DEFUNCION,FEMENINO,AYACUCHO,HUAMANGA,95
39,2022,AGOSTO,DEFUNCION,FEMENINO,AYACUCHO,HUANCA SANCOS,3
40,2022,AGOSTO,DEFUNCION,FEMENINO,AYACUCHO,HUANTA,30
41,2022,AGOSTO,DEFUNCION,FEMENINO,AYACUCHO,LA MAR,5
42,2022,AGOSTO,DEFUNCION,FEMENINO,AYACUCHO,LUCANAS,8
43,2022,AGOSTO,DEFUNCION,FEMENINO,AYACUCHO,PARINACOCHAS,6
44,2022,AGOSTO,DEFUNCION,FEMENINO,AYACUCHO,VICTOR FAJARDO,1
45,2022,AGOSTO,DEFUNCION,FEMENINO,BRASIL,PARANA,1
46,2022,AGOSTO,DEFUNCION,FEMENINO,BRASIL,RIO DE JANEIRO,2
47,2022,AGOSTO,DEFUNCION,FEMENINO,CAJAMARCA,CAJABAMBA,3
48,2022,AGOSTO,DEFUNCION,FEMENINO,CAJAMARCA,CAJAMARCA,61
49,2022,AGOSTO,DEFUNCION,FEMENINO,CAJAMARCA,CELENDIN,1
50,2022,AGOSTO,DEFUNCION,FEMENINO,CAJAMARCA,CHOTA,2
51,2022,AGOSTO,DEFUNCION,FEMENINO,CAJAMARCA,CONTUMAZA,3
52,2022,AGOSTO,DEFUNCION,FEMENINO,CAJAMARCA,CUTERVO,7
53,2022,AGOSTO,DEFUNCION,FEMENINO,CAJAMARCA,HUALGAYOC,1
54,2022,AGOSTO,DEFUNCION,FEMENINO,CAJAMARCA,JAEN,18
55,2022,AGOSTO,DEFUNCION,FEMENINO,CAJAMARCA,SAN IGNACIO,38
56,2022,AGOSTO,DEFUNCION,FEMENINO,CAJAMARCA,SAN MARCOS,5
57,2022,AGOSTO,DEFUNCION,FEMENINO,CAJAMARCA,SAN MIGUEL,12
58,2022,AGOSTO,DEFUNCION,FEMENINO,CALLAO,CALLAO,451
59,2022,AGOSTO,DEFUNCION,FEMENINO,CANADA,MONTREAL,1
60,2022,AGOSTO,DEFUNCION,FEMENINO,CANADA,QUEBEC,2
61,2022,AGOSTO,DEFUNCION,FEMENINO,CHILE,ANTOFAGASTA,1
62,2022,AGOSTO,DEFUNCION,FEMENINO,CHILE,ARICA,1
63,2022,AGOSTO,DEFUNCION,FEMENINO,CHILE,IQUIQUE,1
64,2022,AGOSTO,DEFUNCION,FEMENINO,CHILE,SANTIAGO,7
65,2022,AGOSTO,DEFUNCION,FEMENINO,CHILE,VALPARAISO,2
66,2022,AGOSTO,DEFUNCION,FEMENINO,CUSCO,ACOMAYO,4
67,2022,AGOSTO,DEFUNCION,FEMENINO,CUSCO,ANTA,10
68,2022,AGOSTO,DEFUNCION,FEMENINO,CUSCO,CALCA,7
69,2022,AGOSTO,DEFUNCION,FEMENINO,CUSCO,CANAS,5
70,2022,AGOSTO,DEFUNCION,FEMENINO,CUSCO,CANCHIS,19
71,2022,AGOSTO,DEFUNCION,FEMENINO,CUSCO,CHUMBIVILCAS,3
72,2022,AGOSTO,DEFUNCION,FEMENINO,CUSCO,CUSCO,153
73,2022,AGOSTO,DEFUNCION,FEMENINO,CUSCO,ESPINAR,7
74,2022,AGOSTO,DEFUNCION,FEMENINO,CUSCO,LA CONVENCION,29
75,2022,AGOSTO,DEFUNCION,FEMENINO,CUSCO,PARURO,1
76,2022,AGOSTO,DEFUNCION,FEMENINO,CUSCO,PAUCARTAMBO,3
77,2022,AGOSTO,DEFUNCION,FEMENINO,CUSCO,QUISPICANCHI,31
78,2022,AGOSTO,DEFUNCION,FEMENINO,CUSCO,URUBAMBA,26
79,2022,AGOSTO,DEFUNCION,FEMENINO,ESPAÑA,ASTURIAS,2
80,2022,AGOSTO,DEFUNCION,FEMENINO,ESPAÑA,BARCELONA,4
81,2022,AGOSTO,DEFUNCION,FEMENINO,ESPAÑA,LEON,1
82,2022,AGOSTO,DEFUNCION,FEMENINO,ESPAÑA,MADRID,7
83,2022,AGOSTO,DEFUNCION,FEMENINO,ESTADOS UNIDOS DE AMERICA,ARKANSAS,1
84,2022,AGOSTO,DEFUNCION,FEMENINO,ESTADOS UNIDOS DE AMERICA,CALIFORNIA,1
85,2022,AGOSTO,DEFUNCION,FEMENINO,ESTADOS UNIDOS DE AMERICA,CONNECTICUT,1
86,2022,AGOSTO,DEFUNCION,FEMENINO,ESTADOS UNIDOS DE AMERICA,DENVER,1
87,2022,AGOSTO,DEFUNCION,FEMENINO,ESTADOS UNIDOS DE AMERICA,LOS ANGELES,1
88,2022,AGOSTO,DEFUNCION,FEMENINO,ESTADOS UNIDOS DE AMERICA,LOUISIANA,1
89,2022,AGOSTO,DEFUNCION,FEMENINO,ESTADOS UNIDOS DE AMERICA,MARYLAND,1
90,2022,AGOSTO,DEFUNCION,FEMENINO,ESTADOS UNIDOS DE AMERICA,MIAMI,1
91,2022,AGOSTO,DEFUNCION,FEMENINO,ESTADOS UNIDOS DE AMERICA,MISSOURI,2
92,2022,AGOSTO,DEFUNCION,FEMENINO,ESTADOS UNIDOS DE AMERICA,NUEVA YORK,3
93,2022,AGOSTO,DEFUNCION,FEMENINO,ESTADOS UNIDOS DE AMERICA,ORLANDO,2
94,2022,AGOSTO,DEFUNCION,FEMENINO,ESTADOS UNIDOS DE AMERICA,PATERSON,1
95,2022,AGOSTO,DEFUNCION,FEMENINO,ESTADOS UNIDOS DE AMERICA,SAN ANTONIO,1
96,2022,AGOSTO,DEFUNCION,FEMENINO,ESTADOS UNIDOS DE AMERICA,SAN DIEGO,2
97,2022,AGOSTO,DEFUNCION,FEMENINO,ESTADOS UNIDOS DE AMERICA,SAN FRANCISCO,3
98,2022,AGOSTO,DEFUNCION,FEMENINO,ESTADOS UNIDOS DE AMERICA,VIRGINIA,3
99,2022,AGOSTO,DEFUNCION,FEMENINO,FRANCIA,NORMANDIA,1
100,2022,AGOSTO,DEFUNCION,FEMENINO,HOLANDA,HOLANDA SEPTENTRIONAL,1
101,2022,AGOSTO,DEFUNCION,FEMENINO,HUANCAVELICA,ANGARAES,5
102,2022,AGOSTO,DEFUNCION,FEMENINO,HUANCAVELICA,CASTROVIRREYNA,8
103,2022,AGOSTO,DEFUNCION,FEMENINO,HUANCAVELICA,CHURCAMPA,4
104,2022,AGOSTO,DEFUNCION,FEMENINO,HUANCAVELICA,HUANCAVELICA,8
105,2022,AGOSTO,DEFUNCION,FEMENINO,HUANCAVELICA,HUAYTARA,5
106,2022,AGOSTO,DEFUNCION,FEMENINO,HUANCAVELICA,TAYACAJA,14
107,2022,AGOSTO,DEFUNCION,FEMENINO,HUANUCO,AMBO,14
108,2022,AGOSTO,DEFUNCION,FEMENINO,HUANUCO,DOS DE MAYO,3
109,2022,AGOSTO,DEFUNCION,FEMENINO,HUANUCO,HUAMALIES,9
110,2022,AGOSTO,DEFUNCION,FEMENINO,HUANUCO,HUANUCO,57
111,2022,AGOSTO,DEFUNCION,FEMENINO,HUANUCO,LAURICOCHA,5
112,2022,AGOSTO,DEFUNCION,FEMENINO,HUANUCO,LEONCIO PRADO,41
113,2022,AGOSTO,DEFUNCION,FEMENINO,HUANUCO,MARAÑON,3
114,2022,AGOSTO,DEFUNCION,FEMENINO,HUANUCO,PACHITEA,3
115,2022,AGOSTO,DEFUNCION,FEMENINO,HUANUCO,PUERTO INCA,2
116,2022,AGOSTO,DEFUNCION,FEMENINO,HUANUCO,YAROWILCA,5
117,2022,AGOSTO,DEFUNCION,FEMENINO,ICA,CHINCHA,109
118,2022,AGOSTO,DEFUNCION,FEMENINO,ICA,ICA,218
119,2022,AGOSTO,DEFUNCION,FEMENINO,ICA,NASCA,31
120,2022,AGOSTO,DEFUNCION,FEMENINO,ICA,PALPA,3
121,2022,AGOSTO,DEFUNCION,FEMENINO,ICA,PISCO,87
122,2022,AGOSTO,DEFUNCION,FEMENINO,ITALIA,GENOVA,1
123,2022,AGOSTO,DEFUNCION,FEMENINO,ITALIA,LOMBARDIA,1
124,2022,AGOSTO,DEFUNCION,FEMENINO,ITALIA,MILAN,6
125,2022,AGOSTO,DEFUNCION,FEMENINO,ITALIA,TURIN,1
126,2022,AGOSTO,DEFUNCION,FEMENINO,JAPON,SHIZUOKA,1
127,2022,AGOSTO,DEFUNCION,FEMENINO,JUNIN,CHANCHAMAYO,19
