ANIO_REGISTRO,MES_REGISTRO,TIPO_ACTA,DE_GENERO,DEPART_CIUDAD_ESTADO_DOM_SOL,PROVINCIA_DOM_SOL,CANT_COPIAS_EMITIDAS
2022,ABRIL,DEFUNCION,FEMENINO,ALEMANIA,COLONIA,1
2022,ABRIL,DEFUNCION,FEMENINO,ALEMANIA,DORTMUND,2
2022,ABRIL,DEFUNCION,FEMENINO,AMAZONAS,BAGUA,11
2022,ABRIL,DEFUNCION,FEMENINO,AMAZONAS,CONDORCANQUI,1
2022,ABRIL,DEFUNCION,FEMENINO,AMAZONAS,RODRIGUEZ DE MENDOZA,4
2022,ABRIL,DEFUNCION,FEMENINO,AMAZONAS,UTCUBAMBA,3
2022,ABRIL,DEFUNCION,FEMENINO,ANCASH,ASUNCION,2
2022,ABRIL,DEFUNCION,FEMENINO,ANCASH,BOLOGNESI,4
2022,ABRIL,DEFUNCION,FEMENINO,ANCASH,CARHUAZ,7
2022,ABRIL,DEFUNCION,FEMENINO,ANCASH,CARLOS FERMIN FITZCARRALD,2
2022,ABRIL,DEFUNCION,FEMENINO,ANCASH,CASMA,4
2022,ABRIL,DEFUNCION,FEMENINO,ANCASH,HUARAZ,26
2022,ABRIL,DEFUNCION,FEMENINO,ANCASH,HUARI,5
2022,ABRIL,DEFUNCION,FEMENINO,ANCASH,HUARMEY,3
2022,ABRIL,DEFUNCION,FEMENINO,ANCASH,HUAYLAS,8
2022,ABRIL,DEFUNCION,FEMENINO,ANCASH,PALLASCA,1
2022,ABRIL,DEFUNCION,FEMENINO,ANCASH,RECUAY,1
2022,ABRIL,DEFUNCION,FEMENINO,ANCASH,SANTA,77
2022,ABRIL,DEFUNCION,FEMENINO,ANCASH,YUNGAY,5
2022,ABRIL,DEFUNCION,FEMENINO,APURIMAC,ABANCAY,13
2022,ABRIL,DEFUNCION,FEMENINO,APURIMAC,ANDAHUAYLAS,5
2022,ABRIL,DEFUNCION,FEMENINO,APURIMAC,AYMARAES,2
2022,ABRIL,DEFUNCION,FEMENINO,APURIMAC,CHINCHEROS,5
2022,ABRIL,DEFUNCION,FEMENINO,APURIMAC,COTABAMBAS,1
2022,ABRIL,DEFUNCION,FEMENINO,APURIMAC,GRAU,3
2022,ABRIL,DEFUNCION,FEMENINO,AREQUIPA,AREQUIPA,320
2022,ABRIL,DEFUNCION,FEMENINO,AREQUIPA,CAMANA,11
2022,ABRIL,DEFUNCION,FEMENINO,AREQUIPA,CARAVELI,6
2022,ABRIL,DEFUNCION,FEMENINO,AREQUIPA,CASTILLA,9
2022,ABRIL,DEFUNCION,FEMENINO,AREQUIPA,CAYLLOMA,23
2022,ABRIL,DEFUNCION,FEMENINO,AREQUIPA,CONDESUYOS,1
2022,ABRIL,DEFUNCION,FEMENINO,AREQUIPA,ISLAY,10
2022,ABRIL,DEFUNCION,FEMENINO,ARGENTINA,BUENOS AIRES,5
2022,ABRIL,DEFUNCION,FEMENINO,ARGENTINA,CORDOBA,1
2022,ABRIL,DEFUNCION,FEMENINO,AYACUCHO,CANGALLO,24
2022,ABRIL,DEFUNCION,FEMENINO,AYACUCHO,HUAMANGA,54
2022,ABRIL,DEFUNCION,FEMENINO,AYACUCHO,HUANCA SANCOS,2
2022,ABRIL,DEFUNCION,FEMENINO,AYACUCHO,HUANTA,5
2022,ABRIL,DEFUNCION,FEMENINO,AYACUCHO,LUCANAS,8
2022,ABRIL,DEFUNCION,FEMENINO,AYACUCHO,PARINACOCHAS,7
2022,ABRIL,DEFUNCION,FEMENINO,AYACUCHO,PAUCAR DEL SARA SARA,3
2022,ABRIL,DEFUNCION,FEMENINO,AYACUCHO,VICTOR FAJARDO,2
2022,ABRIL,DEFUNCION,FEMENINO,CAJAMARCA,CAJABAMBA,3
2022,ABRIL,DEFUNCION,FEMENINO,CAJAMARCA,CAJAMARCA,53
2022,ABRIL,DEFUNCION,FEMENINO,CAJAMARCA,CELENDIN,3
2022,ABRIL,DEFUNCION,FEMENINO,CAJAMARCA,CHOTA,4
2022,ABRIL,DEFUNCION,FEMENINO,CAJAMARCA,CONTUMAZA,2
2022,ABRIL,DEFUNCION,FEMENINO,CAJAMARCA,CUTERVO,10
2022,ABRIL,DEFUNCION,FEMENINO,CAJAMARCA,HUALGAYOC,3
2022,ABRIL,DEFUNCION,FEMENINO,CAJAMARCA,JAEN,16
2022,ABRIL,DEFUNCION,FEMENINO,CAJAMARCA,SAN IGNACIO,12
2022,ABRIL,DEFUNCION,FEMENINO,CAJAMARCA,SAN MARCOS,1
2022,ABRIL,DEFUNCION,FEMENINO,CAJAMARCA,SAN MIGUEL,6
2022,ABRIL,DEFUNCION,FEMENINO,CAJAMARCA,SANTA CRUZ,1
2022,ABRIL,DEFUNCION,FEMENINO,CALLAO,CALLAO,354
2022,ABRIL,DEFUNCION,FEMENINO,CANADA,ONTARIO,1
2022,ABRIL,DEFUNCION,FEMENINO,CHILE,ATACAMA,1
2022,ABRIL,DEFUNCION,FEMENINO,CHILE,SANTIAGO,4
2022,ABRIL,DEFUNCION,FEMENINO,CHILE,VALPARAISO,1
2022,ABRIL,DEFUNCION,FEMENINO,CUSCO,ACOMAYO,1
2022,ABRIL,DEFUNCION,FEMENINO,CUSCO,ANTA,7
2022,ABRIL,DEFUNCION,FEMENINO,CUSCO,CALCA,10
2022,ABRIL,DEFUNCION,FEMENINO,CUSCO,CANAS,5
2022,ABRIL,DEFUNCION,FEMENINO,CUSCO,CANCHIS,8
