   ,ANIO_REGISTRO,MES_REGISTRO,TIPO_ACTA,DE_GENERO,DEPART_CIUDAD_ESTADO_DOM_SOL,PROVINCIA_DOM_SOL,CANT_COPIAS_EMITIDAS
1,2022,DICIEMBRE,DEFUNCION,FEMENINO,AMAZONAS,BONGARA,1
2,2022,DICIEMBRE,DEFUNCION,FEMENINO,AMAZONAS,CHACHAPOYAS,2
3,2022,DICIEMBRE,DEFUNCION,FEMENINO,AMAZONAS,CONDORCANQUI,1
4,2022,DICIEMBRE,DEFUNCION,FEMENINO,AMAZONAS,UTCUBAMBA,2
5,2022,DICIEMBRE,DEFUNCION,FEMENINO,ANCASH,BOLOGNESI,1
6,2022,DICIEMBRE,DEFUNCION,FEMENINO,ANCASH,CARHUAZ,3
7,2022,DICIEMBRE,DEFUNCION,FEMENINO,ANCASH,CASMA,2
8,2022,DICIEMBRE,DEFUNCION,FEMENINO,ANCASH,CORONGO,1
9,2022,DICIEMBRE,DEFUNCION,FEMENINO,ANCASH,HUARAZ,3
10,2022,DICIEMBRE,DEFUNCION,FEMENINO,ANCASH,HUARI,2
11,2022,DICIEMBRE,DEFUNCION,FEMENINO,ANCASH,HUAYLAS,2
12,2022,DICIEMBRE,DEFUNCION,FEMENINO,ANCASH,MARISCAL LUZURIAGA,2
13,2022,DICIEMBRE,DEFUNCION,FEMENINO,ANCASH,OCROS,1
14,2022,DICIEMBRE,DEFUNCION,FEMENINO,ANCASH,POMABAMBA,1
15,2022,DICIEMBRE,DEFUNCION,FEMENINO,ANCASH,RECUAY,3
16,2022,DICIEMBRE,DEFUNCION,FEMENINO,ANCASH,SANTA,30
17,2022,DICIEMBRE,DEFUNCION,FEMENINO,ANCASH,YUNGAY,1
18,2022,DICIEMBRE,DEFUNCION,FEMENINO,APURIMAC,ABANCAY,4
19,2022,DICIEMBRE,DEFUNCION,FEMENINO,APURIMAC,ANDAHUAYLAS,1
20,2022,DICIEMBRE,DEFUNCION,FEMENINO,APURIMAC,CHINCHEROS,1
