"ANIO_REGISTRO","MES_REGISTRO","TIPO_ACTA","DE_GENERO","DEPART_CIUDAD_ESTADO_DOM_SOL","PROVINCIA_DOM_SOL","CANT_COPIAS_EMITIDAS"
"2022","JUNIO","DEFUNCION","FEMENINO","AMAZONAS","BAGUA","16"
"2022","JUNIO","DEFUNCION","FEMENINO","AMAZONAS","CHACHAPOYAS","5"
"2022","JUNIO","DEFUNCION","FEMENINO","AMAZONAS","RODRIGUEZ DE MENDOZA","2"
"2022","JUNIO","DEFUNCION","FEMENINO","AMAZONAS","UTCUBAMBA","2"
"2022","JUNIO","DEFUNCION","FEMENINO","ANCASH","ASUNCION","1"
"2022","JUNIO","DEFUNCION","FEMENINO","ANCASH","BOLOGNESI","5"
"2022","JUNIO","DEFUNCION","FEMENINO","ANCASH","CARHUAZ","3"
"2022","JUNIO","DEFUNCION","FEMENINO","ANCASH","CARLOS FERMIN FITZCARRALD","2"
"2022","JUNIO","DEFUNCION","FEMENINO","ANCASH","CASMA","4"
"2022","JUNIO","DEFUNCION","FEMENINO","ANCASH","HUARAZ","19"
"2022","JUNIO","DEFUNCION","FEMENINO","ANCASH","HUARI","13"
"2022","JUNIO","DEFUNCION","FEMENINO","ANCASH","HUARMEY","1"
"2022","JUNIO","DEFUNCION","FEMENINO","ANCASH","HUAYLAS","5"
"2022","JUNIO","DEFUNCION","FEMENINO","ANCASH","MARISCAL LUZURIAGA","1"
"2022","JUNIO","DEFUNCION","FEMENINO","ANCASH","PALLASCA","2"
"2022","JUNIO","DEFUNCION","FEMENINO","ANCASH","RECUAY","3"
"2022","JUNIO","DEFUNCION","FEMENINO","ANCASH","SANTA","58"
"2022","JUNIO","DEFUNCION","FEMENINO","ANCASH","YUNGAY","3"
"2022","JUNIO","DEFUNCION","FEMENINO","APURIMAC","ABANCAY","6"
"2022","JUNIO","DEFUNCION","FEMENINO","APURIMAC","ANDAHUAYLAS","5"
"2022","JUNIO","DEFUNCION","FEMENINO","APURIMAC","AYMARAES","5"
"2022","JUNIO","DEFUNCION","FEMENINO","APURIMAC","CHINCHEROS","9"
"2022","JUNIO","DEFUNCION","FEMENINO","APURIMAC","COTABAMBAS","2"
"2022","JUNIO","DEFUNCION","FEMENINO","APURIMAC","GRAU","2"
"2022","JUNIO","DEFUNCION","FEMENINO","AREQUIPA","AREQUIPA","310"
