"   ";"ANIO_REGISTRO";"MES_REGISTRO";"TIPO_ACTA";"DE_GENERO";"DEPART_CIUDAD_ESTADO_DOM_SOL";"PROVINCIA_DOM_SOL";"CANT_COPIAS_EMITIDAS"
"1";"2022";"MARZO";"DEFUNCION";"FEMENINO";"ALEMANIA";"HESSEN";"2"
"2";"2022";"MARZO";"DEFUNCION";"FEMENINO";"AMAZONAS";"BAGUA";"13"
"3";"2022";"MARZO";"DEFUNCION";"FEMENINO";"AMAZONAS";"BONGARA";"1"
"4";"2022";"MARZO";"DEFUNCION";"FEMENINO";"AMAZONAS";"CHACHAPOYAS";"1"
"5";"2022";"MARZO";"DEFUNCION";"FEMENINO";"AMAZONAS";"CONDORCANQUI";"1"
"6";"2022";"MARZO";"DEFUNCION";"FEMENINO";"AMAZONAS";"RODRIGUEZ DE MENDOZA";"2"
"7";"2022";"MARZO";"DEFUNCION";"FEMENINO";"AMAZONAS";"UTCUBAMBA";"5"
"8";"2022";"MARZO";"DEFUNCION";"FEMENINO";"ANCASH";"ANTONIO RAIMONDI";"2"
"9";"2022";"MARZO";"DEFUNCION";"FEMENINO";"ANCASH";"ASUNCION";"4"
"10";"2022";"MARZO";"DEFUNCION";"FEMENINO";"ANCASH";"BOLOGNESI";"3"
"11";"2022";"MARZO";"DEFUNCION";"FEMENINO";"ANCASH";"CARHUAZ";"13"
"12";"2022";"MARZO";"DEFUNCION";"FEMENINO";"ANCASH";"CASMA";"4"
"13";"2022";"MARZO";"DEFUNCION";"FEMENINO";"ANCASH";"HUARAZ";"30"
"14";"2022";"MARZO";"DEFUNCION";"FEMENINO";"ANCASH";"HUARI";"15"
"15";"2022";"MARZO";"DEFUNCION";"FEMENINO";"ANCASH";"HUARMEY";"2"
"16";"2022";"MARZO";"DEFUNCION";"FEMENINO";"ANCASH";"HUAYLAS";"12"
"17";"2022";"MARZO";"DEFUNCION";"FEMENINO";"ANCASH";"MARISCAL LUZURIAGA";"3"
"18";"2022";"MARZO";"DEFUNCION";"FEMENINO";"ANCASH";"PALLASCA";"5"
"19";"2022";"MARZO";"DEFUNCION";"FEMENINO";"ANCASH";"POMABAMBA";"2"
"20";"2022";"MARZO";"DEFUNCION";"FEMENINO";"ANCASH";"RECUAY";"3"
"21";"2022";"MARZO";"DEFUNCION";"FEMENINO";"ANCASH";"SANTA";"131"
"22";"2022";"MARZO";"DEFUNCION";"FEMENINO";"ANCASH";"YUNGAY";"9"
"23";"2022";"MARZO";"DEFUNCION";"FEMENINO";"APURIMAC";"ABANCAY";"13"
"24";"2022";"MARZO";"DEFUNCION";"FEMENINO";"APURIMAC";"ANDAHUAYLAS";"6"
"25";"2022";"MARZO";"DEFUNCION";"FEMENINO";"APURIMAC";"ANTABAMBA";"1"
"26";"2022";"MARZO";"DEFUNCION";"FEMENINO";"APURIMAC";"AYMARAES";"3"
"27";"2022";"MARZO";"DEFUNCION";"FEMENINO";"APURIMAC";"CHINCHEROS";"10"
"28";"2022";"MARZO";"DEFUNCION";"FEMENINO";"APURIMAC";"COTABAMBAS";"2"
"29";"2022";"MARZO";"DEFUNCION";"FEMENINO";"AREQUIPA";"AREQUIPA";"384"
"30";"2022";"MARZO";"DEFUNCION";"FEMENINO";"AREQUIPA";"CAMANA";"18"
"31";"2022";"MARZO";"DEFUNCION";"FEMENINO";"AREQUIPA";"CARAVELI";"8"
"32";"2022";"MARZO";"DEFUNCION";"FEMENINO";"AREQUIPA";"CASTILLA";"14"
"33";"2022";"MARZO";"DEFUNCION";"FEMENINO";"AREQUIPA";"CAYLLOMA";"25"
"34";"2022";"MARZO";"DEFUNCION";"FEMENINO";"AREQUIPA";"CONDESUYOS";"1"
"35";"2022";"MARZO";"DEFUNCION";"FEMENINO";"AREQUIPA";"ISLAY";"19"
"36";"2022";"MARZO";"DEFUNCION";"FEMENINO";"AREQUIPA";"LA UNION";"1"
"37";"2022";"MARZO";"DEFUNCION";"FEMENINO";"ARGENTINA";"BUENOS AIRES";"5"
"38";"2022";"MARZO";"DEFUNCION";"FEMENINO";"ARGENTINA";"MENDOZA";"1"
"39";"2022";"MARZO";"DEFUNCION";"FEMENINO";"AYACUCHO";"CANGALLO";"19"
"40";"2022";"MARZO";"DEFUNCION";"FEMENINO";"AYACUCHO";"HUAMANGA";"98"
"41";"2022";"MARZO";"DEFUNCION";"FEMENINO";"AYACUCHO";"HUANTA";"20"
"42";"2022";"MARZO";"DEFUNCION";"FEMENINO";"AYACUCHO";"LA MAR";"3"
"43";"2022";"MARZO";"DEFUNCION";"FEMENINO";"AYACUCHO";"LUCANAS";"9"
"44";"2022";"MARZO";"DEFUNCION";"FEMENINO";"AYACUCHO";"PARINACOCHAS";"10"
"45";"2022";"MARZO";"DEFUNCION";"FEMENINO";"AYACUCHO";"PAUCAR DEL SARA SARA";"5"
"46";"2022";"MARZO";"DEFUNCION";"FEMENINO";"AYACUCHO";"VICTOR FAJARDO";"3"
"47";"2022";"MARZO";"DEFUNCION";"FEMENINO";"BOLIVIA";"COCHABAMBA";"1"
"48";"2022";"MARZO";"DEFUNCION";"FEMENINO";"CAJAMARCA";"CAJABAMBA";"2"
"49";"2022";"MARZO";"DEFUNCION";"FEMENINO";"CAJAMARCA";"CAJAMARCA";"95"
"50";"2022";"MARZO";"DEFUNCION";"FEMENINO";"CAJAMARCA";"CELENDIN";"4"
"51";"2022";"MARZO";"DEFUNCION";"FEMENINO";"CAJAMARCA";"CHOTA";"3"
"52";"2022";"MARZO";"DEFUNCION";"FEMENINO";"CAJAMARCA";"CONTUMAZA";"1"
"53";"2022";"MARZO";"DEFUNCION";"FEMENINO";"CAJAMARCA";"CUTERVO";"6"
"54";"2022";"MARZO";"DEFUNCION";"FEMENINO";"CAJAMARCA";"HUALGAYOC";"1"
"55";"2022";"MARZO";"DEFUNCION";"FEMENINO";"CAJAMARCA";"JAEN";"30"
"56";"2022";"MARZO";"DEFUNCION";"FEMENINO";"CAJAMARCA";"SAN IGNACIO";"32"
"57";"2022";"MARZO";"DEFUNCION";"FEMENINO";"CAJAMARCA";"SAN MARCOS";"2"
"58";"2022";"MARZO";"DEFUNCION";"FEMENINO";"CAJAMARCA";"SAN MIGUEL";"11"
"59";"2022";"MARZO";"DEFUNCION";"FEMENINO";"CAJAMARCA";"SAN PABLO";"3"
"60";"2022";"MARZO";"DEFUNCION";"FEMENINO";"CAJAMARCA";"SANTA CRUZ";"4"
"61";"2022";"MARZO";"DEFUNCION";"FEMENINO";"CALLAO";"CALLAO";"519"
"62";"2022";"MARZO";"DEFUNCION";"FEMENINO";"CANADA";"COLUMBIA BRITANICA";"1"
"63";"2022";"MARZO";"DEFUNCION";"FEMENINO";"CANADA";"ONTARIO";"2"
"64";"2022";"MARZO";"DEFUNCION";"FEMENINO";"CHILE";"REGION METROPOLITANA";"1"
"65";"2022";"MARZO";"DEFUNCION";"FEMENINO";"CHILE";"SANTIAGO";"12"
"66";"2022";"MARZO";"DEFUNCION";"FEMENINO";"COSTA RICA";"SAN JOSE";"1"
"67";"2022";"MARZO";"DEFUNCION";"FEMENINO";"CUSCO";"ACOMAYO";"7"
"68";"2022";"MARZO";"DEFUNCION";"FEMENINO";"CUSCO";"ANTA";"9"
"69";"2022";"MARZO";"DEFUNCION";"FEMENINO";"CUSCO";"CALCA";"6"
"70";"2022";"MARZO";"DEFUNCION";"FEMENINO";"CUSCO";"CANAS";"3"
