"   ";"ANIO_REGISTRO";"MES_REGISTRO";"TIPO_ACTA";"DE_GENERO";"DEPART_CIUDAD_ESTADO_DOM_SOL";"PROVINCIA_DOM_SOL";"CANT_COPIAS_EMITIDAS"
"1";"2022";"MAYO";"DEFUNCION";"FEMENINO";"AMAZONAS";"BAGUA";"13"
"2";"2022";"MAYO";"DEFUNCION";"FEMENINO";"AMAZONAS";"BONGARA";"3"
"3";"2022";"MAYO";"DEFUNCION";"FEMENINO";"AMAZONAS";"CHACHAPOYAS";"2"
"4";"2022";"MAYO";"DEFUNCION";"FEMENINO";"AMAZONAS";"CONDORCANQUI";"1"
"5";"2022";"MAYO";"DEFUNCION";"FEMENINO";"AMAZONAS";"RODRIGUEZ DE MENDOZA";"3"
"6";"2022";"MAYO";"DEFUNCION";"FEMENINO";"ANCASH";"ASUNCION";"1"
"7";"2022";"MAYO";"DEFUNCION";"FEMENINO";"ANCASH";"BOLOGNESI";"1"
"8";"2022";"MAYO";"DEFUNCION";"FEMENINO";"ANCASH";"CARHUAZ";"3"
"9";"2022";"MAYO";"DEFUNCION";"FEMENINO";"ANCASH";"CASMA";"4"
"10";"2022";"MAYO";"DEFUNCION";"FEMENINO";"ANCASH";"HUARAZ";"29"
"11";"2022";"MAYO";"DEFUNCION";"FEMENINO";"ANCASH";"HUARI";"9"
"12";"2022";"MAYO";"DEFUNCION";"FEMENINO";"ANCASH";"HUARMEY";"2"
"13";"2022";"MAYO";"DEFUNCION";"FEMENINO";"ANCASH";"HUAYLAS";"4"
"14";"2022";"MAYO";"DEFUNCION";"FEMENINO";"ANCASH";"PALLASCA";"2"
"15";"2022";"MAYO";"DEFUNCION";"FEMENINO";"ANCASH";"POMABAMBA";"2"
"16";"2022";"MAYO";"DEFUNCION";"FEMENINO";"ANCASH";"RECUAY";"2"
"17";"2022";"MAYO";"DEFUNCION";"FEMENINO";"ANCASH";"SANTA";"94"
"18";"2022";"MAYO";"DEFUNCION";"FEMENINO";"ANCASH";"YUNGAY";"5"
"19";"2022";"MAYO";"DEFUNCION";"FEMENINO";"APURIMAC";"ABANCAY";"6"
"20";"2022";"MAYO";"DEFUNCION";"FEMENINO";"APURIMAC";"ANDAHUAYLAS";"11"
"21";"2022";"MAYO";"DEFUNCION";"FEMENINO";"APURIMAC";"ANTABAMBA";"1"
"22";"2022";"MAYO";"DEFUNCION";"FEMENINO";"APURIMAC";"AYMARAES";"3"
"23";"2022";"MAYO";"DEFUNCION";"FEMENINO";"APURIMAC";"CHINCHEROS";"9"
"24";"2022";"MAYO";"DEFUNCION";"FEMENINO";"APURIMAC";"COTABAMBAS";"3"
"25";"2022";"MAYO";"DEFUNCION";"FEMENINO";"AREQUIPA";"AREQUIPA";"351"
"26";"2022";"MAYO";"DEFUNCION";"FEMENINO";"AREQUIPA";"CAMANA";"13"
"27";"2022";"MAYO";"DEFUNCION";"FEMENINO";"AREQUIPA";"CARAVELI";"6"
"28";"2022";"MAYO";"DEFUNCION";"FEMENINO";"AREQUIPA";"CASTILLA";"6"
"29";"2022";"MAYO";"DEFUNCION";"FEMENINO";"AREQUIPA";"CAYLLOMA";"29"
"30";"2022";"MAYO";"DEFUNCION";"FEMENINO";"AREQUIPA";"ISLAY";"6"
"31";"2022";"MAYO";"DEFUNCION";"FEMENINO";"AREQUIPA";"LA UNION";"3"
"32";"2022";"MAYO";"DEFUNCION";"FEMENINO";"ARGENTINA";"BUENOS AIRES";"7"
"33";"2022";"MAYO";"DEFUNCION";"FEMENINO";"ARGENTINA";"CORDOBA";"2"
"34";"2022";"MAYO";"DEFUNCION";"FEMENINO";"ARGENTINA";"LA PLATA";"1"
"35";"2022";"MAYO";"DEFUNCION";"FEMENINO";"ARGENTINA";"TUCUMAN";"3"
"36";"2022";"MAYO";"DEFUNCION";"FEMENINO";"AUSTRIA";"ESTIRIA";"1"
"37";"2022";"MAYO";"DEFUNCION";"FEMENINO";"AYACUCHO";"CANGALLO";"12"
"38";"2022";"MAYO";"DEFUNCION";"FEMENINO";"AYACUCHO";"HUAMANGA";"68"
"39";"2022";"MAYO";"DEFUNCION";"FEMENINO";"AYACUCHO";"HUANCA SANCOS";"5"
"40";"2022";"MAYO";"DEFUNCION";"FEMENINO";"AYACUCHO";"LA MAR";"6"
"41";"2022";"MAYO";"DEFUNCION";"FEMENINO";"AYACUCHO";"LUCANAS";"2"
"42";"2022";"MAYO";"DEFUNCION";"FEMENINO";"AYACUCHO";"PARINACOCHAS";"9"
"43";"2022";"MAYO";"DEFUNCION";"FEMENINO";"AYACUCHO";"PAUCAR DEL SARA SARA";"2"
"44";"2022";"MAYO";"DEFUNCION";"FEMENINO";"AYACUCHO";"SUCRE";"1"
"45";"2022";"MAYO";"DEFUNCION";"FEMENINO";"AYACUCHO";"VICTOR FAJARDO";"2"
"46";"2022";"MAYO";"DEFUNCION";"FEMENINO";"AYACUCHO";"VILCAS HUAMAN";"2"
"47";"2022";"MAYO";"DEFUNCION";"FEMENINO";"CAJAMARCA";"CAJABAMBA";"6"
"48";"2022";"MAYO";"DEFUNCION";"FEMENINO";"CAJAMARCA";"CAJAMARCA";"62"
"49";"2022";"MAYO";"DEFUNCION";"FEMENINO";"CAJAMARCA";"CELENDIN";"2"
"50";"2022";"MAYO";"DEFUNCION";"FEMENINO";"CAJAMARCA";"CHOTA";"2"
"51";"2022";"MAYO";"DEFUNCION";"FEMENINO";"CAJAMARCA";"CONTUMAZA";"6"
"52";"2022";"MAYO";"DEFUNCION";"FEMENINO";"CAJAMARCA";"CUTERVO";"9"
"53";"2022";"MAYO";"DEFUNCION";"FEMENINO";"CAJAMARCA";"JAEN";"9"
"54";"2022";"MAYO";"DEFUNCION";"FEMENINO";"CAJAMARCA";"SAN IGNACIO";"16"
"55";"2022";"MAYO";"DEFUNCION";"FEMENINO";"CAJAMARCA";"SAN MIGUEL";"7"
"56";"2022";"MAYO";"DEFUNCION";"FEMENINO";"CAJAMARCA";"SAN PABLO";"1"
"57";"2022";"MAYO";"DEFUNCION";"FEMENINO";"CAJAMARCA";"SANTA CRUZ";"1"
"58";"2022";"MAYO";"DEFUNCION";"FEMENINO";"CALLAO";"CALLAO";"394"
"59";"2022";"MAYO";"DEFUNCION";"FEMENINO";"CHILE";"SANTIAGO";"8"
"60";"2022";"MAYO";"DEFUNCION";"FEMENINO";"CUSCO";"ACOMAYO";"1"
"61";"2022";"MAYO";"DEFUNCION";"FEMENINO";"CUSCO";"ANTA";"10"
"62";"2022";"MAYO";"DEFUNCION";"FEMENINO";"CUSCO";"CALCA";"9"
"63";"2022";"MAYO";"DEFUNCION";"FEMENINO";"CUSCO";"CANAS";"2"
"64";"2022";"MAYO";"DEFUNCION";"FEMENINO";"CUSCO";"CANCHIS";"12"
"65";"2022";"MAYO";"DEFUNCION";"FEMENINO";"CUSCO";"CHUMBIVILCAS";"3"
"66";"2022";"MAYO";"DEFUNCION";"FEMENINO";"CUSCO";"CUSCO";"125"
"67";"2022";"MAYO";"DEFUNCION";"FEMENINO";"CUSCO";"ESPINAR";"1"
"68";"2022";"MAYO";"DEFUNCION";"FEMENINO";"CUSCO";"LA CONVENCION";"31"
"69";"2022";"MAYO";"DEFUNCION";"FEMENINO";"CUSCO";"PARURO";"5"
"70";"2022";"MAYO";"DEFUNCION";"FEMENINO";"CUSCO";"PAUCARTAMBO";"2"
"71";"2022";"MAYO";"DEFUNCION";"FEMENINO";"CUSCO";"QUISPICANCHI";"5"
"72";"2022";"MAYO";"DEFUNCION";"FEMENINO";"CUSCO";"URUBAMBA";"18"
"73";"2022";"MAYO";"DEFUNCION";"FEMENINO";"ESPAÑA";"ALMERIA";"1"
"74";"2022";"MAYO";"DEFUNCION";"FEMENINO";"ESPAÑA";"BARCELONA";"2"
"75";"2022";"MAYO";"DEFUNCION";"FEMENINO";"ESPAÑA";"MADRID";"4"
"76";"2022";"MAYO";"DEFUNCION";"FEMENINO";"ESPAÑA";"SALAMANCA";"1"
"77";"2022";"MAYO";"DEFUNCION";"FEMENINO";"ESPAÑA";"TOLEDO";"1"
"78";"2022";"MAYO";"DEFUNCION";"FEMENINO";"ESTADOS UNIDOS DE AMERICA";"LOS ANGELES";"3"
"79";"2022";"MAYO";"DEFUNCION";"FEMENINO";"ESTADOS UNIDOS DE AMERICA";"MIAMI";"2"
"80";"2022";"MAYO";"DEFUNCION";"FEMENINO";"ESTADOS UNIDOS DE AMERICA";"MICHIGAN";"1"
"81";"2022";"MAYO";"DEFUNCION";"FEMENINO";"ESTADOS UNIDOS DE AMERICA";"NUEVA JERSEY";"3"
"82";"2022";"MAYO";"DEFUNCION";"FEMENINO";"ESTADOS UNIDOS DE AMERICA";"NUEVA YORK";"9"
"83";"2022";"MAYO";"DEFUNCION";"FEMENINO";"ESTADOS UNIDOS DE AMERICA";"ORLANDO";"1"
"84";"2022";"MAYO";"DEFUNCION";"FEMENINO";"ESTADOS UNIDOS DE AMERICA";"PENNSYLVANIA";"1"
"85";"2022";"MAYO";"DEFUNCION";"FEMENINO";"ESTADOS UNIDOS DE AMERICA";"TEXAS";"1"
"86";"2022";"MAYO";"DEFUNCION";"FEMENINO";"GRAN BRETAÑA";"DORSET";"1"
"87";"2022";"MAYO";"DEFUNCION";"FEMENINO";"HUANCAVELICA";"ACOBAMBA";"2"
"88";"2022";"MAYO";"DEFUNCION";"FEMENINO";"HUANCAVELICA";"ANGARAES";"4"
"89";"2022";"MAYO";"DEFUNCION";"FEMENINO";"HUANCAVELICA";"CASTROVIRREYNA";"6"
"90";"2022";"MAYO";"DEFUNCION";"FEMENINO";"HUANCAVELICA";"CHURCAMPA";"2"
"91";"2022";"MAYO";"DEFUNCION";"FEMENINO";"HUANCAVELICA";"HUANCAVELICA";"8"
"92";"2022";"MAYO";"DEFUNCION";"FEMENINO";"HUANCAVELICA";"HUAYTARA";"2"
"93";"2022";"MAYO";"DEFUNCION";"FEMENINO";"HUANCAVELICA";"TAYACAJA";"21"
"94";"2022";"MAYO";"DEFUNCION";"FEMENINO";"HUANUCO";"AMBO";"23"
"95";"2022";"MAYO";"DEFUNCION";"FEMENINO";"HUANUCO";"DOS DE MAYO";"2"
"96";"2022";"MAYO";"DEFUNCION";"FEMENINO";"HUANUCO";"HUACAYBAMBA";"1"
"97";"2022";"MAYO";"DEFUNCION";"FEMENINO";"HUANUCO";"HUAMALIES";"6"
"98";"2022";"MAYO";"DEFUNCION";"FEMENINO";"HUANUCO";"HUANUCO";"41"
"99";"2022";"MAYO";"DEFUNCION";"FEMENINO";"HUANUCO";"LAURICOCHA";"2"
"100";"2022";"MAYO";"DEFUNCION";"FEMENINO";"HUANUCO";"LEONCIO PRADO";"25"
"101";"2022";"MAYO";"DEFUNCION";"FEMENINO";"HUANUCO";"MARAÑON";"2"
"102";"2022";"MAYO";"DEFUNCION";"FEMENINO";"HUANUCO";"PACHITEA";"5"
"103";"2022";"MAYO";"DEFUNCION";"FEMENINO";"HUANUCO";"YAROWILCA";"2"
"104";"2022";"MAYO";"DEFUNCION";"FEMENINO";"ICA";"CHINCHA";"101"
"105";"2022";"MAYO";"DEFUNCION";"FEMENINO";"ICA";"ICA";"194"
"106";"2022";"MAYO";"DEFUNCION";"FEMENINO";"ICA";"NASCA";"15"
"107";"2022";"MAYO";"DEFUNCION";"FEMENINO";"ICA";"PALPA";"1"
"108";"2022";"MAYO";"DEFUNCION";"FEMENINO";"ICA";"PISCO";"95"
"109";"2022";"MAYO";"DEFUNCION";"FEMENINO";"ITALIA";"BOLONIA";"1"
"110";"2022";"MAYO";"DEFUNCION";"FEMENINO";"ITALIA";"MILAN";"5"
"111";"2022";"MAYO";"DEFUNCION";"FEMENINO";"ITALIA";"ROMA";"3"
"112";"2022";"MAYO";"DEFUNCION";"FEMENINO";"ITALIA";"UMBRIA";"1"
"113";"2022";"MAYO";"DEFUNCION";"FEMENINO";"JAPON";"ISHIKAWA";"1"
"114";"2022";"MAYO";"DEFUNCION";"FEMENINO";"JAPON";"KANAGAWA";"1"
"115";"2022";"MAYO";"DEFUNCION";"FEMENINO";"JAPON";"SHIZUOKA";"1"
"116";"2022";"MAYO";"DEFUNCION";"FEMENINO";"JUNIN";"CHANCHAMAYO";"15"
"117";"2022";"MAYO";"DEFUNCION";"FEMENINO";"JUNIN";"CHUPACA";"40"
"118";"2022";"MAYO";"DEFUNCION";"FEMENINO";"JUNIN";"CONCEPCION";"12"
"119";"2022";"MAYO";"DEFUNCION";"FEMENINO";"JUNIN";"HUANCAYO";"177"
"120";"2022";"MAYO";"DEFUNCION";"FEMENINO";"JUNIN";"JAUJA";"17"
"121";"2022";"MAYO";"DEFUNCION";"FEMENINO";"JUNIN";"JUNIN";"1"
"122";"2022";"MAYO";"DEFUNCION";"FEMENINO";"JUNIN";"SATIPO";"9"
"123";"2022";"MAYO";"DEFUNCION";"FEMENINO";"JUNIN";"TARMA";"25"
"124";"2022";"MAYO";"DEFUNCION";"FEMENINO";"JUNIN";"YAULI";"12"
"125";"2022";"MAYO";"DEFUNCION";"FEMENINO";"LA LIBERTAD";"ASCOPE";"67"
"126";"2022";"MAYO";"DEFUNCION";"FEMENINO";"LA LIBERTAD";"CHEPEN";"23"
"127";"2022";"MAYO";"DEFUNCION";"FEMENINO";"LA LIBERTAD";"GRAN CHIMU";"89"
"128";"2022";"MAYO";"DEFUNCION";"FEMENINO";"LA LIBERTAD";"JULCAN";"9"
"129";"2022";"MAYO";"DEFUNCION";"FEMENINO";"LA LIBERTAD";"OTUZCO";"14"
"130";"2022";"MAYO";"DEFUNCION";"FEMENINO";"LA LIBERTAD";"PACASMAYO";"22"
"131";"2022";"MAYO";"DEFUNCION";"FEMENINO";"LA LIBERTAD";"PATAZ";"2"
"132";"2022";"MAYO";"DEFUNCION";"FEMENINO";"LA LIBERTAD";"SANCHEZ CARRION";"8"
