   ,ANIO_REGISTRO,MES_REGISTRO,TIPO_ACTA,DE_GENERO,DEPART_CIUDAD_ESTADO_DOM_SOL,PROVINCIA_DOM_SOL,CANT_COPIAS_EMITIDAS
1,2022,NOVIEMBRE,DEFUNCION,FEMENINO,ALEMANIA,BAVIERA,1
2,2022,NOVIEMBRE,DEFUNCION,FEMENINO,ALEMANIA,RENANIA-PALATINADO,4
3,2022,NOVIEMBRE,DEFUNCION,FEMENINO,AMAZONAS,BAGUA,1
4,2022,NOVIEMBRE,DEFUNCION,FEMENINO,AMAZONAS,BONGARA,6
5,2022,NOVIEMBRE,DEFUNCION,FEMENINO,AMAZONAS,CHACHAPOYAS,1
6,2022,NOVIEMBRE,DEFUNCION,FEMENINO,AMAZONAS,CONDORCANQUI,8
7,2022,NOVIEMBRE,DEFUNCION,FEMENINO,AMAZONAS,LUYA,1
8,2022,NOVIEMBRE,DEFUNCION,FEMENINO,AMAZONAS,RODRIGUEZ DE MENDOZA,1
9,2022,NOVIEMBRE,DEFUNCION,FEMENINO,AMAZONAS,UTCUBAMBA,6
10,2022,NOVIEMBRE,DEFUNCION,FEMENINO,ANCASH,AIJA,1
11,2022,NOVIEMBRE,DEFUNCION,FEMENINO,ANCASH,ASUNCION,2
12,2022,NOVIEMBRE,DEFUNCION,FEMENINO,ANCASH,BOLOGNESI,2
13,2022,NOVIEMBRE,DEFUNCION,FEMENINO,ANCASH,CASMA,3
14,2022,NOVIEMBRE,DEFUNCION,FEMENINO,ANCASH,HUARAZ,6
15,2022,NOVIEMBRE,DEFUNCION,FEMENINO,ANCASH,HUARI,7
16,2022,NOVIEMBRE,DEFUNCION,FEMENINO,ANCASH,HUARMEY,1
17,2022,NOVIEMBRE,DEFUNCION,FEMENINO,ANCASH,HUAYLAS,4
18,2022,NOVIEMBRE,DEFUNCION,FEMENINO,ANCASH,PALLASCA,1
19,2022,NOVIEMBRE,DEFUNCION,FEMENINO,ANCASH,RECUAY,1
20,2022,NOVIEMBRE,DEFUNCION,FEMENINO,ANCASH,SANTA,47
21,2022,NOVIEMBRE,DEFUNCION,FEMENINO,ANCASH,YUNGAY,2
22,2022,NOVIEMBRE,DEFUNCION,FEMENINO,APURIMAC,ABANCAY,3
23,2022,NOVIEMBRE,DEFUNCION,FEMENINO,APURIMAC,ANDAHUAYLAS,7
24,2022,NOVIEMBRE,DEFUNCION,FEMENINO,APURIMAC,AYMARAES,1
25,2022,NOVIEMBRE,DEFUNCION,FEMENINO,APURIMAC,CHINCHEROS,5
26,2022,NOVIEMBRE,DEFUNCION,FEMENINO,APURIMAC,COTABAMBAS,1
27,2022,NOVIEMBRE,DEFUNCION,FEMENINO,AREQUIPA,AREQUIPA,105
28,2022,NOVIEMBRE,DEFUNCION,FEMENINO,AREQUIPA,CAMANA,5
29,2022,NOVIEMBRE,DEFUNCION,FEMENINO,AREQUIPA,CASTILLA,1
30,2022,NOVIEMBRE,DEFUNCION,FEMENINO,AREQUIPA,CAYLLOMA,7
31,2022,NOVIEMBRE,DEFUNCION,FEMENINO,AREQUIPA,ISLAY,4
32,2022,NOVIEMBRE,DEFUNCION,FEMENINO,ARGENTINA,BUENOS AIRES,2
33,2022,NOVIEMBRE,DEFUNCION,FEMENINO,AYACUCHO,HUAMANGA,14
34,2022,NOVIEMBRE,DEFUNCION,FEMENINO,AYACUCHO,HUANTA,8
35,2022,NOVIEMBRE,DEFUNCION,FEMENINO,AYACUCHO,LA MAR,5
36,2022,NOVIEMBRE,DEFUNCION,FEMENINO,AYACUCHO,LUCANAS,1
37,2022,NOVIEMBRE,DEFUNCION,FEMENINO,AYACUCHO,PARINACOCHAS,6
38,2022,NOVIEMBRE,DEFUNCION,FEMENINO,AYACUCHO,SUCRE,2
39,2022,NOVIEMBRE,DEFUNCION,FEMENINO,AYACUCHO,VICTOR FAJARDO,1
40,2022,NOVIEMBRE,DEFUNCION,FEMENINO,AYACUCHO,VILCAS HUAMAN,2
41,2022,NOVIEMBRE,DEFUNCION,FEMENINO,CAJAMARCA,CAJABAMBA,1
42,2022,NOVIEMBRE,DEFUNCION,FEMENINO,CAJAMARCA,CAJAMARCA,24
43,2022,NOVIEMBRE,DEFUNCION,FEMENINO,CAJAMARCA,CELENDIN,1
44,2022,NOVIEMBRE,DEFUNCION,FEMENINO,CAJAMARCA,CHOTA,1
45,2022,NOVIEMBRE,DEFUNCION,FEMENINO,CAJAMARCA,CONTUMAZA,2
46,2022,NOVIEMBRE,DEFUNCION,FEMENINO,CAJAMARCA,CUTERVO,6
47,2022,NOVIEMBRE,DEFUNCION,FEMENINO,CAJAMARCA,HUALGAYOC,1
48,2022,NOVIEMBRE,DEFUNCION,FEMENINO,CAJAMARCA,JAEN,6
49,2022,NOVIEMBRE,DEFUNCION,FEMENINO,CAJAMARCA,SAN IGNACIO,17
50,2022,NOVIEMBRE,DEFUNCION,FEMENINO,CAJAMARCA,SAN MARCOS,1
51,2022,NOVIEMBRE,DEFUNCION,FEMENINO,CAJAMARCA,SAN MIGUEL,5
52,2022,NOVIEMBRE,DEFUNCION,FEMENINO,CALLAO,CALLAO,237
53,2022,NOVIEMBRE,DEFUNCION,FEMENINO,CUSCO,ACOMAYO,1
54,2022,NOVIEMBRE,DEFUNCION,FEMENINO,CUSCO,ANTA,27
55,2022,NOVIEMBRE,DEFUNCION,FEMENINO,CUSCO,CALCA,2
56,2022,NOVIEMBRE,DEFUNCION,FEMENINO,CUSCO,CANAS,1
57,2022,NOVIEMBRE,DEFUNCION,FEMENINO,CUSCO,CANCHIS,5
58,2022,NOVIEMBRE,DEFUNCION,FEMENINO,CUSCO,CHUMBIVILCAS,1
59,2022,NOVIEMBRE,DEFUNCION,FEMENINO,CUSCO,CUSCO,72
60,2022,NOVIEMBRE,DEFUNCION,FEMENINO,CUSCO,ESPINAR,1
61,2022,NOVIEMBRE,DEFUNCION,FEMENINO,CUSCO,LA CONVENCION,16
62,2022,NOVIEMBRE,DEFUNCION,FEMENINO,CUSCO,PAUCARTAMBO,1
63,2022,NOVIEMBRE,DEFUNCION,FEMENINO,CUSCO,QUISPICANCHI,16
64,2022,NOVIEMBRE,DEFUNCION,FEMENINO,CUSCO,URUBAMBA,13
65,2022,NOVIEMBRE,DEFUNCION,FEMENINO,ESPAÑA,ALMERIA,1
66,2022,NOVIEMBRE,DEFUNCION,FEMENINO,ESPAÑA,BARCELONA,2
67,2022,NOVIEMBRE,DEFUNCION,FEMENINO,ESPAÑA,MADRID,3
68,2022,NOVIEMBRE,DEFUNCION,FEMENINO,ESPAÑA,MALLORCA,1
69,2022,NOVIEMBRE,DEFUNCION,FEMENINO,ESTADOS UNIDOS DE AMERICA,COLORADO,1
70,2022,NOVIEMBRE,DEFUNCION,FEMENINO,ESTADOS UNIDOS DE AMERICA,CONNECTICUT,1
