   ;ANIO_REGISTRO;MES_REGISTRO;TIPO_ACTA;DE_GENERO;DEPART_CIUDAD_ESTADO_DOM_SOL;PROVINCIA_DOM_SOL;CANT_COPIAS_EMITIDAS
1;2022;OCTUBRE;DEFUNCION;FEMENINO;ALEMANIA;BAVIERA;1
2;2022;OCTUBRE;DEFUNCION;FEMENINO;ALEMANIA;HAMBURGO;2
3;2022;OCTUBRE;DEFUNCION;FEMENINO;ALEMANIA;MUNICH;1
4;2022;OCTUBRE;DEFUNCION;FEMENINO;AMAZONAS;BAGUA;4
5;2022;OCTUBRE;DEFUNCION;FEMENINO;AMAZONAS;CHACHAPOYAS;1
6;2022;OCTUBRE;DEFUNCION;FEMENINO;AMAZONAS;LUYA;1
7;2022;OCTUBRE;DEFUNCION;FEMENINO;AMAZONAS;RODRIGUEZ DE MENDOZA;3
8;2022;OCTUBRE;DEFUNCION;FEMENINO;AMAZONAS;UTCUBAMBA;1
9;2022;OCTUBRE;DEFUNCION;FEMENINO;ANCASH;ANTONIO RAIMONDI;2
10;2022;OCTUBRE;DEFUNCION;FEMENINO;ANCASH;ASUNCION;2
11;2022;OCTUBRE;DEFUNCION;FEMENINO;ANCASH;BOLOGNESI;3
12;2022;OCTUBRE;DEFUNCION;FEMENINO;ANCASH;CARHUAZ;4
13;2022;OCTUBRE;DEFUNCION;FEMENINO;ANCASH;CASMA;4
14;2022;OCTUBRE;DEFUNCION;FEMENINO;ANCASH;HUARAZ;24
15;2022;OCTUBRE;DEFUNCION;FEMENINO;ANCASH;HUARI;8
16;2022;OCTUBRE;DEFUNCION;FEMENINO;ANCASH;HUARMEY;1
17;2022;OCTUBRE;DEFUNCION;FEMENINO;ANCASH;HUAYLAS;8
18;2022;OCTUBRE;DEFUNCION;FEMENINO;ANCASH;PALLASCA;3
19;2022;OCTUBRE;DEFUNCION;FEMENINO;ANCASH;RECUAY;5
20;2022;OCTUBRE;DEFUNCION;FEMENINO;ANCASH;SANTA;65
21;2022;OCTUBRE;DEFUNCION;FEMENINO;ANCASH;SIHUAS;1
22;2022;OCTUBRE;DEFUNCION;FEMENINO;ANCASH;YUNGAY;2
23;2022;OCTUBRE;DEFUNCION;FEMENINO;APURIMAC;ABANCAY;2
24;2022;OCTUBRE;DEFUNCION;FEMENINO;APURIMAC;ANDAHUAYLAS;1
25;2022;OCTUBRE;DEFUNCION;FEMENINO;APURIMAC;CHINCHEROS;5
26;2022;OCTUBRE;DEFUNCION;FEMENINO;APURIMAC;COTABAMBAS;1
27;2022;OCTUBRE;DEFUNCION;FEMENINO;AREQUIPA;AREQUIPA;210
28;2022;OCTUBRE;DEFUNCION;FEMENINO;AREQUIPA;CAMANA;5
29;2022;OCTUBRE;DEFUNCION;FEMENINO;AREQUIPA;CARAVELI;4
30;2022;OCTUBRE;DEFUNCION;FEMENINO;AREQUIPA;CASTILLA;7
31;2022;OCTUBRE;DEFUNCION;FEMENINO;AREQUIPA;CAYLLOMA;10
32;2022;OCTUBRE;DEFUNCION;FEMENINO;AREQUIPA;ISLAY;10
33;2022;OCTUBRE;DEFUNCION;FEMENINO;ARGENTINA;BUENOS AIRES;3
34;2022;OCTUBRE;DEFUNCION;FEMENINO;AYACUCHO;CANGALLO;1
35;2022;OCTUBRE;DEFUNCION;FEMENINO;AYACUCHO;HUAMANGA;57
36;2022;OCTUBRE;DEFUNCION;FEMENINO;AYACUCHO;HUANTA;19
37;2022;OCTUBRE;DEFUNCION;FEMENINO;AYACUCHO;LA MAR;4
38;2022;OCTUBRE;DEFUNCION;FEMENINO;AYACUCHO;LUCANAS;3
39;2022;OCTUBRE;DEFUNCION;FEMENINO;AYACUCHO;PARINACOCHAS;18
40;2022;OCTUBRE;DEFUNCION;FEMENINO;AYACUCHO;PAUCAR DEL SARA SARA;2
41;2022;OCTUBRE;DEFUNCION;FEMENINO;AYACUCHO;VILCAS HUAMAN;3
42;2022;OCTUBRE;DEFUNCION;FEMENINO;BRASIL;RIO DE JANEIRO;2
43;2022;OCTUBRE;DEFUNCION;FEMENINO;CAJAMARCA;CAJABAMBA;3
44;2022;OCTUBRE;DEFUNCION;FEMENINO;CAJAMARCA;CAJAMARCA;44
45;2022;OCTUBRE;DEFUNCION;FEMENINO;CAJAMARCA;CELENDIN;1
46;2022;OCTUBRE;DEFUNCION;FEMENINO;CAJAMARCA;CHOTA;1
47;2022;OCTUBRE;DEFUNCION;FEMENINO;CAJAMARCA;CONTUMAZA;2
48;2022;OCTUBRE;DEFUNCION;FEMENINO;CAJAMARCA;CUTERVO;7
49;2022;OCTUBRE;DEFUNCION;FEMENINO;CAJAMARCA;HUALGAYOC;1
50;2022;OCTUBRE;DEFUNCION;FEMENINO;CAJAMARCA;JAEN;10
51;2022;OCTUBRE;DEFUNCION;FEMENINO;CAJAMARCA;SAN IGNACIO;7
52;2022;OCTUBRE;DEFUNCION;FEMENINO;CAJAMARCA;SAN MARCOS;1
53;2022;OCTUBRE;DEFUNCION;FEMENINO;CAJAMARCA;SAN MIGUEL;5
54;2022;OCTUBRE;DEFUNCION;FEMENINO;CAJAMARCA;SANTA CRUZ;2
55;2022;OCTUBRE;DEFUNCION;FEMENINO;CALLAO;CALLAO;263
56;2022;OCTUBRE;DEFUNCION;FEMENINO;CHILE;SANTIAGO;4
57;2022;OCTUBRE;DEFUNCION;FEMENINO;CUSCO;ACOMAYO;1
58;2022;OCTUBRE;DEFUNCION;FEMENINO;CUSCO;ANTA;10
59;2022;OCTUBRE;DEFUNCION;FEMENINO;CUSCO;CALCA;6
60;2022;OCTUBRE;DEFUNCION;FEMENINO;CUSCO;CANAS;2
61;2022;OCTUBRE;DEFUNCION;FEMENINO;CUSCO;CANCHIS;7
62;2022;OCTUBRE;DEFUNCION;FEMENINO;CUSCO;CHUMBIVILCAS;5
63;2022;OCTUBRE;DEFUNCION;FEMENINO;CUSCO;CUSCO;84
64;2022;OCTUBRE;DEFUNCION;FEMENINO;CUSCO;ESPINAR;8
