;ANIO_REGISTRO;MES_REGISTRO;TIPO_ACTA;DE_GENERO;DEPART_CIUDAD_ESTADO_DOM_SOL;PROVINCIA_DOM_SOL;CANT_COPIAS_EMITIDAS
1;2023;ABRIL;DEFUNCION;FEMENINO;ALEMANIA;MUNICH;1
2;2023;ABRIL;DEFUNCION;FEMENINO;AMAZONAS;BAGUA;1
3;2023;ABRIL;DEFUNCION;FEMENINO;AMAZONAS;BONGARA;1
4;2023;ABRIL;DEFUNCION;FEMENINO;AMAZONAS;CHACHAPOYAS;1
5;2023;ABRIL;DEFUNCION;FEMENINO;AMAZONAS;CONDORCANQUI;2
6;2023;ABRIL;DEFUNCION;FEMENINO;AMAZONAS;RODRIGUEZ DE MENDOZA;3
7;2023;ABRIL;DEFUNCION;FEMENINO;ANCASH;AIJA;1
8;2023;ABRIL;DEFUNCION;FEMENINO;ANCASH;ASUNCION;2
9;2023;ABRIL;DEFUNCION;FEMENINO;ANCASH;CARHUAZ;3
10;2023;ABRIL;DEFUNCION;FEMENINO;ANCASH;CASMA;3
11;2023;ABRIL;DEFUNCION;FEMENINO;ANCASH;CORONGO;1
12;2023;ABRIL;DEFUNCION;FEMENINO;ANCASH;HUARAZ;4
13;2023;ABRIL;DEFUNCION;FEMENINO;ANCASH;HUARI;1
14;2023;ABRIL;DEFUNCION;FEMENINO;ANCASH;HUAYLAS;2
15;2023;ABRIL;DEFUNCION;FEMENINO;ANCASH;RECUAY;2
16;2023;ABRIL;DEFUNCION;FEMENINO;ANCASH;SANTA;25
17;2023;ABRIL;DEFUNCION;FEMENINO;ANCASH;YUNGAY;2
18;2023;ABRIL;DEFUNCION;FEMENINO;APURIMAC;ABANCAY;1
19;2023;ABRIL;DEFUNCION;FEMENINO;APURIMAC;ANDAHUAYLAS;2
20;2023;ABRIL;DEFUNCION;FEMENINO;APURIMAC;AYMARAES;2
21;2023;ABRIL;DEFUNCION;FEMENINO;APURIMAC;CHINCHEROS;10
22;2023;ABRIL;DEFUNCION;FEMENINO;APURIMAC;COTABAMBAS;3
23;2023;ABRIL;DEFUNCION;FEMENINO;AREQUIPA;AREQUIPA;85
24;2023;ABRIL;DEFUNCION;FEMENINO;AREQUIPA;CAMANA;3
25;2023;ABRIL;DEFUNCION;FEMENINO;AREQUIPA;CASTILLA;1
26;2023;ABRIL;DEFUNCION;FEMENINO;AREQUIPA;CAYLLOMA;5
