,ANIO_REGISTRO,MES_REGISTRO,TIPO_ACTA,DE_GENERO,DEPART_CIUDAD_ESTADO_DOM_SOL,PROVINCIA_DOM_SOL,CANT_COPIAS_EMITIDAS
1,2023,MAYO,DEFUNCION,FEMENINO,AMAZONAS,BAGUA,3
2,2023,MAYO,DEFUNCION,FEMENINO,AMAZONAS,LUYA,2
3,2023,MAYO,DEFUNCION,FEMENINO,AMAZONAS,RODRIGUEZ DE MENDOZA,2
4,2023,MAYO,DEFUNCION,FEMENINO,AMAZONAS,UTCUBAMBA,1
5,2023,MAYO,DEFUNCION,FEMENINO,ANCASH,AIJA,4
6,2023,MAYO,DEFUNCION,FEMENINO,ANCASH,CASMA,1
7,2023,MAYO,DEFUNCION,FEMENINO,ANCASH,HUARAZ,9
8,2023,MAYO,DEFUNCION,FEMENINO,ANCASH,HUARI,3
9,2023,MAYO,DEFUNCION,FEMENINO,ANCASH,HUAYLAS,3
10,2023,MAYO,DEFUNCION,FEMENINO,ANCASH,RECUAY,1
11,2023,MAYO,DEFUNCION,FEMENINO,ANCASH,SANTA,32
12,2023,MAYO,DEFUNCION,FEMENINO,ANCASH,YUNGAY,1
13,2023,MAYO,DEFUNCION,FEMENINO,APURIMAC,ABANCAY,3
14,2023,MAYO,DEFUNCION,FEMENINO,APURIMAC,ANDAHUAYLAS,1
15,2023,MAYO,DEFUNCION,FEMENINO,APURIMAC,ANTABAMBA,1
16,2023,MAYO,DEFUNCION,FEMENINO,APURIMAC,AYMARAES,2
17,2023,MAYO,DEFUNCION,FEMENINO,APURIMAC,COTABAMBAS,1
18,2023,MAYO,DEFUNCION,FEMENINO,AREQUIPA,AREQUIPA,102
19,2023,MAYO,DEFUNCION,FEMENINO,AREQUIPA,CAMANA,2
20,2023,MAYO,DEFUNCION,FEMENINO,AREQUIPA,CASTILLA,2
21,2023,MAYO,DEFUNCION,FEMENINO,AREQUIPA,CAYLLOMA,2
22,2023,MAYO,DEFUNCION,FEMENINO,ARGENTINA,BUENOS AIRES,8
23,2023,MAYO,DEFUNCION,FEMENINO,ARGENTINA,LA PLATA,1
24,2023,MAYO,DEFUNCION,FEMENINO,AYACUCHO,HUAMANGA,20
25,2023,MAYO,DEFUNCION,FEMENINO,AYACUCHO,HUANCA SANCOS,1
26,2023,MAYO,DEFUNCION,FEMENINO,AYACUCHO,HUANTA,2
27,2023,MAYO,DEFUNCION,FEMENINO,AYACUCHO,LA MAR,1
28,2023,MAYO,DEFUNCION,FEMENINO,AYACUCHO,LUCANAS,1
29,2023,MAYO,DEFUNCION,FEMENINO,AYACUCHO,PARINACOCHAS,4
30,2023,MAYO,DEFUNCION,FEMENINO,AYACUCHO,PAUCAR DEL SARA SARA,1
31,2023,MAYO,DEFUNCION,FEMENINO,AYACUCHO,VICTOR FAJARDO,1
32,2023,MAYO,DEFUNCION,FEMENINO,CAJAMARCA,CAJABAMBA,2
33,2023,MAYO,DEFUNCION,FEMENINO,CAJAMARCA,CAJAMARCA,17
34,2023,MAYO,DEFUNCION,FEMENINO,CAJAMARCA,CHOTA,1
35,2023,MAYO,DEFUNCION,FEMENINO,CAJAMARCA,CUTERVO,4
36,2023,MAYO,DEFUNCION,FEMENINO,CAJAMARCA,HUALGAYOC,2
