;ANIO_REGISTRO;MES_REGISTRO;TIPO_ACTA;DE_GENERO;DEPART_CIUDAD_ESTADO_DOM_SOL;PROVINCIA_DOM_SOL;CANT_COPIAS_EMITIDAS
1;2023;JUNIO;DEFUNCION;FEMENINO;AMAZONAS;BAGUA;1
2;2023;JUNIO;DEFUNCION;FEMENINO;AMAZONAS;BONGARA;1
3;2023;JUNIO;DEFUNCION;FEMENINO;AMAZONAS;CONDORCANQUI;1
4;2023;JUNIO;DEFUNCION;FEMENINO;AMAZONAS;LUYA;2
5;2023;JUNIO;DEFUNCION;FEMENINO;AMAZONAS;UTCUBAMBA;3
6;2023;JUNIO;DEFUNCION;FEMENINO;ANCASH;ANTONIO RAIMONDI;1
7;2023;JUNIO;DEFUNCION;FEMENINO;ANCASH;CARLOS FERMIN FITZCARRALD;2
8;2023;JUNIO;DEFUNCION;FEMENINO;ANCASH;CASMA;4
9;2023;JUNIO;DEFUNCION;FEMENINO;ANCASH;HUARAZ;5
10;2023;JUNIO;DEFUNCION;FEMENINO;ANCASH;HUARI;4
11;2023;JUNIO;DEFUNCION;FEMENINO;ANCASH;HUAYLAS;3
12;2023;JUNIO;DEFUNCION;FEMENINO;ANCASH;RECUAY;2
13;2023;JUNIO;DEFUNCION;FEMENINO;ANCASH;SANTA;19
14;2023;JUNIO;DEFUNCION;FEMENINO;APURIMAC;ABANCAY;3
15;2023;JUNIO;DEFUNCION;FEMENINO;APURIMAC;ANDAHUAYLAS;2
16;2023;JUNIO;DEFUNCION;FEMENINO;APURIMAC;CHINCHEROS;1
17;2023;JUNIO;DEFUNCION;FEMENINO;AREQUIPA;AREQUIPA;78
18;2023;JUNIO;DEFUNCION;FEMENINO;AREQUIPA;CAMANA;5
19;2023;JUNIO;DEFUNCION;FEMENINO;AREQUIPA;CARAVELI;3
20;2023;JUNIO;DEFUNCION;FEMENINO;AREQUIPA;CASTILLA;1
21;2023;JUNIO;DEFUNCION;FEMENINO;AREQUIPA;CAYLLOMA;3
22;2023;JUNIO;DEFUNCION;FEMENINO;ARGENTINA;BUENOS AIRES;5
23;2023;JUNIO;DEFUNCION;FEMENINO;AUSTRALIA;SIDNEY;1
24;2023;JUNIO;DEFUNCION;FEMENINO;AYACUCHO;HUAMANGA;14
25;2023;JUNIO;DEFUNCION;FEMENINO;AYACUCHO;LA MAR;1
26;2023;JUNIO;DEFUNCION;FEMENINO;AYACUCHO;LUCANAS;2
27;2023;JUNIO;DEFUNCION;FEMENINO;AYACUCHO;PARINACOCHAS;1
28;2023;JUNIO;DEFUNCION;FEMENINO;CAJAMARCA;CAJABAMBA;1
29;2023;JUNIO;DEFUNCION;FEMENINO;CAJAMARCA;CAJAMARCA;11
30;2023;JUNIO;DEFUNCION;FEMENINO;CAJAMARCA;CHOTA;3
31;2023;JUNIO;DEFUNCION;FEMENINO;CAJAMARCA;CUTERVO;3
32;2023;JUNIO;DEFUNCION;FEMENINO;CAJAMARCA;HUALGAYOC;1
33;2023;JUNIO;DEFUNCION;FEMENINO;CAJAMARCA;JAEN;3
34;2023;JUNIO;DEFUNCION;FEMENINO;CAJAMARCA;SAN IGNACIO;2
35;2023;JUNIO;DEFUNCION;FEMENINO;CAJAMARCA;SAN MIGUEL;2
36;2023;JUNIO;DEFUNCION;FEMENINO;CALLAO;CALLAO;147
37;2023;JUNIO;DEFUNCION;FEMENINO;CANADA;COLUMBIA BRITANICA;1
38;2023;JUNIO;DEFUNCION;FEMENINO;CANADA;MONTREAL;2
39;2023;JUNIO;DEFUNCION;FEMENINO;CANADA;ONTARIO;1
40;2023;JUNIO;DEFUNCION;FEMENINO;CHILE;ARICA;1
41;2023;JUNIO;DEFUNCION;FEMENINO;CHILE;SANTIAGO;2
42;2023;JUNIO;DEFUNCION;FEMENINO;CUSCO;ACOMAYO;1
43;2023;JUNIO;DEFUNCION;FEMENINO;CUSCO;ANTA;2
44;2023;JUNIO;DEFUNCION;FEMENINO;CUSCO;CALCA;1
45;2023;JUNIO;DEFUNCION;FEMENINO;CUSCO;CANCHIS;1
46;2023;JUNIO;DEFUNCION;FEMENINO;CUSCO;CUSCO;36
47;2023;JUNIO;DEFUNCION;FEMENINO;CUSCO;LA CONVENCION;3
48;2023;JUNIO;DEFUNCION;FEMENINO;CUSCO;PAUCARTAMBO;1
49;2023;JUNIO;DEFUNCION;FEMENINO;CUSCO;QUISPICANCHI;4
50;2023;JUNIO;DEFUNCION;FEMENINO;CUSCO;URUBAMBA;6
51;2023;JUNIO;DEFUNCION;FEMENINO;ESPAÑA;LEON;1
52;2023;JUNIO;DEFUNCION;FEMENINO;ESPAÑA;MADRID;2
53;2023;JUNIO;DEFUNCION;FEMENINO;ESPAÑA;PALENCIA;1
54;2023;JUNIO;DEFUNCION;FEMENINO;ESPAÑA;TOLEDO;1
55;2023;JUNIO;DEFUNCION;FEMENINO;ESTADOS UNIDOS DE AMERICA;BOSTON;1
56;2023;JUNIO;DEFUNCION;FEMENINO;ESTADOS UNIDOS DE AMERICA;CONNECTICUT;3
57;2023;JUNIO;DEFUNCION;FEMENINO;ESTADOS UNIDOS DE AMERICA;FLORIDA;1
58;2023;JUNIO;DEFUNCION;FEMENINO;ESTADOS UNIDOS DE AMERICA;LOS ANGELES;1
59;2023;JUNIO;DEFUNCION;FEMENINO;ESTADOS UNIDOS DE AMERICA;MARYLAND;1
60;2023;JUNIO;DEFUNCION;FEMENINO;ESTADOS UNIDOS DE AMERICA;MIAMI;1
