;ANIO_REGISTRO;MES_REGISTRO;TIPO_ACTA;DE_GENERO;DEPART_CIUDAD_ESTADO_DOM_SOL;PROVINCIA_DOM_SOL;CANT_COPIAS_EMITIDAS
1;2024;NOVIEMBRE;DEFUNCION;FEMENINO;AMAZONAS;BAGUA;2
2;2024;NOVIEMBRE;DEFUNCION;FEMENINO;AMAZONAS;CHACHAPOYAS;3
3;2024;NOVIEMBRE;DEFUNCION;FEMENINO;AMAZONAS;LUYA;1
4;2024;NOVIEMBRE;DEFUNCION;FEMENINO;AMAZONAS;RODRIGUEZ DE MENDOZA;3
5;2024;NOVIEMBRE;DEFUNCION;FEMENINO;AMAZONAS;UTCUBAMBA;2
6;2024;NOVIEMBRE;DEFUNCION;FEMENINO;ANCASH;ANTONIO RAIMONDI;1
7;2024;NOVIEMBRE;DEFUNCION;FEMENINO;ANCASH;BOLOGNESI;1
8;2024;NOVIEMBRE;DEFUNCION;FEMENINO;ANCASH;CARHUAZ;3
9;2024;NOVIEMBRE;DEFUNCION;FEMENINO;ANCASH;CASMA;1
10;2024;NOVIEMBRE;DEFUNCION;FEMENINO;ANCASH;HUARAZ;3
11;2024;NOVIEMBRE;DEFUNCION;FEMENINO;ANCASH;HUARI;6
12;2024;NOVIEMBRE;DEFUNCION;FEMENINO;ANCASH;HUARMEY;2
13;2024;NOVIEMBRE;DEFUNCION;FEMENINO;ANCASH;HUAYLAS;2
14;2024;NOVIEMBRE;DEFUNCION;FEMENINO;ANCASH;OCROS;4
15;2024;NOVIEMBRE;DEFUNCION;FEMENINO;ANCASH;PALLASCA;1
16;2024;NOVIEMBRE;DEFUNCION;FEMENINO;ANCASH;RECUAY;3
17;2024;NOVIEMBRE;DEFUNCION;FEMENINO;ANCASH;SANTA;73
18;2024;NOVIEMBRE;DEFUNCION;FEMENINO;ANCASH;YUNGAY;3
19;2024;NOVIEMBRE;DEFUNCION;FEMENINO;APURIMAC;ABANCAY;5
20;2024;NOVIEMBRE;DEFUNCION;FEMENINO;APURIMAC;ANDAHUAYLAS;3
21;2024;NOVIEMBRE;DEFUNCION;FEMENINO;APURIMAC;AYMARAES;1
22;2024;NOVIEMBRE;DEFUNCION;FEMENINO;APURIMAC;CHINCHEROS;4
23;2024;NOVIEMBRE;DEFUNCION;FEMENINO;APURIMAC;COTABAMBAS;1
24;2024;NOVIEMBRE;DEFUNCION;FEMENINO;AREQUIPA;AREQUIPA;197
25;2024;NOVIEMBRE;DEFUNCION;FEMENINO;AREQUIPA;CAMANA;3
26;2024;NOVIEMBRE;DEFUNCION;FEMENINO;AREQUIPA;CARAVELI;3
27;2024;NOVIEMBRE;DEFUNCION;FEMENINO;AREQUIPA;CASTILLA;1
28;2024;NOVIEMBRE;DEFUNCION;FEMENINO;AREQUIPA;CAYLLOMA;5
