;ANIO_REGISTRO;MES_REGISTRO;TIPO_ACTA;DE_GENERO;DEPART_CIUDAD_ESTADO_DOM_SOL;PROVINCIA_DOM_SOL;CANT_COPIAS_EMITIDAS
1;2024;SETIEMBRE;DEFUNCION;FEMENINO;AMAZONAS;BAGUA;5
2;2024;SETIEMBRE;DEFUNCION;FEMENINO;AMAZONAS;CHACHAPOYAS;8
3;2024;SETIEMBRE;DEFUNCION;FEMENINO;AMAZONAS;LUYA;3
4;2024;SETIEMBRE;DEFUNCION;FEMENINO;AMAZONAS;RODRIGUEZ DE MENDOZA;4
5;2024;SETIEMBRE;DEFUNCION;FEMENINO;AMAZONAS;UTCUBAMBA;2
6;2024;SETIEMBRE;DEFUNCION;FEMENINO;ANCASH;ANTONIO RAIMONDI;1
7;2024;SETIEMBRE;DEFUNCION;FEMENINO;ANCASH;BOLOGNESI;1
8;2024;SETIEMBRE;DEFUNCION;FEMENINO;ANCASH;CARHUAZ;3
9;2024;SETIEMBRE;DEFUNCION;FEMENINO;ANCASH;CASMA;3
10;2024;SETIEMBRE;DEFUNCION;FEMENINO;ANCASH;CORONGO;1
11;2024;SETIEMBRE;DEFUNCION;FEMENINO;ANCASH;HUARAZ;8
12;2024;SETIEMBRE;DEFUNCION;FEMENINO;ANCASH;HUARI;7
13;2024;SETIEMBRE;DEFUNCION;FEMENINO;ANCASH;HUARMEY;2
14;2024;SETIEMBRE;DEFUNCION;FEMENINO;ANCASH;HUAYLAS;3
15;2024;SETIEMBRE;DEFUNCION;FEMENINO;ANCASH;OCROS;1
16;2024;SETIEMBRE;DEFUNCION;FEMENINO;ANCASH;PALLASCA;1
17;2024;SETIEMBRE;DEFUNCION;FEMENINO;ANCASH;RECUAY;1
18;2024;SETIEMBRE;DEFUNCION;FEMENINO;ANCASH;SANTA;102
19;2024;SETIEMBRE;DEFUNCION;FEMENINO;ANCASH;SIHUAS;1
20;2024;SETIEMBRE;DEFUNCION;FEMENINO;ANCASH;YUNGAY;3
21;2024;SETIEMBRE;DEFUNCION;FEMENINO;APURIMAC;ABANCAY;10
22;2024;SETIEMBRE;DEFUNCION;FEMENINO;APURIMAC;ANDAHUAYLAS;2
23;2024;SETIEMBRE;DEFUNCION;FEMENINO;APURIMAC;AYMARAES;5
24;2024;SETIEMBRE;DEFUNCION;FEMENINO;APURIMAC;CHINCHEROS;2
25;2024;SETIEMBRE;DEFUNCION;FEMENINO;APURIMAC;GRAU;2
26;2024;SETIEMBRE;DEFUNCION;FEMENINO;AREQUIPA;AREQUIPA;117
27;2024;SETIEMBRE;DEFUNCION;FEMENINO;AREQUIPA;CAMANA;1
28;2024;SETIEMBRE;DEFUNCION;FEMENINO;AREQUIPA;CARAVELI;5
29;2024;SETIEMBRE;DEFUNCION;FEMENINO;AREQUIPA;CAYLLOMA;5
30;2024;SETIEMBRE;DEFUNCION;FEMENINO;AREQUIPA;ISLAY;3
31;2024;SETIEMBRE;DEFUNCION;FEMENINO;ARGENTINA;BUENOS AIRES;4
32;2024;SETIEMBRE;DEFUNCION;FEMENINO;AUSTRALIA;NUEVA GALES DEL SUR;2
33;2024;SETIEMBRE;DEFUNCION;FEMENINO;AYACUCHO;CANGALLO;1
34;2024;SETIEMBRE;DEFUNCION;FEMENINO;AYACUCHO;HUAMANGA;12
