;ANIO_REGISTRO;MES_REGISTRO;TIPO_ACTA;DE_GENERO;DEPART_CIUDAD_ESTADO_DOM_SOL;PROVINCIA_DOM_SOL;CANT_COPIAS_EMITIDAS
1;2024;AGOSTO;DEFUNCION;FEMENINO;ALEMANIA;BERLIN;1
2;2024;AGOSTO;DEFUNCION;FEMENINO;ALEMANIA;ESSEN;1
3;2024;AGOSTO;DEFUNCION;FEMENINO;AMAZONAS;BAGUA;2
4;2024;AGOSTO;DEFUNCION;FEMENINO;AMAZONAS;BONGARA;1
5;2024;AGOSTO;DEFUNCION;FEMENINO;AMAZONAS;CHACHAPOYAS;12
6;2024;AGOSTO;DEFUNCION;FEMENINO;AMAZONAS;LUYA;1
7;2024;AGOSTO;DEFUNCION;FEMENINO;AMAZONAS;RODRIGUEZ DE MENDOZA;4
8;2024;AGOSTO;DEFUNCION;FEMENINO;ANCASH;ANTONIO RAIMONDI;1
9;2024;AGOSTO;DEFUNCION;FEMENINO;ANCASH;BOLOGNESI;3
10;2024;AGOSTO;DEFUNCION;FEMENINO;ANCASH;CARHUAZ;5
11;2024;AGOSTO;DEFUNCION;FEMENINO;ANCASH;CARLOS FERMIN FITZCARRALD;2
12;2024;AGOSTO;DEFUNCION;FEMENINO;ANCASH;CASMA;4
13;2024;AGOSTO;DEFUNCION;FEMENINO;ANCASH;HUARAZ;9
14;2024;AGOSTO;DEFUNCION;FEMENINO;ANCASH;HUARI;4
15;2024;AGOSTO;DEFUNCION;FEMENINO;ANCASH;HUAYLAS;1
16;2024;AGOSTO;DEFUNCION;FEMENINO;ANCASH;OCROS;2
17;2024;AGOSTO;DEFUNCION;FEMENINO;ANCASH;RECUAY;2
18;2024;AGOSTO;DEFUNCION;FEMENINO;ANCASH;SANTA;40
19;2024;AGOSTO;DEFUNCION;FEMENINO;ANCASH;SIHUAS;1
20;2024;AGOSTO;DEFUNCION;FEMENINO;ANCASH;YUNGAY;5
21;2024;AGOSTO;DEFUNCION;FEMENINO;APURIMAC;ABANCAY;2
22;2024;AGOSTO;DEFUNCION;FEMENINO;APURIMAC;AYMARAES;3
23;2024;AGOSTO;DEFUNCION;FEMENINO;APURIMAC;CHINCHEROS;1
24;2024;AGOSTO;DEFUNCION;FEMENINO;AREQUIPA;AREQUIPA;94
25;2024;AGOSTO;DEFUNCION;FEMENINO;AREQUIPA;CAMANA;4
26;2024;AGOSTO;DEFUNCION;FEMENINO;AREQUIPA;CARAVELI;4
27;2024;AGOSTO;DEFUNCION;FEMENINO;AREQUIPA;CAYLLOMA;3
28;2024;AGOSTO;DEFUNCION;FEMENINO;AREQUIPA;ISLAY;5
