;ANIO_REGISTRO;MES_REGISTRO;TIPO_ACTA;DE_GENERO;DEPART_CIUDAD_ESTADO_DOM_SOL;PROVINCIA_DOM_SOL;CANT_COPIAS_EMITIDAS
1;2024;DICIEMBRE;DEFUNCION;FEMENINO;AMAZONAS;BAGUA;1
2;2024;DICIEMBRE;DEFUNCION;FEMENINO;AMAZONAS;BONGARA;2
3;2024;DICIEMBRE;DEFUNCION;FEMENINO;AMAZONAS;CHACHAPOYAS;2
4;2024;DICIEMBRE;DEFUNCION;FEMENINO;AMAZONAS;RODRIGUEZ DE MENDOZA;1
5;2024;DICIEMBRE;DEFUNCION;FEMENINO;ANCASH;BOLOGNESI;2
6;2024;DICIEMBRE;DEFUNCION;FEMENINO;ANCASH;CARHUAZ;1
7;2024;DICIEMBRE;DEFUNCION;FEMENINO;ANCASH;CASMA;1
8;2024;DICIEMBRE;DEFUNCION;FEMENINO;ANCASH;HUARAZ;6
9;2024;DICIEMBRE;DEFUNCION;FEMENINO;ANCASH;HUARI;1
10;2024;DICIEMBRE;DEFUNCION;FEMENINO;ANCASH;HUARMEY;1
11;2024;DICIEMBRE;DEFUNCION;FEMENINO;ANCASH;HUAYLAS;3
12;2024;DICIEMBRE;DEFUNCION;FEMENINO;ANCASH;MARISCAL LUZURIAGA;1
13;2024;DICIEMBRE;DEFUNCION;FEMENINO;ANCASH;OCROS;1
14;2024;DICIEMBRE;DEFUNCION;FEMENINO;ANCASH;PALLASCA;2
15;2024;DICIEMBRE;DEFUNCION;FEMENINO;ANCASH;SANTA;58
16;2024;DICIEMBRE;DEFUNCION;FEMENINO;APURIMAC;ABANCAY;3
17;2024;DICIEMBRE;DEFUNCION;FEMENINO;APURIMAC;ANDAHUAYLAS;3
18;2024;DICIEMBRE;DEFUNCION;FEMENINO;APURIMAC;CHINCHEROS;1
19;2024;DICIEMBRE;DEFUNCION;FEMENINO;AREQUIPA;AREQUIPA;124
20;2024;DICIEMBRE;DEFUNCION;FEMENINO;AREQUIPA;CAMANA;7
21;2024;DICIEMBRE;DEFUNCION;FEMENINO;AREQUIPA;CASTILLA;2
22;2024;DICIEMBRE;DEFUNCION;FEMENINO;AREQUIPA;CAYLLOMA;4
23;2024;DICIEMBRE;DEFUNCION;FEMENINO;AREQUIPA;ISLAY;6
24;2024;DICIEMBRE;DEFUNCION;FEMENINO;ARGENTINA;BUENOS AIRES;3
25;2024;DICIEMBRE;DEFUNCION;FEMENINO;ARGENTINA;CORDOBA;1
26;2024;DICIEMBRE;DEFUNCION;FEMENINO;AYACUCHO;CANGALLO;1
27;2024;DICIEMBRE;DEFUNCION;FEMENINO;AYACUCHO;HUAMANGA;11
28;2024;DICIEMBRE;DEFUNCION;FEMENINO;AYACUCHO;HUANTA;1
29;2024;DICIEMBRE;DEFUNCION;FEMENINO;AYACUCHO;LA MAR;2
30;2024;DICIEMBRE;DEFUNCION;FEMENINO;AYACUCHO;LUCANAS;1
31;2024;DICIEMBRE;DEFUNCION;FEMENINO;AYACUCHO;SUCRE;2
32;2024;DICIEMBRE;DEFUNCION;FEMENINO;AYACUCHO;VICTOR FAJARDO;2
33;2024;DICIEMBRE;DEFUNCION;FEMENINO;CAJAMARCA;CAJAMARCA;18
34;2024;DICIEMBRE;DEFUNCION;FEMENINO;CAJAMARCA;CHOTA;1
35;2024;DICIEMBRE;DEFUNCION;FEMENINO;CAJAMARCA;CUTERVO;2
36;2024;DICIEMBRE;DEFUNCION;FEMENINO;CAJAMARCA;HUALGAYOC;2
37;2024;DICIEMBRE;DEFUNCION;FEMENINO;CAJAMARCA;JAEN;3
38;2024;DICIEMBRE;DEFUNCION;FEMENINO;CAJAMARCA;SAN IGNACIO;1
39;2024;DICIEMBRE;DEFUNCION;FEMENINO;CAJAMARCA;SAN MARCOS;1
40;2024;DICIEMBRE;DEFUNCION;FEMENINO;CAJAMARCA;SAN MIGUEL;1
41;2024;DICIEMBRE;DEFUNCION;FEMENINO;CAJAMARCA;SAN PABLO;2
42;2024;DICIEMBRE;DEFUNCION;FEMENINO;CAJAMARCA;SANTA CRUZ;1
43;2024;DICIEMBRE;DEFUNCION;FEMENINO;CANADA;ONTARIO;1
44;2024;DICIEMBRE;DEFUNCION;FEMENINO;CHILE;SANTIAGO;4
45;2024;DICIEMBRE;DEFUNCION;FEMENINO;CUSCO;ACOMAYO;1
46;2024;DICIEMBRE;DEFUNCION;FEMENINO;CUSCO;ANTA;2
47;2024;DICIEMBRE;DEFUNCION;FEMENINO;CUSCO;CANCHIS;1
48;2024;DICIEMBRE;DEFUNCION;FEMENINO;CUSCO;CUSCO;50
49;2024;DICIEMBRE;DEFUNCION;FEMENINO;CUSCO;ESPINAR;2
50;2024;DICIEMBRE;DEFUNCION;FEMENINO;CUSCO;LA CONVENCION;3
51;2024;DICIEMBRE;DEFUNCION;FEMENINO;CUSCO;QUISPICANCHI;7
52;2024;DICIEMBRE;DEFUNCION;FEMENINO;CUSCO;URUBAMBA;6
53;2024;DICIEMBRE;DEFUNCION;FEMENINO;ESPAÑA;LA RIOJA;1
54;2024;DICIEMBRE;DEFUNCION;FEMENINO;ESPAÑA;MADRID;1
55;2024;DICIEMBRE;DEFUNCION;FEMENINO;ESPAÑA;VALLADOLID;1
56;2024;DICIEMBRE;DEFUNCION;FEMENINO;ESPAÑA;ZARAGOZA;1
57;2024;DICIEMBRE;DEFUNCION;FEMENINO;ESTADOS UNIDOS DE AMERICA;DALLAS;1
