;ANIO_REGISTRO;MES_REGISTRO;TIPO_ACTA;DE_GENERO;DEPART_CIUDAD_ESTADO_DOM_SOL;PROVINCIA_DOM_SOL;CANT_COPIAS_EMITIDAS
1;2024;ENERO;DEFUNCION;FEMENINO;AMAZONAS;BAGUA;2
2;2024;ENERO;DEFUNCION;FEMENINO;AMAZONAS;CHACHAPOYAS;1
3;2024;ENERO;DEFUNCION;FEMENINO;AMAZONAS;LUYA;2
4;2024;ENERO;DEFUNCION;FEMENINO;AMAZONAS;UTCUBAMBA;1
5;2024;ENERO;DEFUNCION;FEMENINO;ANCASH;BOLOGNESI;1
6;2024;ENERO;DEFUNCION;FEMENINO;ANCASH;CASMA;5
7;2024;ENERO;DEFUNCION;FEMENINO;ANCASH;HUARAZ;4
8;2024;ENERO;DEFUNCION;FEMENINO;ANCASH;HUARI;5
9;2024;ENERO;DEFUNCION;FEMENINO;ANCASH;HUARMEY;1
10;2024;ENERO;DEFUNCION;FEMENINO;ANCASH;HUAYLAS;4
11;2024;ENERO;DEFUNCION;FEMENINO;ANCASH;PALLASCA;1
12;2024;ENERO;DEFUNCION;FEMENINO;ANCASH;POMABAMBA;3
13;2024;ENERO;DEFUNCION;FEMENINO;ANCASH;RECUAY;1
14;2024;ENERO;DEFUNCION;FEMENINO;ANCASH;SANTA;37
15;2024;ENERO;DEFUNCION;FEMENINO;ANCASH;YUNGAY;5
16;2024;ENERO;DEFUNCION;FEMENINO;APURIMAC;ABANCAY;3
17;2024;ENERO;DEFUNCION;FEMENINO;APURIMAC;ANDAHUAYLAS;2
18;2024;ENERO;DEFUNCION;FEMENINO;APURIMAC;AYMARAES;1
19;2024;ENERO;DEFUNCION;FEMENINO;APURIMAC;COTABAMBAS;1
20;2024;ENERO;DEFUNCION;FEMENINO;APURIMAC;GRAU;1
21;2024;ENERO;DEFUNCION;FEMENINO;AREQUIPA;AREQUIPA;68
22;2024;ENERO;DEFUNCION;FEMENINO;AREQUIPA;CAMANA;4
23;2024;ENERO;DEFUNCION;FEMENINO;AREQUIPA;CARAVELI;2
24;2024;ENERO;DEFUNCION;FEMENINO;AREQUIPA;CASTILLA;1
25;2024;ENERO;DEFUNCION;FEMENINO;AREQUIPA;CAYLLOMA;1
26;2024;ENERO;DEFUNCION;FEMENINO;AREQUIPA;ISLAY;4
27;2024;ENERO;DEFUNCION;FEMENINO;ARGENTINA;CORDOBA;4
28;2024;ENERO;DEFUNCION;FEMENINO;AUSTRALIA;SIDNEY;1
29;2024;ENERO;DEFUNCION;FEMENINO;AYACUCHO;HUAMANGA;31
30;2024;ENERO;DEFUNCION;FEMENINO;AYACUCHO;HUANTA;7
31;2024;ENERO;DEFUNCION;FEMENINO;AYACUCHO;LUCANAS;2
32;2024;ENERO;DEFUNCION;FEMENINO;AYACUCHO;PARINACOCHAS;4
33;2024;ENERO;DEFUNCION;FEMENINO;AYACUCHO;SUCRE;1
34;2024;ENERO;DEFUNCION;FEMENINO;BRASIL;RIO DE JANEIRO;1
35;2024;ENERO;DEFUNCION;FEMENINO;BRASIL;SAO PAULO;2
36;2024;ENERO;DEFUNCION;FEMENINO;CAJAMARCA;CAJABAMBA;2
