   ;ANIO_REGISTRO;MES_REGISTRO;TIPO_ACTA;DE_GENERO;DEPART_CIUDAD_ESTADO_DOM_SOL;PROVINCIA_DOM_SOL;CANT_COPIAS_EMITIDAS
1;2025;DICIEMBRE;DEFUNCION;FEMENINO;AMAZONAS;BAGUA;3
2;2025;DICIEMBRE;DEFUNCION;FEMENINO;AMAZONAS;BONGARA;1
3;2025;DICIEMBRE;DEFUNCION;FEMENINO;AMAZONAS;CHACHAPOYAS;2
4;2025;DICIEMBRE;DEFUNCION;FEMENINO;AMAZONAS;LUYA;1
5;2025;DICIEMBRE;DEFUNCION;FEMENINO;AMAZONAS;RODRIGUEZ DE MENDOZA;1
6;2025;DICIEMBRE;DEFUNCION;FEMENINO;AMAZONAS;UTCUBAMBA;2
7;2025;DICIEMBRE;DEFUNCION;FEMENINO;ANCASH;ANTONIO RAIMONDI;1
8;2025;DICIEMBRE;DEFUNCION;FEMENINO;ANCASH;BOLOGNESI;1
9;2025;DICIEMBRE;DEFUNCION;FEMENINO;ANCASH;CARHUAZ;4
10;2025;DICIEMBRE;DEFUNCION;FEMENINO;ANCASH;CARLOS FERMIN FITZCARRALD;1
11;2025;DICIEMBRE;DEFUNCION;FEMENINO;ANCASH;CORONGO;1
12;2025;DICIEMBRE;DEFUNCION;FEMENINO;ANCASH;HUARAZ;5
13;2025;DICIEMBRE;DEFUNCION;FEMENINO;ANCASH;HUARI;4
14;2025;DICIEMBRE;DEFUNCION;FEMENINO;ANCASH;HUARMEY;2
15;2025;DICIEMBRE;DEFUNCION;FEMENINO;ANCASH;HUAYLAS;4
16;2025;DICIEMBRE;DEFUNCION;FEMENINO;ANCASH;SANTA;38
17;2025;DICIEMBRE;DEFUNCION;FEMENINO;ANCASH;YUNGAY;3
18;2025;DICIEMBRE;DEFUNCION;FEMENINO;APURIMAC;ABANCAY;5
19;2025;DICIEMBRE;DEFUNCION;FEMENINO;APURIMAC;ANDAHUAYLAS;7
20;2025;DICIEMBRE;DEFUNCION;FEMENINO;APURIMAC;CHINCHEROS;1
21;2025;DICIEMBRE;DEFUNCION;FEMENINO;APURIMAC;COTABAMBAS;1
22;2025;DICIEMBRE;DEFUNCION;FEMENINO;AREQUIPA;AREQUIPA;124
23;2025;DICIEMBRE;DEFUNCION;FEMENINO;AREQUIPA;CARAVELI;2
24;2025;DICIEMBRE;DEFUNCION;FEMENINO;AREQUIPA;CASTILLA;1
25;2025;DICIEMBRE;DEFUNCION;FEMENINO;AREQUIPA;CAYLLOMA;4
26;2025;DICIEMBRE;DEFUNCION;FEMENINO;AREQUIPA;ISLAY;6
27;2025;DICIEMBRE;DEFUNCION;FEMENINO;AREQUIPA;LA UNION;2
28;2025;DICIEMBRE;DEFUNCION;FEMENINO;ARGENTINA;BUENOS AIRES;3
29;2025;DICIEMBRE;DEFUNCION;FEMENINO;AYACUCHO;CANGALLO;2
30;2025;DICIEMBRE;DEFUNCION;FEMENINO;AYACUCHO;HUAMANGA;12
31;2025;DICIEMBRE;DEFUNCION;FEMENINO;AYACUCHO;LA MAR;2
32;2025;DICIEMBRE;DEFUNCION;FEMENINO;AYACUCHO;PARINACOCHAS;3
33;2025;DICIEMBRE;DEFUNCION;FEMENINO;AYACUCHO;PAUCAR DEL SARA SARA;1
34;2025;DICIEMBRE;DEFUNCION;FEMENINO;AYACUCHO;VILCAS HUAMAN;1
35;2025;DICIEMBRE;DEFUNCION;FEMENINO;BELGICA;NAMUR;1
36;2025;DICIEMBRE;DEFUNCION;FEMENINO;BOLIVIA;COCHABAMBA;1
37;2025;DICIEMBRE;DEFUNCION;FEMENINO;BRASIL;ESPIRITO SANTO;1
38;2025;DICIEMBRE;DEFUNCION;FEMENINO;CAJAMARCA;CAJABAMBA;3
39;2025;DICIEMBRE;DEFUNCION;FEMENINO;CAJAMARCA;CAJAMARCA;21
40;2025;DICIEMBRE;DEFUNCION;FEMENINO;CAJAMARCA;CELENDIN;2
41;2025;DICIEMBRE;DEFUNCION;FEMENINO;CAJAMARCA;CHOTA;2
42;2025;DICIEMBRE;DEFUNCION;FEMENINO;CAJAMARCA;CONTUMAZA;3
43;2025;DICIEMBRE;DEFUNCION;FEMENINO;CAJAMARCA;CUTERVO;3
44;2025;DICIEMBRE;DEFUNCION;FEMENINO;CAJAMARCA;HUALGAYOC;1
45;2025;DICIEMBRE;DEFUNCION;FEMENINO;CAJAMARCA;JAEN;6
46;2025;DICIEMBRE;DEFUNCION;FEMENINO;CAJAMARCA;SAN IGNACIO;4
47;2025;DICIEMBRE;DEFUNCION;FEMENINO;CAJAMARCA;SAN MARCOS;1
