;ANIO_REGISTRO;MES_REGISTRO;TIPO_ACTA;DE_GENERO;DEPART_CIUDAD_ESTADO_DOM_SOL;PROVINCIA_DOM_SOL;CANT_COPIAS_EMITIDAS
1;2025;FEBRERO;DEFUNCION;FEMENINO;ALEMANIA;BADEN-WÜRTTEMBERG;1
2;2025;FEBRERO;DEFUNCION;FEMENINO;ALEMANIA;MUNICH;1
3;2025;FEBRERO;DEFUNCION;FEMENINO;AMAZONAS;BAGUA;2
4;2025;FEBRERO;DEFUNCION;FEMENINO;AMAZONAS;BONGARA;2
5;2025;FEBRERO;DEFUNCION;FEMENINO;AMAZONAS;LUYA;1
6;2025;FEBRERO;DEFUNCION;FEMENINO;AMAZONAS;UTCUBAMBA;2
7;2025;FEBRERO;DEFUNCION;FEMENINO;ANCASH;BOLOGNESI;2
8;2025;FEBRERO;DEFUNCION;FEMENINO;ANCASH;CARHUAZ;4
9;2025;FEBRERO;DEFUNCION;FEMENINO;ANCASH;CASMA;1
10;2025;FEBRERO;DEFUNCION;FEMENINO;ANCASH;CORONGO;1
11;2025;FEBRERO;DEFUNCION;FEMENINO;ANCASH;HUARAZ;6
12;2025;FEBRERO;DEFUNCION;FEMENINO;ANCASH;HUARI;3
13;2025;FEBRERO;DEFUNCION;FEMENINO;ANCASH;HUARMEY;2
14;2025;FEBRERO;DEFUNCION;FEMENINO;ANCASH;HUAYLAS;4
15;2025;FEBRERO;DEFUNCION;FEMENINO;ANCASH;OCROS;2
16;2025;FEBRERO;DEFUNCION;FEMENINO;ANCASH;PALLASCA;2
17;2025;FEBRERO;DEFUNCION;FEMENINO;ANCASH;RECUAY;2
18;2025;FEBRERO;DEFUNCION;FEMENINO;ANCASH;SANTA;47
19;2025;FEBRERO;DEFUNCION;FEMENINO;ANCASH;YUNGAY;3
20;2025;FEBRERO;DEFUNCION;FEMENINO;APURIMAC;ABANCAY;3
21;2025;FEBRERO;DEFUNCION;FEMENINO;APURIMAC;ANTABAMBA;1
22;2025;FEBRERO;DEFUNCION;FEMENINO;APURIMAC;CHINCHEROS;1
23;2025;FEBRERO;DEFUNCION;FEMENINO;APURIMAC;GRAU;1
24;2025;FEBRERO;DEFUNCION;FEMENINO;AREQUIPA;AREQUIPA;201
25;2025;FEBRERO;DEFUNCION;FEMENINO;AREQUIPA;CAMANA;2
26;2025;FEBRERO;DEFUNCION;FEMENINO;AREQUIPA;CARAVELI;2
27;2025;FEBRERO;DEFUNCION;FEMENINO;AREQUIPA;CASTILLA;2
28;2025;FEBRERO;DEFUNCION;FEMENINO;AREQUIPA;CAYLLOMA;7
29;2025;FEBRERO;DEFUNCION;FEMENINO;AREQUIPA;CONDESUYOS;1
30;2025;FEBRERO;DEFUNCION;FEMENINO;AREQUIPA;ISLAY;3
31;2025;FEBRERO;DEFUNCION;FEMENINO;ARGENTINA;BUENOS AIRES;5
32;2025;FEBRERO;DEFUNCION;FEMENINO;AYACUCHO;CANGALLO;1
33;2025;FEBRERO;DEFUNCION;FEMENINO;AYACUCHO;HUAMANGA;22
34;2025;FEBRERO;DEFUNCION;FEMENINO;AYACUCHO;HUANTA;3
35;2025;FEBRERO;DEFUNCION;FEMENINO;AYACUCHO;LA MAR;3
36;2025;FEBRERO;DEFUNCION;FEMENINO;AYACUCHO;LUCANAS;1
37;2025;FEBRERO;DEFUNCION;FEMENINO;AYACUCHO;PARINACOCHAS;4
38;2025;FEBRERO;DEFUNCION;FEMENINO;AYACUCHO;PAUCAR DEL SARA SARA;2
39;2025;FEBRERO;DEFUNCION;FEMENINO;AYACUCHO;VICTOR FAJARDO;1
40;2025;FEBRERO;DEFUNCION;FEMENINO;CAJAMARCA;CAJAMARCA;34
41;2025;FEBRERO;DEFUNCION;FEMENINO;CAJAMARCA;CELENDIN;4
42;2025;FEBRERO;DEFUNCION;FEMENINO;CAJAMARCA;CHOTA;3
43;2025;FEBRERO;DEFUNCION;FEMENINO;CAJAMARCA;CONTUMAZA;6
44;2025;FEBRERO;DEFUNCION;FEMENINO;CAJAMARCA;CUTERVO;1
45;2025;FEBRERO;DEFUNCION;FEMENINO;CAJAMARCA;HUALGAYOC;3
46;2025;FEBRERO;DEFUNCION;FEMENINO;CAJAMARCA;JAEN;2
47;2025;FEBRERO;DEFUNCION;FEMENINO;CAJAMARCA;SAN IGNACIO;4
48;2025;FEBRERO;DEFUNCION;FEMENINO;CAJAMARCA;SAN MIGUEL;2
