;ANIO_REGISTRO;MES_REGISTRO;TIPO_ACTA;DE_GENERO;DEPART_CIUDAD_ESTADO_DOM_SOL;PROVINCIA_DOM_SOL;CANT_COPIAS_EMITIDAS
1;2025;MAYO;DEFUNCION;FEMENINO;ALEMANIA;BERLIN;1
2;2025;MAYO;DEFUNCION;FEMENINO;AMAZONAS;BAGUA;1
3;2025;MAYO;DEFUNCION;FEMENINO;AMAZONAS;CHACHAPOYAS;1
4;2025;MAYO;DEFUNCION;FEMENINO;AMAZONAS;LUYA;4
5;2025;MAYO;DEFUNCION;FEMENINO;AMAZONAS;RODRIGUEZ DE MENDOZA;3
6;2025;MAYO;DEFUNCION;FEMENINO;AMAZONAS;UTCUBAMBA;2
7;2025;MAYO;DEFUNCION;FEMENINO;ANCASH;ANTONIO RAIMONDI;1
8;2025;MAYO;DEFUNCION;FEMENINO;ANCASH;CARHUAZ;3
9;2025;MAYO;DEFUNCION;FEMENINO;ANCASH;CASMA;2
10;2025;MAYO;DEFUNCION;FEMENINO;ANCASH;HUARAZ;7
11;2025;MAYO;DEFUNCION;FEMENINO;ANCASH;HUARI;2
12;2025;MAYO;DEFUNCION;FEMENINO;ANCASH;HUARMEY;1
13;2025;MAYO;DEFUNCION;FEMENINO;ANCASH;HUAYLAS;2
14;2025;MAYO;DEFUNCION;FEMENINO;ANCASH;OCROS;5
15;2025;MAYO;DEFUNCION;FEMENINO;ANCASH;PALLASCA;1
16;2025;MAYO;DEFUNCION;FEMENINO;ANCASH;POMABAMBA;2
17;2025;MAYO;DEFUNCION;FEMENINO;ANCASH;SANTA;42
18;2025;MAYO;DEFUNCION;FEMENINO;ANCASH;SIHUAS;1
19;2025;MAYO;DEFUNCION;FEMENINO;ANCASH;YUNGAY;4
20;2025;MAYO;DEFUNCION;FEMENINO;APURIMAC;ABANCAY;1
21;2025;MAYO;DEFUNCION;FEMENINO;APURIMAC;ANDAHUAYLAS;2
22;2025;MAYO;DEFUNCION;FEMENINO;APURIMAC;ANTABAMBA;1
23;2025;MAYO;DEFUNCION;FEMENINO;APURIMAC;AYMARAES;2
24;2025;MAYO;DEFUNCION;FEMENINO;APURIMAC;CHINCHEROS;3
25;2025;MAYO;DEFUNCION;FEMENINO;APURIMAC;COTABAMBAS;1
26;2025;MAYO;DEFUNCION;FEMENINO;APURIMAC;GRAU;2
27;2025;MAYO;DEFUNCION;FEMENINO;AREQUIPA;AREQUIPA;194
28;2025;MAYO;DEFUNCION;FEMENINO;AREQUIPA;CAMANA;4
29;2025;MAYO;DEFUNCION;FEMENINO;AREQUIPA;CARAVELI;4
30;2025;MAYO;DEFUNCION;FEMENINO;AREQUIPA;CASTILLA;4
31;2025;MAYO;DEFUNCION;FEMENINO;AREQUIPA;CAYLLOMA;8
32;2025;MAYO;DEFUNCION;FEMENINO;AREQUIPA;ISLAY;3
33;2025;MAYO;DEFUNCION;FEMENINO;ARGENTINA;BUENOS AIRES;3
34;2025;MAYO;DEFUNCION;FEMENINO;ARGENTINA;LA PLATA;1
35;2025;MAYO;DEFUNCION;FEMENINO;AYACUCHO;HUAMANGA;15
36;2025;MAYO;DEFUNCION;FEMENINO;AYACUCHO;HUANTA;2
37;2025;MAYO;DEFUNCION;FEMENINO;AYACUCHO;LA MAR;2
38;2025;MAYO;DEFUNCION;FEMENINO;AYACUCHO;LUCANAS;1
39;2025;MAYO;DEFUNCION;FEMENINO;AYACUCHO;PARINACOCHAS;6
40;2025;MAYO;DEFUNCION;FEMENINO;AYACUCHO;VICTOR FAJARDO;1
41;2025;MAYO;DEFUNCION;FEMENINO;CAJAMARCA;CAJABAMBA;1
42;2025;MAYO;DEFUNCION;FEMENINO;CAJAMARCA;CAJAMARCA;25
43;2025;MAYO;DEFUNCION;FEMENINO;CAJAMARCA;CELENDIN;1
44;2025;MAYO;DEFUNCION;FEMENINO;CAJAMARCA;CHOTA;4
45;2025;MAYO;DEFUNCION;FEMENINO;CAJAMARCA;CUTERVO;3
46;2025;MAYO;DEFUNCION;FEMENINO;CAJAMARCA;HUALGAYOC;1
47;2025;MAYO;DEFUNCION;FEMENINO;CAJAMARCA;JAEN;5
48;2025;MAYO;DEFUNCION;FEMENINO;CAJAMARCA;SAN IGNACIO;2
49;2025;MAYO;DEFUNCION;FEMENINO;CAJAMARCA;SAN MARCOS;2
50;2025;MAYO;DEFUNCION;FEMENINO;CAJAMARCA;SAN MIGUEL;2
51;2025;MAYO;DEFUNCION;FEMENINO;CAJAMARCA;SANTA CRUZ;1
52;2025;MAYO;DEFUNCION;FEMENINO;CHILE;O'HIGGINS;1
53;2025;MAYO;DEFUNCION;FEMENINO;CHILE;SANTIAGO;2
54;2025;MAYO;DEFUNCION;FEMENINO;CUSCO;ACOMAYO;2
55;2025;MAYO;DEFUNCION;FEMENINO;CUSCO;ANTA;3
56;2025;MAYO;DEFUNCION;FEMENINO;CUSCO;CANCHIS;2
