ANIO_REGISTRO;MES_REGISTRO;TIPO_ACTA;DE_GENERO;DEPART_CIUDAD_ESTADO_DOM_SOL;PROVINCIA_DOM_SOL;CANT_COPIAS_EMITIDAS
2025;NOVIEMBRE;DEFUNCION;FEMENINO;ALEMANIA;BAVIERA;1
2025;NOVIEMBRE;DEFUNCION;FEMENINO;ALEMANIA;MUNICH;1
2025;NOVIEMBRE;DEFUNCION;FEMENINO;ALEMANIA;STUTTGART;1
2025;NOVIEMBRE;DEFUNCION;FEMENINO;AMAZONAS;LUYA;1
2025;NOVIEMBRE;DEFUNCION;FEMENINO;AMAZONAS;RODRIGUEZ DE MENDOZA;3
2025;NOVIEMBRE;DEFUNCION;FEMENINO;AMAZONAS;UTCUBAMBA;2
2025;NOVIEMBRE;DEFUNCION;FEMENINO;ANCASH;ANTONIO RAIMONDI;1
2025;NOVIEMBRE;DEFUNCION;FEMENINO;ANCASH;BOLOGNESI;1
2025;NOVIEMBRE;DEFUNCION;FEMENINO;ANCASH;CARHUAZ;1
2025;NOVIEMBRE;DEFUNCION;FEMENINO;ANCASH;CASMA;2
2025;NOVIEMBRE;DEFUNCION;FEMENINO;ANCASH;CORONGO;1
2025;NOVIEMBRE;DEFUNCION;FEMENINO;ANCASH;HUARAZ;5
2025;NOVIEMBRE;DEFUNCION;FEMENINO;ANCASH;HUARI;9
2025;NOVIEMBRE;DEFUNCION;FEMENINO;ANCASH;HUARMEY;1
2025;NOVIEMBRE;DEFUNCION;FEMENINO;ANCASH;HUAYLAS;1
2025;NOVIEMBRE;DEFUNCION;FEMENINO;ANCASH;PALLASCA;1
2025;NOVIEMBRE;DEFUNCION;FEMENINO;ANCASH;RECUAY;1
2025;NOVIEMBRE;DEFUNCION;FEMENINO;ANCASH;SANTA;46
2025;NOVIEMBRE;DEFUNCION;FEMENINO;ANCASH;SIHUAS;1
2025;NOVIEMBRE;DEFUNCION;FEMENINO;APURIMAC;ABANCAY;6
2025;NOVIEMBRE;DEFUNCION;FEMENINO;APURIMAC;ANDAHUAYLAS;4
2025;NOVIEMBRE;DEFUNCION;FEMENINO;APURIMAC;ANTABAMBA;1
2025;NOVIEMBRE;DEFUNCION;FEMENINO;APURIMAC;AYMARAES;3
2025;NOVIEMBRE;DEFUNCION;FEMENINO;APURIMAC;CHINCHEROS;3
2025;NOVIEMBRE;DEFUNCION;FEMENINO;APURIMAC;COTABAMBAS;1
