   ;ANIO_REGISTRO;MES_REGISTRO;TIPO_ACTA;DE_GENERO;DEPART_CIUDAD_ESTADO_DOM_SOL;PROVINCIA_DOM_SOL;CANT_COPIAS_EMITIDAS
1;2025;SETIEMBRE;DEFUNCION;FEMENINO;AMAZONAS;BAGUA;1
2;2025;SETIEMBRE;DEFUNCION;FEMENINO;AMAZONAS;BONGARA;2
3;2025;SETIEMBRE;DEFUNCION;FEMENINO;AMAZONAS;CHACHAPOYAS;3
4;2025;SETIEMBRE;DEFUNCION;FEMENINO;AMAZONAS;RODRIGUEZ DE MENDOZA;5
5;2025;SETIEMBRE;DEFUNCION;FEMENINO;AMAZONAS;UTCUBAMBA;1
6;2025;SETIEMBRE;DEFUNCION;FEMENINO;ANCASH;ANTONIO RAIMONDI;1
7;2025;SETIEMBRE;DEFUNCION;FEMENINO;ANCASH;ASUNCION;1
8;2025;SETIEMBRE;DEFUNCION;FEMENINO;ANCASH;BOLOGNESI;3
9;2025;SETIEMBRE;DEFUNCION;FEMENINO;ANCASH;CARHUAZ;6
10;2025;SETIEMBRE;DEFUNCION;FEMENINO;ANCASH;CASMA;6
11;2025;SETIEMBRE;DEFUNCION;FEMENINO;ANCASH;HUARAZ;8
12;2025;SETIEMBRE;DEFUNCION;FEMENINO;ANCASH;HUARI;9
13;2025;SETIEMBRE;DEFUNCION;FEMENINO;ANCASH;HUARMEY;1
14;2025;SETIEMBRE;DEFUNCION;FEMENINO;ANCASH;HUAYLAS;2
15;2025;SETIEMBRE;DEFUNCION;FEMENINO;ANCASH;RECUAY;5
16;2025;SETIEMBRE;DEFUNCION;FEMENINO;ANCASH;SANTA;76
17;2025;SETIEMBRE;DEFUNCION;FEMENINO;ANCASH;SIHUAS;1
18;2025;SETIEMBRE;DEFUNCION;FEMENINO;ANCASH;YUNGAY;5
19;2025;SETIEMBRE;DEFUNCION;FEMENINO;APURIMAC;ABANCAY;5
20;2025;SETIEMBRE;DEFUNCION;FEMENINO;APURIMAC;ANDAHUAYLAS;5
21;2025;SETIEMBRE;DEFUNCION;FEMENINO;APURIMAC;ANTABAMBA;1
22;2025;SETIEMBRE;DEFUNCION;FEMENINO;APURIMAC;CHINCHEROS;5
23;2025;SETIEMBRE;DEFUNCION;FEMENINO;APURIMAC;COTABAMBAS;2
24;2025;SETIEMBRE;DEFUNCION;FEMENINO;AREQUIPA;AREQUIPA;135
25;2025;SETIEMBRE;DEFUNCION;FEMENINO;AREQUIPA;CAMANA;6
26;2025;SETIEMBRE;DEFUNCION;FEMENINO;AREQUIPA;CARAVELI;4
27;2025;SETIEMBRE;DEFUNCION;FEMENINO;AREQUIPA;CAYLLOMA;1
28;2025;SETIEMBRE;DEFUNCION;FEMENINO;AREQUIPA;CONDESUYOS;1
29;2025;SETIEMBRE;DEFUNCION;FEMENINO;AREQUIPA;ISLAY;7
30;2025;SETIEMBRE;DEFUNCION;FEMENINO;AREQUIPA;LA UNION;2
31;2025;SETIEMBRE;DEFUNCION;FEMENINO;ARGENTINA;BUENOS AIRES;3
32;2025;SETIEMBRE;DEFUNCION;FEMENINO;AYACUCHO;CANGALLO;1
33;2025;SETIEMBRE;DEFUNCION;FEMENINO;AYACUCHO;HUAMANGA;33
34;2025;SETIEMBRE;DEFUNCION;FEMENINO;AYACUCHO;HUANTA;5
35;2025;SETIEMBRE;DEFUNCION;FEMENINO;AYACUCHO;LA MAR;2
36;2025;SETIEMBRE;DEFUNCION;FEMENINO;AYACUCHO;LUCANAS;1
37;2025;SETIEMBRE;DEFUNCION;FEMENINO;AYACUCHO;PARINACOCHAS;9
38;2025;SETIEMBRE;DEFUNCION;FEMENINO;AYACUCHO;VICTOR FAJARDO;1
39;2025;SETIEMBRE;DEFUNCION;FEMENINO;AYACUCHO;VILCAS HUAMAN;2
40;2025;SETIEMBRE;DEFUNCION;FEMENINO;BELGICA;BRUSELAS;1
41;2025;SETIEMBRE;DEFUNCION;FEMENINO;BRASIL;SAO PAULO;1
42;2025;SETIEMBRE;DEFUNCION;FEMENINO;CAJAMARCA;CAJAMARCA;28
43;2025;SETIEMBRE;DEFUNCION;FEMENINO;CAJAMARCA;CHOTA;1
44;2025;SETIEMBRE;DEFUNCION;FEMENINO;CAJAMARCA;HUALGAYOC;1
45;2025;SETIEMBRE;DEFUNCION;FEMENINO;CAJAMARCA;JAEN;6
46;2025;SETIEMBRE;DEFUNCION;FEMENINO;CAJAMARCA;SAN IGNACIO;2
47;2025;SETIEMBRE;DEFUNCION;FEMENINO;CAJAMARCA;SAN MARCOS;1
48;2025;SETIEMBRE;DEFUNCION;FEMENINO;CAJAMARCA;SANTA CRUZ;1
49;2025;SETIEMBRE;DEFUNCION;FEMENINO;CANADA;COLUMBIA BRITANICA;5
50;2025;SETIEMBRE;DEFUNCION;FEMENINO;CANADA;MONTREAL;3
51;2025;SETIEMBRE;DEFUNCION;FEMENINO;CANADA;ONTARIO;1
52;2025;SETIEMBRE;DEFUNCION;FEMENINO;CHILE;SANTIAGO;1
53;2025;SETIEMBRE;DEFUNCION;FEMENINO;CHILE;VALPARAISO;2
54;2025;SETIEMBRE;DEFUNCION;FEMENINO;CUSCO;ACOMAYO;2
55;2025;SETIEMBRE;DEFUNCION;FEMENINO;CUSCO;ANTA;4
56;2025;SETIEMBRE;DEFUNCION;FEMENINO;CUSCO;CANCHIS;3
57;2025;SETIEMBRE;DEFUNCION;FEMENINO;CUSCO;CHUMBIVILCAS;2
58;2025;SETIEMBRE;DEFUNCION;FEMENINO;CUSCO;CUSCO;58
59;2025;SETIEMBRE;DEFUNCION;FEMENINO;CUSCO;ESPINAR;1
60;2025;SETIEMBRE;DEFUNCION;FEMENINO;CUSCO;LA CONVENCION;7
61;2025;SETIEMBRE;DEFUNCION;FEMENINO;CUSCO;PARURO;1
62;2025;SETIEMBRE;DEFUNCION;FEMENINO;CUSCO;PAUCARTAMBO;1
63;2025;SETIEMBRE;DEFUNCION;FEMENINO;CUSCO;QUISPICANCHI;1
64;2025;SETIEMBRE;DEFUNCION;FEMENINO;CUSCO;URUBAMBA;2
65;2025;SETIEMBRE;DEFUNCION;FEMENINO;ESPAÑA;ALMERIA;1
66;2025;SETIEMBRE;DEFUNCION;FEMENINO;ESPAÑA;BARCELONA;1
67;2025;SETIEMBRE;DEFUNCION;FEMENINO;ESPAÑA;CANTABRIA;1
68;2025;SETIEMBRE;DEFUNCION;FEMENINO;ESPAÑA;LA CORUÑA;1
69;2025;SETIEMBRE;DEFUNCION;FEMENINO;ESPAÑA;MADRID;5
70;2025;SETIEMBRE;DEFUNCION;FEMENINO;ESPAÑA;SEGOVIA;1
71;2025;SETIEMBRE;DEFUNCION;FEMENINO;ESPAÑA;VALENCIA;1
72;2025;SETIEMBRE;DEFUNCION;FEMENINO;ESPAÑA;VALLADOLID;1
73;2025;SETIEMBRE;DEFUNCION;FEMENINO;ESTADOS UNIDOS DE AMERICA;BOSTON;1
74;2025;SETIEMBRE;DEFUNCION;FEMENINO;ESTADOS UNIDOS DE AMERICA;COLORADO;1
75;2025;SETIEMBRE;DEFUNCION;FEMENINO;ESTADOS UNIDOS DE AMERICA;DALLAS;2
76;2025;SETIEMBRE;DEFUNCION;FEMENINO;ESTADOS UNIDOS DE AMERICA;LAS VEGAS;2
77;2025;SETIEMBRE;DEFUNCION;FEMENINO;ESTADOS UNIDOS DE AMERICA;MARYLAND;2
78;2025;SETIEMBRE;DEFUNCION;FEMENINO;ESTADOS UNIDOS DE AMERICA;MIAMI;3
79;2025;SETIEMBRE;DEFUNCION;FEMENINO;ESTADOS UNIDOS DE AMERICA;MINNESOTA;1
80;2025;SETIEMBRE;DEFUNCION;FEMENINO;ESTADOS UNIDOS DE AMERICA;NUEVA JERSEY;2
