   ;ANIO_REGISTRO;MES_REGISTRO;TIPO_ACTA;DE_GENERO;DEPART_CIUDAD_ESTADO_DOM_SOL;PROVINCIA_DOM_SOL;CANT_COPIAS_EMITIDAS
1;2026;ENERO;DEFUNCION;FEMENINO;ALEMANIA;BAVIERA;2
2;2026;ENERO;DEFUNCION;FEMENINO;AMAZONAS;BAGUA;1
3;2026;ENERO;DEFUNCION;FEMENINO;AMAZONAS;BONGARA;2
4;2026;ENERO;DEFUNCION;FEMENINO;AMAZONAS;CHACHAPOYAS;3
5;2026;ENERO;DEFUNCION;FEMENINO;AMAZONAS;CONDORCANQUI;1
6;2026;ENERO;DEFUNCION;FEMENINO;AMAZONAS;LUYA;2
7;2026;ENERO;DEFUNCION;FEMENINO;ANCASH;AIJA;2
8;2026;ENERO;DEFUNCION;FEMENINO;ANCASH;CARHUAZ;6
9;2026;ENERO;DEFUNCION;FEMENINO;ANCASH;CASMA;2
10;2026;ENERO;DEFUNCION;FEMENINO;ANCASH;CORONGO;1
11;2026;ENERO;DEFUNCION;FEMENINO;ANCASH;HUARAZ;8
12;2026;ENERO;DEFUNCION;FEMENINO;ANCASH;HUARI;3
13;2026;ENERO;DEFUNCION;FEMENINO;ANCASH;HUARMEY;2
14;2026;ENERO;DEFUNCION;FEMENINO;ANCASH;HUAYLAS;1
15;2026;ENERO;DEFUNCION;FEMENINO;ANCASH;RECUAY;1
16;2026;ENERO;DEFUNCION;FEMENINO;ANCASH;SANTA;43
17;2026;ENERO;DEFUNCION;FEMENINO;ANCASH;YUNGAY;4
18;2026;ENERO;DEFUNCION;FEMENINO;APURIMAC;ABANCAY;8
19;2026;ENERO;DEFUNCION;FEMENINO;APURIMAC;ANDAHUAYLAS;1
20;2026;ENERO;DEFUNCION;FEMENINO;APURIMAC;AYMARAES;3
21;2026;ENERO;DEFUNCION;FEMENINO;APURIMAC;CHINCHEROS;3
22;2026;ENERO;DEFUNCION;FEMENINO;APURIMAC;COTABAMBAS;1
23;2026;ENERO;DEFUNCION;FEMENINO;APURIMAC;GRAU;2
24;2026;ENERO;DEFUNCION;FEMENINO;AREQUIPA;AREQUIPA;165
25;2026;ENERO;DEFUNCION;FEMENINO;AREQUIPA;CAMANA;3
26;2026;ENERO;DEFUNCION;FEMENINO;AREQUIPA;CARAVELI;5
27;2026;ENERO;DEFUNCION;FEMENINO;AREQUIPA;CASTILLA;3
28;2026;ENERO;DEFUNCION;FEMENINO;AREQUIPA;CAYLLOMA;2
29;2026;ENERO;DEFUNCION;FEMENINO;AREQUIPA;ISLAY;4
30;2026;ENERO;DEFUNCION;FEMENINO;AREQUIPA;LA UNION;1
31;2026;ENERO;DEFUNCION;FEMENINO;ARGENTINA;BUENOS AIRES;11
32;2026;ENERO;DEFUNCION;FEMENINO;ARGENTINA;CORRIENTES;1
33;2026;ENERO;DEFUNCION;FEMENINO;ARGENTINA;LA PLATA;1
34;2026;ENERO;DEFUNCION;FEMENINO;ARGENTINA;ROSARIO DE SANTA FE;1
35;2026;ENERO;DEFUNCION;FEMENINO;AUSTRALIA;QUEENSLAND;1
36;2026;ENERO;DEFUNCION;FEMENINO;AUSTRALIA;SIDNEY;1
37;2026;ENERO;DEFUNCION;FEMENINO;AYACUCHO;CANGALLO;1
38;2026;ENERO;DEFUNCION;FEMENINO;AYACUCHO;HUAMANGA;25
39;2026;ENERO;DEFUNCION;FEMENINO;AYACUCHO;HUANTA;3
40;2026;ENERO;DEFUNCION;FEMENINO;AYACUCHO;LA MAR;1
41;2026;ENERO;DEFUNCION;FEMENINO;AYACUCHO;LUCANAS;1
42;2026;ENERO;DEFUNCION;FEMENINO;AYACUCHO;PARINACOCHAS;6
43;2026;ENERO;DEFUNCION;FEMENINO;AYACUCHO;PAUCAR DEL SARA SARA;1
44;2026;ENERO;DEFUNCION;FEMENINO;BELGICA;BRUSELAS;1
45;2026;ENERO;DEFUNCION;FEMENINO;BRASIL;SANTA CATARINA;1
46;2026;ENERO;DEFUNCION;FEMENINO;BRASIL;SAO PAULO;1
47;2026;ENERO;DEFUNCION;FEMENINO;CAJAMARCA;CAJABAMBA;7
48;2026;ENERO;DEFUNCION;FEMENINO;CAJAMARCA;CAJAMARCA;49
49;2026;ENERO;DEFUNCION;FEMENINO;CAJAMARCA;CHOTA;3
50;2026;ENERO;DEFUNCION;FEMENINO;CAJAMARCA;CONTUMAZA;2
51;2026;ENERO;DEFUNCION;FEMENINO;CAJAMARCA;CUTERVO;1
52;2026;ENERO;DEFUNCION;FEMENINO;CAJAMARCA;HUALGAYOC;1
53;2026;ENERO;DEFUNCION;FEMENINO;CAJAMARCA;JAEN;6
54;2026;ENERO;DEFUNCION;FEMENINO;CAJAMARCA;SAN IGNACIO;2
55;2026;ENERO;DEFUNCION;FEMENINO;CAJAMARCA;SAN MIGUEL;3
56;2026;ENERO;DEFUNCION;FEMENINO;CAJAMARCA;SAN PABLO;1
57;2026;ENERO;DEFUNCION;FEMENINO;CANADA;COLUMBIA BRITANICA;1
58;2026;ENERO;DEFUNCION;FEMENINO;CANADA;MONTREAL;1
59;2026;ENERO;DEFUNCION;FEMENINO;CANADA;ONTARIO;1
60;2026;ENERO;DEFUNCION;FEMENINO;CANADA;QUEBEC;1
61;2026;ENERO;DEFUNCION;FEMENINO;CHILE;ANTOFAGASTA;2
62;2026;ENERO;DEFUNCION;FEMENINO;CHILE;IQUIQUE;2
63;2026;ENERO;DEFUNCION;FEMENINO;CHILE;SANTIAGO;4
64;2026;ENERO;DEFUNCION;FEMENINO;COLOMBIA;BOGOTA;1
65;2026;ENERO;DEFUNCION;FEMENINO;COLOMBIA;MEDELLIN;1
66;2026;ENERO;DEFUNCION;FEMENINO;CUSCO;ACOMAYO;1
67;2026;ENERO;DEFUNCION;FEMENINO;CUSCO;ANTA;6
68;2026;ENERO;DEFUNCION;FEMENINO;CUSCO;CALCA;2
69;2026;ENERO;DEFUNCION;FEMENINO;CUSCO;CANCHIS;3
70;2026;ENERO;DEFUNCION;FEMENINO;CUSCO;CHUMBIVILCAS;1
71;2026;ENERO;DEFUNCION;FEMENINO;CUSCO;CUSCO;70
72;2026;ENERO;DEFUNCION;FEMENINO;CUSCO;ESPINAR;2
73;2026;ENERO;DEFUNCION;FEMENINO;CUSCO;LA CONVENCION;7
74;2026;ENERO;DEFUNCION;FEMENINO;CUSCO;PARURO;2
75;2026;ENERO;DEFUNCION;FEMENINO;CUSCO;QUISPICANCHI;4
76;2026;ENERO;DEFUNCION;FEMENINO;CUSCO;URUBAMBA;4
77;2026;ENERO;DEFUNCION;FEMENINO;ESPAÑA;ALICANTE;5
78;2026;ENERO;DEFUNCION;FEMENINO;ESPAÑA;BARCELONA;4
79;2026;ENERO;DEFUNCION;FEMENINO;ESPAÑA;CASTELLON;1
80;2026;ENERO;DEFUNCION;FEMENINO;ESPAÑA;GUADALAJARA;1
