ANIO_REGISTRO,MES_REGISTRO,TIPO_ACTA,DE_GENERO,DEPART_CIUDAD_ESTADO_DOM_SOL,PROVINCIA_DOM_SOL,CANT_COPIAS_EMITIDAS
2022,AGOSTO,DEFUNCION,FEMENINO,ALEMANIA,BERLIN,1
2022,AGOSTO,DEFUNCION,FEMENINO,AMAZONAS,BAGUA,14
2022,AGOSTO,DEFUNCION,FEMENINO,AMAZONAS,BONGARA,3
2022,AGOSTO,DEFUNCION,FEMENINO,AMAZONAS,CHACHAPOYAS,1
2022,AGOSTO,DEFUNCION,FEMENINO,AMAZONAS,RODRIGUEZ DE MENDOZA,5
2022,AGOSTO,DEFUNCION,FEMENINO,AMAZONAS,UTCUBAMBA,5
2022,AGOSTO,DEFUNCION,FEMENINO,ANCASH,AIJA,3
2022,AGOSTO,DEFUNCION,FEMENINO,ANCASH,ANTONIO RAIMONDI,1
2022,AGOSTO,DEFUNCION,FEMENINO,ANCASH,ASUNCION,6
2022,AGOSTO,DEFUNCION,FEMENINO,ANCASH,BOLOGNESI,5
2022,AGOSTO,DEFUNCION,FEMENINO,ANCASH,CARHUAZ,7
2022,AGOSTO,DEFUNCION,FEMENINO,ANCASH,CASMA,3
2022,AGOSTO,DEFUNCION,FEMENINO,ANCASH,HUARAZ,30
2022,AGOSTO,DEFUNCION,FEMENINO,ANCASH,HUARI,8
2022,AGOSTO,DEFUNCION,FEMENINO,ANCASH,HUAYLAS,9
2022,AGOSTO,DEFUNCION,FEMENINO,ANCASH,PALLASCA,1
2022,AGOSTO,DEFUNCION,FEMENINO,ANCASH,RECUAY,4
2022,AGOSTO,DEFUNCION,FEMENINO,ANCASH,SANTA,69
2022,AGOSTO,DEFUNCION,FEMENINO,ANCASH,SIHUAS,1
2022,AGOSTO,DEFUNCION,FEMENINO,APURIMAC,ABANCAY,7
2022,AGOSTO,DEFUNCION,FEMENINO,APURIMAC,ANDAHUAYLAS,7
2022,AGOSTO,DEFUNCION,FEMENINO,APURIMAC,ANTABAMBA,1
2022,AGOSTO,DEFUNCION,FEMENINO,APURIMAC,AYMARAES,3
2022,AGOSTO,DEFUNCION,FEMENINO,APURIMAC,CHINCHEROS,8
2022,AGOSTO,DEFUNCION,FEMENINO,APURIMAC,COTABAMBAS,2
2022,AGOSTO,DEFUNCION,FEMENINO,APURIMAC,GRAU,4
2022,AGOSTO,DEFUNCION,FEMENINO,AREQUIPA,AREQUIPA,406
2022,AGOSTO,DEFUNCION,FEMENINO,AREQUIPA,CAMANA,11
2022,AGOSTO,DEFUNCION,FEMENINO,AREQUIPA,CARAVELI,8
2022,AGOSTO,DEFUNCION,FEMENINO,AREQUIPA,CASTILLA,15
2022,AGOSTO,DEFUNCION,FEMENINO,AREQUIPA,CAYLLOMA,12
2022,AGOSTO,DEFUNCION,FEMENINO,AREQUIPA,CONDESUYOS,1
2022,AGOSTO,DEFUNCION,FEMENINO,AREQUIPA,ISLAY,18
2022,AGOSTO,DEFUNCION,FEMENINO,AREQUIPA,LA UNION,1
2022,AGOSTO,DEFUNCION,FEMENINO,ARGENTINA,BUENOS AIRES,5
2022,AGOSTO,DEFUNCION,FEMENINO,ARGENTINA,CORDOBA,2
2022,AGOSTO,DEFUNCION,FEMENINO,AYACUCHO,CANGALLO,4
2022,AGOSTO,DEFUNCION,FEMENINO,AYACUCHO,HUAMANGA,95
2022,AGOSTO,DEFUNCION,FEMENINO,AYACUCHO,HUANCA SANCOS,3
2022,AGOSTO,DEFUNCION,FEMENINO,AYACUCHO,HUANTA,30
2022,AGOSTO,DEFUNCION,FEMENINO,AYACUCHO,LA MAR,5
2022,AGOSTO,DEFUNCION,FEMENINO,AYACUCHO,LUCANAS,8
2022,AGOSTO,DEFUNCION,FEMENINO,AYACUCHO,PARINACOCHAS,6
2022,AGOSTO,DEFUNCION,FEMENINO,AYACUCHO,VICTOR FAJARDO,1
2022,AGOSTO,DEFUNCION,FEMENINO,BRASIL,PARANA,1
2022,AGOSTO,DEFUNCION,FEMENINO,BRASIL,RIO DE JANEIRO,2
2022,AGOSTO,DEFUNCION,FEMENINO,CAJAMARCA,CAJABAMBA,3
2022,AGOSTO,DEFUNCION,FEMENINO,CAJAMARCA,CAJAMARCA,61
2022,AGOSTO,DEFUNCION,FEMENINO,CAJAMARCA,CELENDIN,1
2022,AGOSTO,DEFUNCION,FEMENINO,CAJAMARCA,CHOTA,2
2022,AGOSTO,DEFUNCION,FEMENINO,CAJAMARCA,CONTUMAZA,3
2022,AGOSTO,DEFUNCION,FEMENINO,CAJAMARCA,CUTERVO,7
2022,AGOSTO,DEFUNCION,FEMENINO,CAJAMARCA,HUALGAYOC,1
2022,AGOSTO,DEFUNCION,FEMENINO,CAJAMARCA,JAEN,18
2022,AGOSTO,DEFUNCION,FEMENINO,CAJAMARCA,SAN IGNACIO,38
2022,AGOSTO,DEFUNCION,FEMENINO,CAJAMARCA,SAN MARCOS,5
2022,AGOSTO,DEFUNCION,FEMENINO,CAJAMARCA,SAN MIGUEL,12
2022,AGOSTO,DEFUNCION,FEMENINO,CALLAO,CALLAO,451
2022,AGOSTO,DEFUNCION,FEMENINO,CANADA,MONTREAL,1
2022,AGOSTO,DEFUNCION,FEMENINO,CANADA,QUEBEC,2
2022,AGOSTO,DEFUNCION,FEMENINO,CHILE,ANTOFAGASTA,1
2022,AGOSTO,DEFUNCION,FEMENINO,CHILE,ARICA,1
2022,AGOSTO,DEFUNCION,FEMENINO,CHILE,IQUIQUE,1
2022,AGOSTO,DEFUNCION,FEMENINO,CHILE,SANTIAGO,7
2022,AGOSTO,DEFUNCION,FEMENINO,CHILE,VALPARAISO,2
2022,AGOSTO,DEFUNCION,FEMENINO,CUSCO,ACOMAYO,4
2022,AGOSTO,DEFUNCION,FEMENINO,CUSCO,ANTA,10
2022,AGOSTO,DEFUNCION,FEMENINO,CUSCO,CALCA,7
2022,AGOSTO,DEFUNCION,FEMENINO,CUSCO,CANAS,5
