ID_AERODROMO,ID_DEPARTAMENTO,ID_PROVINCIA,ID_DISTRITO,DEPARTAMENTO,PROVINCIA,DISTRITO,NOMBRE,LABEL,TIPO_AERODROMO,CODIGO_AERODROMO,CODIGO_OACI,ESCALA,ESTADO,ADMINISTRADOR,JERARQUIA,TITULARIDAD,LATITUD,LONGITUD,ES_CONCES,FECHA_CORTE
1,03,0302,030201,APURÍMAC,ANDAHUAYLAS,ANDAHUAYLAS,ANDAHUAYLAS,AEROPUERTO ANDAHUAYLAS,Aeropuerto,0321ANS,SPHY,Nacional,Operativo,CORPAC S.A.,Nacional,Pública (Concesionada-No entregada),-13.708819,-73.351556,9,20221231
2,16,1607,160706,LORETO,DATEM DEL MARAÑÓN,ANDOAS,ANDOAS,AERÓDROMO ANDOAS,Aeródromo,1642ADS,SPAS,Sin escala definida,Operativo,PACIFIC STRATUS ENERGY DEL PERÚ S.A.,Sin jerarquía definida,Privada,-2.796108,-76.466597,-1,20221231
3,16,1607,160706,LORETO,DATEM DEL MARAÑÓN,ANDOAS,ANDOAS,HELIPUERTO ANDOAS,Helipuerto,1643ADS,SPAN,Sin escala definida,Operativo,PACIFIC STRATUS ENERGY DEL PERÚ S.A.,Sin jerarquía definida,Privada,-2.796111,-76.466625,-1,20221231
4,04,0401,040103,AREQUIPA,AREQUIPA,CAYMA,AREQUIPA - INTERNACIONAL ALFREDO RODRÍGUEZ BALLON,AEROPUERTO INTERNACIONAL ALFREDO RODRÍGUEZ BALLON,Aeropuerto Internacional,0411AQP,SPQU,Internacional,Operativo,AEROPUERTOS ANDINOS DEL PERÚ S.A.,Nacional,Pública (Concesionada),-16.340611,-71.570792,1,20221231
5,25,2502,250201,UCAYALI,ATALAYA,RAYMONDI,ATALAYA,AERÓDROMO ATALAYA,Aeródromo,2532ATY,SPAY,Regional,Operativo,CORPAC S.A.,Regional,Pública,-10.728572,-73.765886,0,20221231
6,05,0501,050116,AYACUCHO,HUAMANGA,ANDRÉS AVELINO CÁCERES,AYACUCHO - CRNL. FAP ALFREDO MENDIVIL,AEROPUERTO CRNL. FAP ALFREDO MENDIVIL,Aeropuerto,0521AYP,SPHO,Nacional,Operativo,AEROPUERTOS ANDINOS DEL PERÚ S.A.,Nacional,Pública (Concesionada),-13.1548361111111,-74.2044166666667,1,20221231
7,16,1602,160205,LORETO,ALTO AMAZONAS,JEBEROS,BELLAVISTA,AERÓDROMO BELLAVISTA,Aeródromo,1642BVT,SPBS,Local,Operativo,COMUNIDAD DE BELLAVISTA,Sin jerarquía definida,Pública,-5.283333,-76.383333,0,20221231
8,16,1605,160506,LORETO,REQUENA,PIUINAHUA,BRETAÑA 1,HELIPUERTO BRETAÑA 1,Helipuerto,1643BR1,,Local,Operativo,PETROTAL PERÚ S.R.L.,Sin jerarquía definida,Privada,-5.24568971752226,-74.3289577930956,-1,20221231
9,25,2502,250204,UCAYALI,ATALAYA,YURUA,BREU,AERÓDROMO BREU,Aeródromo,2542BRE,SPBK,Local,Operativo,CORPAC S.A.,Local,Pública,-9.533792,-72.757153,0,20221231
10,16,1605,160509,LORETO,REQUENA,TAPICHE,BUNCUYO,AERÓDROMO BUNCUYO,Aeródromo,1642BUY,SPBJ,Local,Operativo,COMUNIDAD DE BUNCUYO,Sin jerarquía definida,Pública,-6.516667,-74.583333,0,20221231
11,16,1604,160401,LORETO,RAMÓN CASTILLA,RAMÓN CASTILLA,CABALLOCOCHA,AERÓDROMO CABALLOCOCHA,Aeródromo,1632CCH,SPBC,Regional,Operativo,CORPAC S.A.,Regional,Pública,-3.916833,-70.508181,0,20221231
12,06,0601,060108,CAJAMARCA,CAJAMARCA,BAÑOS DEL INCA,CAJAMARCA - MAY.GRAL.FAP ARMANDO REVOREDO IGLESIAS,AEROPUERTO MAY.GRAL.FAP ARMANDO REVOREDO IGLESIAS,Aeropuerto,0621CJA,SPJR,Nacional,Operativo,AEROPUERTOS DEL PERÚ S.A.,Nacional,Pública (Concesionada),-7.139144,-78.489581,1,20221231
13,08,0809,080902,CUSCO,LA CONVENCIÓN,ECHARATE,CASHIRIARI 3,HELIPUERTO CASHIRIARI 3,Helipuerto,0843CH3,SPCS,Sin escala definida,Operativo,PLUSPETROL PERÚ CORPORATION S.A.,Sin jerarquía definida,Privada,-11.8803027777778,-72.6492111111111,-1,20221231
14,01,0101,010101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,CHACHAPOYAS,AEROPUERTO CHACHAPOYAS,Aeropuerto,0121CHH,SPPY,Nacional,Operativo,AEROPUERTOS DEL PERÚ S.A.,Nacional,Pública (Concesionada),-6.202042,-77.856,1,20221231
15,13,1308,130809,LA LIBERTAD,PATAZ,PATAZ,CHAGUAL,AERÓDROMO CHAGUAL,Aeródromo,1342CGL,SPGL,Sin escala definida,Operativo,CIA. MINERA PODEROSA S.A.,Sin jerarquía definida,Privada,-7.797417,-77.651431,-1,20221231
16,04,0403,040307,AREQUIPA,CARAVELI,CHALA,AERO LINK CHALA,AERÓDROMO AERO LINK CHALA,Aeródromo,0442LCH,SPAK,Sin escala definida,Operativo,AERO LINK S.A.C.,Sin jerarquía definida,Privada,-15.8072472219999,-74.286919444,-1,20221231
17,13,1312,131202,LA LIBERTAD,VIRU,CHAO,CHAO,AERÓDROMO CHAO,Aeródromo,1333CHA,,Sin escala definida,Operativo,CAMPOSOL S.A.,Sin jerarquía definida,Privada,-8.581667,-78.681111,-1,20221231
18,14,1401,140101,LAMBAYEQUE,CHICLAYO,CHICLAYO,CHICLAYO - INTERNACIONAL CAP. FAP JOSÉ ABELARDO QUIÑONES GONZALES,AEROPUERTO INTERNACIONAL CAP. FAP JOSÉ ABELARDO QUIÑONES GONZALES,Aeropuerto Internacional,1411CIX,SPHI,Internacional,Operativo,AEROPUERTOS DEL PERÚ S.A.,Nacional,Pública (Concesionada),-6.787478,-79.8281,1,20221231
19,02,0218,021809,ÁNCASH,SANTA,NUEVO CHIMBOTE,CHIMBOTE - TNTE.FAP JAIME A. DE MONTREUIL MORALES,AEROPUERTO CHIMBOTE - TNTE.FAP JAIME A. DE MONTREUIL MORALES,Aeropuerto,0231CHM,SPEO,Regional,Operativo,CORPAC S.A.,Nacional,Pública,-9.149711,-78.523564,0,20221231
20,01,0104,010401,AMAZONAS,CONDORCANQUI,NIEVA,CIRO ALEGRÍA,AERÓDROMO CIRO ALEGRÍA,Aeródromo,0132CAL,SPAC,Regional,Operativo,CORPAC S.A.,Regional,Pública,-4.607144,-77.940633,0,20221231
21,19,1903,190306,PASCO,OXAPAMPA,PUERTO BERMÚDEZ,CIUDAD CONSTITUCIÓN,AERÓDROMO CIUDAD CONSTITUCIÓN,Aeródromo,1942CCN,SPCC,Local,Operativo,MUNICIPALIDAD DISTRITAL DE PUERTO BERMUDEZ,Local,Pública,-9.863958,-75.006736,0,20221231
22,16,1605,160511,LORETO,REQUENA,YAQUERANA,COLONIA ANGAMOS,AERÓDROMO COLONIA ANGAMOS,Aeródromo,1642CAG,SPDN,Local,Operativo,MUNICIPALIDAD DISTRITAL DE YAQUERANA,Local,Pública,-5.137125,-72.867889,0,20221231
23,16,1606,160601,LORETO,UCAYALI,CONTAMANA,CONTAMANA,AERÓDROMO CONTAMANA,Aeródromo,1642CNT,SPCM,Local,Operativo,GOBIERNO REGIONAL DE LORETO,Local,Pública,-7.335806,-74.992556,0,20221231
24,25,2504,250401,UCAYALI,PURÚS,PURÚS,CULINA,AERÓDROMO CULINA,Aeródromo,2542CUL,SPUI,Sin escala definida,Operativo,COMUNIDAD DE CULINA,Sin jerarquía definida,Privada,-9.584486,-70.617764,-1,20221231
25,08,0801,080105,CUSCO,CUSCO,SAN SEBASTIÁN,CUSCO - INTERNACIONAL TNTE. FAP ALEJANDRO VELASCO ASTETE,AEROPUERTO INTERNACIONAL TNTE. FAP ALEJANDRO VELASCO ASTETE,Aeropuerto Internacional,0811CUZ,SPZO,Internacional,Operativo,CORPAC S.A.,Nacional,Pública,-13.535722,-71.938778,0,20221231
26,12,1206,120608,JUNÍN,SATIPO,RÍO TAMBO,CUTIVIRENI,AERÓDROMO CUTIVIRENI,Aeródromo,1242CUV,SPCV,Local,Operativo,COMUNIDAD NATIVA DE CUTIVIRENI,Sin jerarquía definida,Pública,-11.877167,-73.916958,0,20221231
27,16,1608,160801,LORETO,PUTUMAYO,PUTUMAYO,EL ESTRECHO,AERÓDROMO EL ESTRECHO,Aeródromo,1632ETC,SPEE,Regional,Operativo,CORPAC S.A.,Regional,Pública,-2.4538864033172,-72.6708313243627,0,20221231
28,01,0107,010704,AMAZONAS,UTCUBAMBA,EL MILAGRO,EL VALOR - ESTACIÓN 7,HELIPUERTO EL VALOR - ESTACIÓN 7,Helipuerto,0143EV7,SPEV,Sin escala definida,Operativo,PETRÓLEOS DEL PERÚ - PETROPERU S.A.,Sin jerarquía definida,Privada,-5.670944,-78.640278,-1,20221231
29,16,1607,160704,LORETO,DATEM DEL MARAÑÓN,MORONA,FERNANDO ROSAS - ESTACIÓN MORONA,HELIPUERTO FERNANDO ROSAS - ESTACIÓN MORONA,Helipuerto,1643FRS,SPMO,Sin escala definida,Operativo,PETRÓLEOS DEL PERÚ - PETROPERU S.A.,Sin jerarquía definida,Privada,-3.983189,-77.227806,-1,20221231
30,16,1608,160803,LORETO,PUTUMAYO,TENIENTE MANUEL CLAVERO,GÜEPPI,AERÓDROMO GÜEPPI,Aeródromo,1632GPP,SPGP,Regional,Operativo,CORPAC S.A.,Regional,Pública,-0.119306,-75.247847,0,20221231
31,01,0104,010403,AMAZONAS,CONDORCANQUI,RÍO SANTIAGO,GALILEA,AERÓDROMO GALILEA,Aeródromo,0132GAL,SPGB,Regional,Operativo,CORPAC S.A.,Regional,Pública,-4.0317157313614,-77.7587663940138,0,20221231
32,22,2209,220901,SAN MARTÍN,SAN MARTÍN,TARAPOTO,HELINKA,HELIPUERTO DE SUPERFICIE HELINKA,Helipuerto,2243HEK,SPIK,Sin escala definida,Operativo,HELINKA S.A.C.,Sin jerarquía definida,Privada,-6.51541666699995,-76.3749722219999,-1,20221231
33,15,1501,150131,LIMA,LIMA,SAN ISIDRO,HOTEL LOS DELFINES,HELIPUERTO ELEVADO DEL HOTEL LOS DELFINES,Helipuerto,1543HDF,SPKD,Sin escala definida,Operativo,CIA. HOTELERA LOS DELFINES S.A.,Sin jerarquía definida,Privada,-12.097833,-77.047833,-1,20221231
34,15,1501,150131,LIMA,LIMA,SAN ISIDRO,HOTEL ORO VERDE,HELIPUERTO ELEVADO DEL HOTEL ORO VERDE,Helipuerto,1543HOV,SPKO,Sin escala definida,Operativo,HOTELERA COSTA DEL PACIFICO S.A.,Sin jerarquía definida,Privada,-12.0975,-77.038056,-1,20221231
35,13,1309,130901,LA LIBERTAD,SÁNCHEZ CARRIÓN,HUAMACHUCO,HUAMACHUCO,AERÓDROMO HUAMACHUCO,Aeródromo,1342HUM,SPUC,Local,Operativo,MUNICIPALIDAD PROVINCIAL DE SÁNCHEZ CARRIÓN,Local,Pública,-7.818022,-78.029206,0,20221231
36,20,2003,200301,PIURA,HUANCABAMBA,HUANCABAMBA,HUANCABAMBA,AERÓDROMO HUANCABAMBA,Aeródromo,2032HNC,,Regional,Operativo,MUNICIPALIDAD PROVINCIAL DE HUANCABAMBA,Local,Pública,-5.25660833299997,-79.443355556,0,20221231
37,10,1001,100101,HUÁNUCO,HUÁNUCO,HUÁNUCO,HUÁNUCO - ALF. FAP DAVID FIGUEROA FERNANDINI,AEROPUERTO ALF. FAP DAVID FIGUEROA FERNANDINI,Aeropuerto,1021HUU,SPNC,Nacional,Operativo,CORPAC S.A.,Nacional,Pública,-9.878681,-76.204569,0,20221231
