Año;RENIPRESS;EESS;Ubigeo_Declarado_Paciente;Distrito_RH_Paciente;Codigo_Item;Codigo_Item_F;Descripcion_Item;id_genero;grupo_edad;cie;desc_grupo;TOTAL
2025;2864;HOSPITAL HIPOLITO UNANUE DE TACNA;220101;TACNA;A500;A50;SIFILIS CONGENITA PRECOZ SINTOMATICA;M;29d-11m;A50 - A64;INFECCIONES C/MODO DE TRANSMISION PREDOMINANTEMENTE SEXUAL;1
2025;6724;VIÑANI;100106;SALAS;A500;A50;SIFILIS CONGENITA PRECOZ SINTOMATICA;F;30-59a;A50 - A64;INFECCIONES C/MODO DE TRANSMISION PREDOMINANTEMENTE SEXUAL;1
2025;2864;HOSPITAL HIPOLITO UNANUE DE TACNA;220101;TACNA;A501;A50;SIFILIS CONGENITA PRECOZ LATENTE;M;29d-11m;A50 - A64;INFECCIONES C/MODO DE TRANSMISION PREDOMINANTEMENTE SEXUAL;1
2025;2864;HOSPITAL HIPOLITO UNANUE DE TACNA;220109;POCOLLAY;A509;A50;SIFILIS CONGENITA;F;29d-11m;A50 - A64;INFECCIONES C/MODO DE TRANSMISION PREDOMINANTEMENTE SEXUAL;1
2025;2914;INCLAN;220101;TACNA;A509;A50;SIFILIS CONGENITA;F;30-59a;A50 - A64;INFECCIONES C/MODO DE TRANSMISION PREDOMINANTEMENTE SEXUAL;1
2025;2864;HOSPITAL HIPOLITO UNANUE DE TACNA;220113;CORONEL GREGORIO ALBARRACIN LANCHIPA;A509;A50;SIFILIS CONGENITA;M;0-28d;A50 - A64;INFECCIONES C/MODO DE TRANSMISION PREDOMINANTEMENTE SEXUAL;1
2025;6724;VIÑANI;220113;CORONEL GREGORIO ALBARRACIN LANCHIPA;A510;A51;SIFILIS PRIMARIA;M;60a+;A50 - A64;INFECCIONES C/MODO DE TRANSMISION PREDOMINANTEMENTE SEXUAL;1
2025;2888;SAN FRANCISCO;220113;CORONEL GREGORIO ALBARRACIN LANCHIPA;A510;A51;SIFILIS PRIMARIA;M;12-17a;A50 - A64;INFECCIONES C/MODO DE TRANSMISION PREDOMINANTEMENTE SEXUAL;1
2025;2890;LAS BEGONIAS;220113;CORONEL GREGORIO ALBARRACIN LANCHIPA;A510;A51;SIFILIS PRIMARIA;M;30-59a;A50 - A64;INFECCIONES C/MODO DE TRANSMISION PREDOMINANTEMENTE SEXUAL;1
2025;2913;LOCUMBA;220301;LOCUMBA;A510;A51;SIFILIS PRIMARIA;M;30-59a;A50 - A64;INFECCIONES C/MODO DE TRANSMISION PREDOMINANTEMENTE SEXUAL;2
2025;2882;ALTO ALIANZA;220302;ITE;A510;A51;SIFILIS PRIMARIA;M;18-29a;A50 - A64;INFECCIONES C/MODO DE TRANSMISION PREDOMINANTEMENTE SEXUAL;1
2025;2917;CENTRO DE SALUD BOLOGNESI;220101;TACNA;A510;A51;SIFILIS PRIMARIA;M;12-17a;A50 - A64;INFECCIONES C/MODO DE TRANSMISION PREDOMINANTEMENTE SEXUAL;1
