CHANCRO BLANDO | 18-29a	3,2
CHANCRO BLANDO | 30-59a	1,1
CLAMIDIASIS | 30-59a	1,1
ENFERMEDAD DE TRANSMISION SEXUAL NO ESPECIFICADA | 1-4a	1,1
ENFERMEDAD DE TRANSMISION SEXUAL NO ESPECIFICADA | 12-17a	5,5
ENFERMEDAD DE TRANSMISION SEXUAL NO ESPECIFICADA | 18-29a	57,34
ENFERMEDAD DE TRANSMISION SEXUAL NO ESPECIFICADA | 30-59a	95,60
ENFERMEDAD DE TRANSMISION SEXUAL NO ESPECIFICADA | 5-11a	3,3
ENFERMEDAD DE TRANSMISION SEXUAL NO ESPECIFICADA | 60a+	4,3
GONORREA | 12-17a	1,1
GONORREA | 18-29a	1,1
GRANULOMA INGUINAL | 18-29a	1,1
GRANULOMA INGUINAL | 30-59a	1,1
HERPES GENITAL | 12-17a	1,1
HERPES GENITAL | 18-29a	21,17
HERPES GENITAL | 30-59a	12,11
HERPES GENITAL | 60a+	1,1
INFECCION ANOGENITAL POR VIRUS DEL HERPES SIMPLE SIN OTRA ESPECIFICACION | 12-17a	2,1
INFECCION ANOGENITAL POR VIRUS DEL HERPES SIMPLE SIN OTRA ESPECIFICACION | 18-29a	10,6
INFECCION ANOGENITAL POR VIRUS DEL HERPES SIMPLE SIN OTRA ESPECIFICACION | 30-59a	1,1
INFECCION DE LA PIEL PERIANAL Y RECTO POR VIRUS DEL HERPES SIMPLE | 60a+	1,1
INFECCION DEL TRACTO GENITOURINARIO INFERIOR DEBIDA A CLAMIDIAS | 18-29a	2,2
INFECCION DEL TRACTO GENITOURINARIO INFERIOR DEBIDA A CLAMIDIAS | 30-59a	5,2
INFECCION DEL TRACTO GENITOURINARIO INFERIOR DEBIDA A CLAMIDIAS | 60a+	1,1
INFECCION GONOCOCICA DEL TRACTO GENITOURINARIO INFERIOR CON ABSCESO PERIURETRAL Y DE GLA | 18-29a	1,1
INFECCION GONOCOCICA DEL TRACTO GENITOURINARIO INFERIOR SIN ABSCESO PERIURETRAL O DE GLA | 18-29a	2,2
INFECCION GONOCOCICA DEL TRACTO GENITOURINARIO INFERIOR SIN ABSCESO PERIURETRAL O DE GLA | 30-59a	1,1
LINFOGRANULOMA VENEREO | 18-29a	1,1
LINFOGRANULOMA VENEREO | 30-59a	1,1
OTRAS ENFERMEDADES DE TRANSMISION PREDOMINANTEMENTE SEXUAL ESPECIFICADAS | 18-29a	1,1
OTRAS ENFERMEDADES DE TRANSMISION PREDOMINANTEMENTE SEXUAL ESPECIFICADAS | 30-59a	1,1
PROCTITIS | 18-29a	1,1
PROCTITIS | 30-59a	2,2
SIFILIS CONGENITA PRECOZ LATENTE | 29d-11m	1,1
SIFILIS CONGENITA PRECOZ SINTOMATICA | 29d-11m	1,1
SIFILIS CONGENITA PRECOZ SINTOMATICA | 30-59a	1,1
SIFILIS CONGENITA | 0-28d	1,1
SIFILIS CONGENITA | 29d-11m	1,1
SIFILIS CONGENITA | 30-59a	1,1
SIFILIS LATENTE NO ESPECIFICADA COMO PRECOZ O TARDIA | 18-29a	3,3
SIFILIS LATENTE NO ESPECIFICADA COMO PRECOZ O TARDIA | 30-59a	5,5
SIFILIS LATENTE NO ESPECIFICADA COMO PRECOZ O TARDIA | 60a+	3,3
SIFILIS LATENTE | 18-29a	1,1
